,precip_total
0.01,0.0008655632494511062
0.02,0.0005700050667117041
0.03,0.0004855598716433035
0.07,0.00038000337780780274
0.13,0.00025333558520520183
0.06,0.00025333558520520183
0.05,0.00025333558520520183
0.08,0.00023222428643810168
0.11,0.00023222428643810168
0.04,0.00023222428643810168
0.1,0.00021111298767100152
0.09,0.00019000168890390137
0.16,0.00016889039013680122
0.26,0.00016889039013680122
0.12,0.00014777909136970107
0.52,0.00014777909136970107
0.29,0.00012666779260260091
0.14,0.00012666779260260091
0.2,0.00012666779260260091
0.65,0.00010555649383550076
0.23,0.00010555649383550076
0.39,0.00010555649383550076
0.53,0.00010555649383550076
0.66,0.00010555649383550076
0.38,0.00010555649383550076
0.17,8.444519506840061e-05
0.67,8.444519506840061e-05
0.15,8.444519506840061e-05
0.18,8.444519506840061e-05
0.41,8.444519506840061e-05
0.33,8.444519506840061e-05
0.25,8.444519506840061e-05
0.42,8.444519506840061e-05
0.44,8.444519506840061e-05
0.45,8.444519506840061e-05
1.16,6.333389630130046e-05
0.24,6.333389630130046e-05
0.4,6.333389630130046e-05
0.43,6.333389630130046e-05
0.76,6.333389630130046e-05
0.37,6.333389630130046e-05
0.35,6.333389630130046e-05
0.51,6.333389630130046e-05
0.78,6.333389630130046e-05
0.36,4.2222597534200305e-05
0.34,4.2222597534200305e-05
0.69,4.2222597534200305e-05
0.59,4.2222597534200305e-05
0.54,4.2222597534200305e-05
0.88,4.2222597534200305e-05
0.48,4.2222597534200305e-05
1.03,4.2222597534200305e-05
0.46,4.2222597534200305e-05
0.6,4.2222597534200305e-05
0.58,4.2222597534200305e-05
0.99,4.2222597534200305e-05
0.85,4.2222597534200305e-05
0.83,4.2222597534200305e-05
0.98,4.2222597534200305e-05
0.84,4.2222597534200305e-05
0.28,4.2222597534200305e-05
0.19,4.2222597534200305e-05
0.22,4.2222597534200305e-05
0.8,4.2222597534200305e-05
0.3,4.2222597534200305e-05
0.27,4.2222597534200305e-05
1.63,2.1111298767100152e-05
1.05,2.1111298767100152e-05
2.4,2.1111298767100152e-05
0.81,2.1111298767100152e-05
0.55,2.1111298767100152e-05
1.31,2.1111298767100152e-05
1.43,2.1111298767100152e-05
0.77,2.1111298767100152e-05
0.5,2.1111298767100152e-05
1.76,2.1111298767100152e-05
1.2,2.1111298767100152e-05
0.47,2.1111298767100152e-05
0.73,2.1111298767100152e-05
1.14,2.1111298767100152e-05
1.18,2.1111298767100152e-05
0.91,2.1111298767100152e-05
0.62,2.1111298767100152e-05
0.89,2.1111298767100152e-05
1.42,2.1111298767100152e-05
1.13,2.1111298767100152e-05
2.9,2.1111298767100152e-05
3.75,2.1111298767100152e-05
0.21,2.1111298767100152e-05
2.42,2.1111298767100152e-05
0.49,2.1111298767100152e-05
0.71,2.1111298767100152e-05
0.79,2.1111298767100152e-05
1.65,2.1111298767100152e-05
1.22,2.1111298767100152e-05
1.71,2.1111298767100152e-05
0.93,2.1111298767100152e-05
0.31,2.1111298767100152e-05
2.55,2.1111298767100152e-05
1.1,2.1111298767100152e-05
1.12,2.1111298767100152e-05
0.9,2.1111298767100152e-05
1.38,2.1111298767100152e-05
0.32,2.1111298767100152e-05
2.45,2.1111298767100152e-05
0.82,2.1111298767100152e-05
1.57,2.1111298767100152e-05
