,pressure
29.94,0.021617969937510556
29.98,0.021512413443675056
30.01,0.021470190846140855
30.03,0.021237966559702753
29.99,0.02100574227326465
29.96,0.02083685188312785
30.06,0.020646850194223947
29.95,0.020435737206552947
30.0,0.020372403310251648
30.09,0.020224624218881944
29.93,0.020224624218881944
30.02,0.019760175646005743
29.9,0.01933794967066374
30.08,0.019021280189157237
29.97,0.018936834994088835
30.1,0.018577942915048135
30.05,0.018577942915048135
30.13,0.018197939537240332
29.92,0.01817682823847323
29.89,0.01796571525080223
30.07,0.017944603952035128
29.91,0.01777571356189833
30.11,0.017543489275460226
30.04,0.017416821482857624
30.14,0.017079040702584022
30.12,0.01629792264820132
29.88,0.015917919270393516
30.15,0.015411248099983111
29.86,0.014672352643134606
30.18,0.014292349265326803
30.16,0.0138701232899848
29.87,0.013300118223273096
30.19,0.013194561729437594
30.17,0.013110116534369195
29.85,0.013046782638067893
29.84,0.011991217699712887
29.83,0.011590103023137984
29.82,0.011315656139165681
30.21,0.011083431852727579
30.2,0.010787873669988178
30.22,0.010576760682317176
30.24,0.010217868603276474
29.8,0.00971119743286607
30.23,0.009478973146427969
29.81,0.009352305353825367
30.25,0.009204526262455666
30.26,0.008718966390812363
29.79,0.008697855092045263
30.27,0.007980070933963858
30.28,0.007600067556156055
29.78,0.007557844958621855
30.29,0.007156730282046952
29.77,0.007051173788211451
30.3,0.00686117209930755
29.75,0.00686117209930755
29.74,0.006502280020266846
29.76,0.006438946123965546
30.31,0.006375612227664246
30.32,0.006080054044924844
29.73,0.006037831447390643
30.33,0.005805607160952542
30.34,0.0056578280695828405
29.72,0.005615605472048641
29.67,0.005024489106569836
30.36,0.0046867083262962335
30.35,0.0046867083262962335
29.71,0.004581151832460733
29.69,0.004391150143556831
30.37,0.0043489275460226315
29.65,0.004264482350954231
29.7,0.004095591960817429
29.66,0.004053369363283229
29.68,0.003905590271913528
29.64,0.003884478973146428
30.38,0.0033778078027360244
30.4,0.003356696503968924
30.42,0.003356696503968924
30.39,0.003314473906434724
30.41,0.003187806113832123
30.44,0.0029766931261611214
29.62,0.0028500253335585206
29.61,0.0025755784495862188
30.45,0.0025755784495862188
29.63,0.002533355852052018
30.43,0.0024277993582165177
29.6,0.0023433541631481167
29.57,0.0023011315656139165
29.59,0.0022800202668468166
29.58,0.0020900185779429152
30.46,0.002068907279175815
30.5,0.0020266846816416146
29.55,0.0019211281878061138
29.56,0.0019000168890390137
30.49,0.0018155716939706132
30.55,0.0018155716939706132
30.48,0.0017733490964364127
29.54,0.0016889039013680122
29.53,0.0016044587062996115
30.52,0.0015833474075325113
30.47,0.0015833474075325113
30.56,0.00139334571862861
30.51,0.0013300118223273096
30.53,0.0013300118223273096
30.54,0.001266677926026009
30.57,0.0011400101334234083
29.52,0.0011188988346563082
29.47,0.0010555649383550076
29.46,0.0010344536395879074
29.45,0.0009922310420537072
29.48,0.0009500084445195068
30.6,0.0009288971457524067
29.49,0.0008866745482182063
29.51,0.0008866745482182063
30.61,0.0008444519506840061
30.58,0.0008444519506840061
29.5,0.000823340651916906
30.59,0.0007811180543827056
30.64,0.0007177841580814051
30.65,0.0006544502617801048
30.63,0.0006333389630130045
30.66,0.0006122276642459044
30.62,0.0005700050667117041
29.44,0.0005066711704104037
29.41,0.0005066711704104037
29.43,0.0004855598716433035
29.3,0.00042222597534200305
29.39,0.00035889207904070256
29.31,0.00035889207904070256
30.71,0.00035889207904070256
30.67,0.00033778078027360244
29.36,0.00031666948150650226
29.42,0.00029555818273940213
29.4,0.00029555818273940213
29.32,0.00025333558520520183
30.75,0.00023222428643810168
30.73,0.00023222428643810168
30.69,0.00023222428643810168
29.29,0.00023222428643810168
29.28,0.00021111298767100152
29.35,0.00021111298767100152
30.7,0.00021111298767100152
29.37,0.00021111298767100152
29.38,0.00019000168890390137
30.72,0.00019000168890390137
29.26,0.00019000168890390137
29.33,0.00016889039013680122
29.34,0.00016889039013680122
30.78,0.00014777909136970107
30.74,0.00014777909136970107
30.68,0.00014777909136970107
30.77,0.00014777909136970107
29.27,0.00012666779260260091
30.76,6.333389630130046e-05
29.11,6.333389630130046e-05
29.24,6.333389630130046e-05
29.23,4.2222597534200305e-05
30.86,4.2222597534200305e-05
29.14,4.2222597534200305e-05
29.06,4.2222597534200305e-05
30.84,2.1111298767100152e-05
30.8,2.1111298767100152e-05
29.13,2.1111298767100152e-05
30.79,2.1111298767100152e-05
30.81,2.1111298767100152e-05
29.08,2.1111298767100152e-05
29.05,2.1111298767100152e-05
30.83,2.1111298767100152e-05
29.2,2.1111298767100152e-05
29.25,2.1111298767100152e-05
29.18,2.1111298767100152e-05
30.85,2.1111298767100152e-05
