,wc
73.0,0.029956932950515117
75.0,0.028605809829420705
72.0,0.025206890727917583
77.0,0.023834656308056073
79.0,0.022631312278331362
74.0,0.02223019760175646
70.0,0.021660192535044757
76.0,0.02121685526093565
63.0,0.02096351967573045
55.0,0.019717953048471543
57.0,0.01950684006080054
66.0,0.01933794967066374
81.0,0.018556831616281032
64.0,0.018493497719979733
78.0,0.018409052524911332
71.0,0.017522377976693128
59.0,0.016867927714913022
50.0,0.01674125992231042
52.0,0.016572369532173618
68.0,0.01648792433710522
80.0,0.016361256544502618
54.0,0.01629792264820132
65.0,0.016171254855598716
61.0,0.016150143556831618
69.0,0.015474581996284412
56.0,0.015453470697517312
82.0,0.01534791420368181
67.0,0.015305691606147611
58.0,0.014524573551764905
60.0,0.014144570173957103
53.0,0.013933457186286101
62.0,0.013701232899847999
83.0,0.013152339131903395
51.0,0.013067893936834994
39.0,0.013004560040533693
33.0,0.012350109778753589
44.0,0.012286775882452288
42.0,0.012160108089849688
84.0,0.012096774193548387
36.0,0.012012328998479987
30.0,0.011864549907110285
37.0,0.011780104712041885
41.0,0.011674548218206383
45.0,0.011526769126836683
43.0,0.011505657828069582
38.0,0.011421212633001183
85.0,0.010935652761357878
31.0,0.010724539773686877
34.0,0.010154534706975173
32.0,0.010070089511906773
40.0,0.010048978213139673
86.0,0.009183414963688566
29.0,0.008993413274784664
35.0,0.008528964701908462
87.0,0.00833896301300456
28.0,0.008127850025333559
25.0,0.0075367336598547545
46.0,0.0074733997635534535
88.0,0.007241175477115352
27.0,0.00698783989191015
24.0,0.006797838203006249
26.0,0.006692281709170749
89.0,0.005932274953555142
23.0,0.005868941057253842
47.0,0.0058267184597196415
90.0,0.005446715081911839
22.0,0.005108934301638237
91.0,0.004243371052187131
48.0,0.003905590271913528
19.0,0.003863367674379328
21.0,0.0038000337780780273
20.0,0.003187806113832123
92.0,0.003061138321229522
17.0,0.003061138321229522
18.0,0.0029133592298598208
93.0,0.0028711366323256205
16.0,0.0027233575409559194
49.0,0.002617801047120419
11.0,0.002512244553284918
15.0,0.0022589089680797162
14.0,0.0020266846816416146
10.0,0.0020055733828745143
9.0,0.0020055733828745143
12.0,0.0019844620841074144
94.0,0.0019000168890390137
13.0,0.0017733490964364127
8.0,0.00139334571862861
5.0,0.0012877892247931094
95.0,0.001245566627258909
7.0,0.0011822327309576085
4.0,0.0010555649383550076
6.0,0.0009288971457524067
1.0,0.0007388954568485054
96.0,0.0007177841580814051
2.0,0.0006122276642459044
3.0,0.0005277824691775038
0.0,0.0004433372741091032
97.0,0.00033778078027360244
-2.0,0.00029555818273940213
-3.0,0.00027444688397230195
-7.0,0.00027444688397230195
-5.0,0.00023222428643810168
-4.0,0.00021111298767100152
-1.0,0.00021111298767100152
98.0,0.00021111298767100152
-8.0,0.00014777909136970107
-10.0,6.333389630130046e-05
-6.0,6.333389630130046e-05
-9.0,6.333389630130046e-05
99.0,4.2222597534200305e-05
100.0,4.2222597534200305e-05
-11.0,2.1111298767100152e-05
118.0,2.1111298767100152e-05
