,wspd
7.0,0.10302313798344874
6.0,0.0981253166694815
8.0,0.0957186286100321
5.0,0.09212970781962507
9.0,0.08693632832291842
3.0,0.07948403985813207
10.0,0.07640179023813545
0.0,0.07013173450430671
12.0,0.06272166863705456
13.0,0.05284158081405168
14.0,0.0413570342847492
15.0,0.029935821651748015
16.0,0.024235770984630974
17.0,0.017100152001351124
18.0,0.014060124978888701
20.0,0.010386758993413275
21.0,0.008001182232730957
22.0,0.00559449417328154
23.0,0.003757811180543827
24.0,0.0033778078027360244
25.0,0.0021744637730113157
26.0,0.0013722344198615099
28.0,0.000823340651916906
29.0,0.0006544502617801048
30.0,0.0005277824691775038
32.0,0.00031666948150650226
31.0,0.00031666948150650226
37.0,0.00010555649383550076
33.0,8.444519506840061e-05
36.0,8.444519506840061e-05
35.0,8.444519506840061e-05
38.0,4.2222597534200305e-05
39.0,4.2222597534200305e-05
52.0,2.1111298767100152e-05
41.0,2.1111298767100152e-05
45.0,2.1111298767100152e-05
