,wx_phrase
Cloudy,0.30056156054720484
Mostly Cloudy,0.221964195237291
Fair,0.1523180206046276
Partly Cloudy,0.13036226988684343
Light Rain,0.08028626921128187
Light Drizzle,0.01942239486573214
Rain,0.012582334065191691
Light Snow,0.012033440297247087
Fog,0.008930079378483365
Heavy Rain,0.006417834825198446
Light Rain with Thunder,0.006354500928897146
Cloudy / Windy,0.006101165343691944
Mostly Cloudy / Windy,0.004982266509035636
Partly Cloudy / Windy,0.00428559364972133
Heavy T-Storm,0.004011146765749029
Fair / Windy,0.0037366998817767267
Thunder,0.0031033609187637225
Haze,0.0027444688397230198
Light Rain / Windy,0.0027022462421888195
T-Storm,0.002385576760682317
Wintry Mix,0.002111129876710015
Mist,0.0014144570173957101
Snow,0.0011611214321905084
Heavy T-Storm / Windy,0.0011400101334234083
Light Snow / Windy,0.0011400101334234083
Thunder in the Vicinity,0.0011188988346563082
Rain and Snow,0.0009077858469853066
Light Freezing Rain,0.0008444519506840061
Rain and Sleet,0.0005700050667117041
Heavy Rain / Windy,0.0005277824691775038
T-Storm / Windy,0.00040111467657490287
Rain / Windy,0.00040111467657490287
Snow / Windy,0.00038000337780780274
Heavy Snow,0.00038000337780780274
Thunder / Windy,0.00033778078027360244
Patches of Fog,0.00031666948150650226
Wintry Mix / Windy,0.00021111298767100152
Shallow Fog,0.00021111298767100152
Light Snow and Sleet,0.00016889039013680122
Heavy Snow / Windy,0.00014777909136970107
Snow and Sleet,0.00010555649383550076
Thunder and Hail,8.444519506840061e-05
Light Drizzle / Windy,8.444519506840061e-05
Sleet,8.444519506840061e-05
Light Snow and Sleet / Windy,6.333389630130046e-05
Light Sleet,6.333389630130046e-05
Thunder and Hail / Windy,6.333389630130046e-05
Light Freezing Drizzle,4.2222597534200305e-05
Drizzle and Fog,4.2222597534200305e-05
Heavy Sleet,4.2222597534200305e-05
Freezing Rain,2.1111298767100152e-05
Squalls / Windy,2.1111298767100152e-05
Light Sleet / Windy,2.1111298767100152e-05
Rain / Freezing Rain,2.1111298767100152e-05
