valid_time_gmt,feels_like
2013-07-15 16:52:00,102.0
2013-07-17 16:52:00,102.0
2013-07-18 10:52:00,102.0
2013-07-18 11:52:00,102.0
2013-07-18 12:52:00,103.0
2013-07-18 13:52:00,105.0
2013-07-18 14:52:00,105.0
2013-07-18 15:52:00,106.0
2013-07-18 17:52:00,103.0
2013-07-18 18:17:00,105.0
2013-07-18 18:52:00,109.0
2013-07-18 19:08:00,108.0
2013-07-18 19:52:00,102.0
2013-07-18 20:11:00,102.0
2013-07-18 20:52:00,102.0
2013-07-18 21:52:00,103.0
2013-07-19 10:52:00,102.0
2013-07-19 11:52:00,106.0
2013-07-19 12:52:00,107.0
2013-07-19 13:52:00,110.0
2013-07-19 14:52:00,107.0
2013-07-19 15:52:00,107.0
2013-07-19 16:30:00,105.0
2013-07-19 16:52:00,105.0
2013-07-19 17:52:00,104.0
2013-07-19 18:52:00,102.0
2013-09-11 13:52:00,102.0
2013-11-24 02:52:00,15.0
2013-11-24 04:52:00,16.0
2013-11-24 05:52:00,15.0
2013-11-24 06:52:00,16.0
2013-11-24 07:52:00,15.0
2013-11-24 23:52:00,16.0
2013-11-25 02:52:00,16.0
2013-11-25 03:52:00,16.0
2013-11-25 04:52:00,15.0
2013-11-25 06:52:00,16.0
2013-12-12 07:52:00,16.0
2013-12-12 08:52:00,16.0
2013-12-12 09:52:00,16.0
2013-12-24 21:52:00,16.0
2013-12-24 22:52:00,15.0
2013-12-24 23:52:00,14.0
2013-12-25 00:52:00,14.0
2013-12-25 02:52:00,14.0
2013-12-25 03:52:00,14.0
2013-12-25 04:52:00,12.0
2013-12-25 05:52:00,15.0
2013-12-25 06:52:00,13.0
2013-12-25 07:52:00,13.0
2014-01-03 01:31:00,15.0
2014-01-03 01:34:00,15.0
2014-01-03 01:52:00,16.0
2014-01-03 03:21:00,10.0
2014-01-03 03:45:00,8.0
2014-01-03 03:52:00,8.0
2014-01-03 04:52:00,5.0
2014-01-03 05:52:00,2.0
2014-01-03 06:17:00,2.0
2014-01-03 06:52:00,1.0
2014-01-03 07:52:00,2.0
2014-01-03 08:52:00,4.0
2014-01-03 09:52:00,1.0
2014-01-03 10:52:00,3.0
2014-01-03 11:52:00,5.0
2014-01-03 12:52:00,9.0
2014-01-03 13:52:00,8.0
2014-01-03 14:52:00,11.0
2014-01-03 15:52:00,11.0
2014-01-03 16:52:00,15.0
2014-01-03 17:52:00,13.0
2014-01-03 18:52:00,10.0
2014-01-03 19:52:00,10.0
2014-01-03 20:52:00,11.0
2014-01-03 21:52:00,10.0
2014-01-03 22:52:00,12.0
2014-01-03 23:52:00,12.0
2014-01-04 02:52:00,10.0
2014-01-04 03:52:00,12.0
2014-01-04 05:52:00,10.0
2014-01-04 06:52:00,11.0
2014-01-04 07:52:00,11.0
2014-01-04 08:52:00,11.0
2014-01-04 09:52:00,14.0
2014-01-04 10:52:00,16.0
2014-01-06 18:52:00,12.0
2014-01-06 19:52:00,7.0
2014-01-06 20:52:00,0.0
2014-01-06 21:52:00,-3.0
2014-01-06 22:52:00,-7.0
2014-01-06 23:52:00,-3.0
2014-01-07 00:52:00,-8.0
2014-01-07 01:52:00,-7.0
2014-01-07 02:52:00,-8.0
2014-01-07 03:52:00,-8.0
2014-01-07 04:52:00,-11.0
2014-01-07 05:52:00,-10.0
2014-01-07 06:52:00,-9.0
2014-01-07 07:52:00,-8.0
2014-01-07 08:52:00,-7.0
2014-01-07 09:52:00,-3.0
2014-01-07 10:52:00,-3.0
2014-01-07 11:52:00,-1.0
2014-01-07 12:52:00,5.0
2014-01-07 13:52:00,7.0
2014-01-07 15:52:00,10.0
2014-01-07 16:52:00,12.0
2014-01-07 17:52:00,6.0
2014-01-07 18:52:00,6.0
2014-01-07 19:52:00,2.0
2014-01-07 20:52:00,6.0
