valid_time_gmt,pressure
2013-11-04 00:52:00,30.46
2013-11-04 01:52:00,30.49
2013-11-04 02:52:00,30.52
2013-11-04 03:52:00,30.54
2013-11-04 04:52:00,30.55
2013-11-04 05:52:00,30.56
2013-11-04 06:52:00,30.59
2013-11-04 07:52:00,30.6
2013-11-04 08:52:00,30.61
2013-11-04 09:52:00,30.63
2013-11-04 10:52:00,30.62
2013-11-04 11:52:00,30.61
2013-11-04 12:52:00,30.6
2013-11-04 13:52:00,30.58
2013-11-04 14:52:00,30.59
2013-11-04 15:52:00,30.57
2013-11-04 16:52:00,30.58
2013-11-04 17:52:00,30.58
2013-11-04 18:52:00,30.59
2013-11-04 19:52:00,30.61
2013-11-04 20:52:00,30.6
2013-11-04 21:52:00,30.63
2013-11-04 22:52:00,30.61
2013-11-04 23:52:00,30.6
2013-11-05 00:52:00,30.58
2013-11-05 01:52:00,30.59
2013-11-05 02:04:00,30.6
2013-11-05 02:50:00,30.57
2013-11-05 02:52:00,30.57
2013-11-05 03:52:00,30.57
2013-11-05 04:52:00,30.58
2013-11-05 05:52:00,30.58
2013-11-05 06:52:00,30.6
2013-11-05 07:52:00,30.6
2013-11-05 08:52:00,30.6
2013-11-05 09:52:00,30.6
2013-11-05 10:52:00,30.6
2013-11-05 11:52:00,30.57
2013-11-05 12:52:00,30.54
2013-11-05 13:52:00,30.52
2013-11-05 14:52:00,30.52
2013-11-05 15:52:00,30.51
2013-11-05 16:52:00,30.5
2013-11-05 17:52:00,30.5
2013-11-05 18:52:00,30.49
2013-11-05 19:52:00,30.5
2013-11-05 20:52:00,30.48
2013-11-05 21:52:00,30.48
2013-11-05 22:52:00,30.48
2013-11-05 23:28:00,30.46
2013-11-05 23:52:00,30.46
2013-11-06 00:15:00,30.46
2013-11-06 00:52:00,30.46
2013-11-13 07:52:00,30.46
2013-11-13 08:52:00,30.47
2013-11-13 09:52:00,30.48
2013-11-13 10:52:00,30.47
2013-11-20 05:52:00,30.47
2013-11-20 06:52:00,30.49
2013-11-20 07:52:00,30.51
2013-11-20 08:52:00,30.53
2013-11-20 09:52:00,30.55
2013-11-20 10:52:00,30.55
2013-11-20 11:52:00,30.53
2013-11-20 12:52:00,30.51
2013-11-20 13:52:00,30.49
2013-11-20 14:52:00,30.48
2013-11-20 15:52:00,30.49
2013-11-20 16:52:00,30.5
2013-11-20 17:52:00,30.52
2013-11-20 18:52:00,30.53
2013-11-20 19:52:00,30.53
2013-11-20 20:52:00,30.54
2013-11-20 21:52:00,30.55
2013-11-20 22:52:00,30.55
2013-11-20 23:52:00,30.55
2013-11-21 00:52:00,30.56
2013-11-21 01:52:00,30.56
2013-11-21 02:52:00,30.54
2013-11-21 03:52:00,30.54
2013-11-21 04:52:00,30.55
2013-11-21 05:52:00,30.55
2013-11-21 06:52:00,30.55
2013-11-21 07:52:00,30.55
2013-11-21 08:52:00,30.55
2013-11-21 09:52:00,30.55
2013-11-21 10:52:00,30.53
2013-11-21 11:52:00,30.51
2013-11-21 12:52:00,30.48
2013-11-21 13:52:00,30.46
2013-11-24 17:52:00,30.47
2013-11-24 18:52:00,30.48
2013-11-24 19:52:00,30.51
2013-11-24 20:52:00,30.51
2013-11-24 21:52:00,30.52
2013-11-24 22:52:00,30.52
2013-11-24 23:52:00,30.51
2013-11-25 00:52:00,30.51
2013-11-25 01:52:00,30.52
2013-11-25 02:52:00,30.5
2013-11-25 03:52:00,30.53
2013-11-25 04:52:00,30.52
2013-11-25 05:52:00,30.54
2013-11-25 06:52:00,30.55
2013-11-25 07:52:00,30.56
2013-11-25 08:52:00,30.58
2013-11-25 09:52:00,30.57
2013-11-25 10:52:00,30.55
2013-11-25 11:52:00,30.51
2013-11-25 12:52:00,30.47
2013-11-26 22:52:00,29.59
2013-11-26 22:58:00,29.59
2013-11-26 23:08:00,29.58
2013-11-26 23:26:00,29.59
2013-11-26 23:43:00,29.59
2013-11-26 23:52:00,29.59
2013-11-27 00:16:00,29.57
2013-11-27 00:52:00,29.57
2013-11-27 01:52:00,29.55
2013-11-27 02:06:00,29.54
2013-11-27 02:52:00,29.53
2013-11-27 03:52:00,29.52
2013-11-27 04:52:00,29.55
2013-11-27 05:52:00,29.51
2013-11-27 06:52:00,29.56
2013-11-27 07:52:00,29.57
