valid_time_gmt,uv_index
2013-07-01 08:52:00,-148
2013-07-01 09:25:00,-215
2013-07-01 09:52:00,-276
2013-07-01 10:17:00,-336
2013-07-01 10:35:00,-379
2013-07-01 10:41:00,-394
2013-07-01 10:49:00,-413
2013-07-01 10:50:00,-415
2013-07-01 10:52:00,-420
2013-07-01 11:01:00,-441
2013-07-01 11:16:00,-474
2013-07-01 11:52:00,-545
2013-07-01 12:28:00,-595
2013-07-01 12:52:00,-614
2013-07-01 13:13:00,-618
2013-07-01 13:40:00,-609
2013-07-01 13:52:00,-599
2013-07-01 14:20:00,-564
2013-07-01 14:52:00,-507
2013-07-01 15:52:00,-276
2013-07-01 16:52:00,-171
2013-07-02 08:52:00,-148
2013-07-02 10:52:00,-419
2013-07-02 11:13:00,-467
2013-07-02 11:37:00,-517
2013-07-02 11:52:00,-544
2013-07-02 12:52:00,-613
2013-07-02 13:38:00,-609
2013-07-02 13:52:00,-598
2013-07-02 14:12:00,-575
2013-07-02 14:21:00,-562
2013-07-02 14:26:00,-554
2013-07-02 14:52:00,-507
2013-07-02 15:24:00,-437
2013-07-02 15:52:00,-371
2013-07-02 16:52:00,-229
2013-07-02 17:23:00,-164
2013-07-02 17:52:00,-112
2013-07-03 08:30:00,-109
2013-07-03 08:52:00,-147
2013-07-03 09:52:00,-274
2013-07-03 10:05:00,-305
2013-07-03 10:21:00,-344
2013-07-03 10:52:00,-418
2013-07-03 11:52:00,-544
2013-07-03 12:30:00,-444
2013-07-03 12:52:00,-456
2013-07-03 13:24:00,-459
2013-07-03 13:52:00,-446
2013-07-03 14:52:00,-378
2013-07-03 15:52:00,-276
2013-07-03 16:15:00,-235
2013-07-03 16:42:00,-188
2013-07-03 16:52:00,-171
2013-07-04 08:38:00,-121
2013-07-04 08:52:00,-146
2013-07-04 09:02:00,-165
2013-07-04 09:29:00,-165
2013-07-04 09:33:00,-171
2013-07-04 09:52:00,-273
2013-07-04 10:11:00,-318
2013-07-04 10:52:00,-311
2013-07-04 11:10:00,-458
2013-07-04 11:13:00,-465
2013-07-04 11:52:00,-404
2013-07-04 12:52:00,-456
2013-07-04 13:52:00,-445
2013-07-04 14:52:00,-377
2013-07-04 15:52:00,-276
2013-07-04 16:29:00,-138
2013-07-04 16:52:00,-112
2013-07-05 08:52:00,-108
2013-07-05 09:19:00,-148
2013-07-05 09:52:00,-203
2013-07-05 10:41:00,-290
2013-07-05 10:48:00,-303
2013-07-05 10:52:00,-310
2013-07-05 10:58:00,-320
2013-07-05 11:00:00,-324
2013-07-05 11:13:00,-346
2013-07-05 11:52:00,-404
2013-07-05 12:52:00,-455
2013-07-05 13:52:00,-445
2013-07-05 14:52:00,-377
2013-07-05 15:52:00,-276
2013-07-05 16:52:00,-112
2013-07-06 09:52:00,-133
2013-07-06 10:52:00,-203
2013-07-06 11:52:00,-265
2013-07-06 12:52:00,-299
2013-07-06 13:52:00,-293
2013-07-06 14:52:00,-248
2013-07-06 15:52:00,-181
2013-07-06 16:52:00,-112
2013-07-07 09:52:00,-132
2013-07-07 10:52:00,-203
2013-07-07 11:52:00,-265
2013-07-07 12:52:00,-454
2013-07-07 13:52:00,-444
2013-07-07 14:20:00,-276
2013-07-07 14:52:00,-248
2013-07-07 15:52:00,-275
2013-07-07 16:52:00,-170
2013-07-08 08:52:00,-106
2013-07-08 09:52:00,-201
2013-07-08 10:52:00,-307
2013-07-08 11:52:00,-401
2013-07-08 12:52:00,-608
2013-07-08 13:11:00,-613
2013-07-08 13:26:00,-611
2013-07-08 13:31:00,-609
2013-07-08 13:41:00,-603
2013-07-08 13:52:00,-443
2013-07-08 14:06:00,-432
2013-07-08 14:52:00,-376
2013-07-08 15:52:00,-275
2013-07-08 16:52:00,-170
2013-07-09 08:42:00,-124
2013-07-09 08:52:00,-142
2013-07-09 09:33:00,-225
2013-07-09 09:52:00,-268
2013-07-09 10:20:00,-334
2013-07-09 10:52:00,-411
2013-07-09 11:52:00,-537
2013-07-09 12:52:00,-606
2013-07-09 13:52:00,-594
2013-07-09 14:01:00,-585
2013-07-09 14:52:00,-504
2013-07-09 15:39:00,-400
2013-07-09 15:52:00,-369
2013-07-09 16:52:00,-170
2013-07-10 08:35:00,-112
2013-07-10 08:52:00,-141
2013-07-10 09:00:00,-156
2013-07-10 09:21:00,-198
2013-07-10 09:52:00,-267
2013-07-10 10:52:00,-410
2013-07-10 11:52:00,-536
2013-07-10 12:52:00,-605
2013-07-10 13:52:00,-593
2013-07-10 14:52:00,-375
2013-07-10 15:52:00,-274
2013-07-10 16:52:00,-169
2013-07-10 17:52:00,-111
2013-07-11 08:52:00,-140
2013-07-11 09:52:00,-266
2013-07-11 10:52:00,-304
2013-07-11 11:52:00,-534
2013-07-11 12:52:00,-604
2013-07-11 13:52:00,-592
2013-07-11 14:52:00,-502
2013-07-11 15:52:00,-368
2013-07-11 16:52:00,-227
