valid_time_gmt,wspd
2013-07-07 15:52:00,20.0
2013-07-07 18:25:00,24.0
2013-07-07 18:33:00,22.0
2013-07-10 19:52:00,28.0
2013-07-10 20:00:00,30.0
2013-07-10 20:05:00,28.0
2013-07-12 02:59:00,20.0
2013-07-12 03:14:00,22.0
2013-07-18 17:03:00,23.0
2013-07-27 16:52:00,22.0
2013-07-27 16:57:00,20.0
2013-07-27 17:09:00,20.0
2013-08-08 16:28:00,21.0
2013-08-09 15:52:00,23.0
2013-08-13 20:32:00,21.0
2013-08-14 11:52:00,20.0
2013-08-14 12:52:00,20.0
2013-10-07 08:52:00,20.0
2013-10-07 09:52:00,20.0
2013-10-07 11:08:00,21.0
2013-10-07 11:46:00,28.0
2013-10-07 11:52:00,25.0
2013-10-09 12:52:00,20.0
2013-11-01 03:52:00,21.0
2013-11-01 05:52:00,20.0
2013-11-01 06:52:00,21.0
2013-11-01 07:52:00,20.0
2013-11-01 09:26:00,22.0
2013-11-01 09:28:00,22.0
2013-11-03 11:52:00,20.0
2013-11-07 14:52:00,21.0
2013-11-07 15:14:00,23.0
2013-11-07 15:52:00,23.0
2013-11-07 22:52:00,28.0
2013-11-08 10:52:00,21.0
2013-11-08 12:52:00,22.0
2013-11-08 13:24:00,20.0
2013-11-08 14:52:00,21.0
2013-11-10 14:52:00,24.0
2013-11-10 15:52:00,20.0
2013-11-12 06:52:00,25.0
2013-11-12 07:52:00,22.0
2013-11-12 08:52:00,20.0
2013-11-12 09:52:00,23.0
2013-11-12 17:52:00,20.0
2013-11-18 02:37:00,20.0
2013-11-18 02:41:00,20.0
2013-11-18 02:48:00,25.0
2013-11-19 03:52:00,24.0
2013-11-19 07:52:00,22.0
2013-11-19 08:52:00,21.0
2013-11-19 11:52:00,23.0
2013-11-23 00:52:00,23.0
2013-11-23 01:52:00,21.0
2013-11-23 03:52:00,20.0
2013-11-23 04:52:00,20.0
2013-11-23 18:52:00,21.0
2013-11-23 21:34:00,20.0
2013-11-23 21:52:00,20.0
2013-11-24 00:52:00,24.0
2013-11-24 01:52:00,21.0
2013-11-24 02:52:00,23.0
2013-11-24 12:52:00,20.0
2013-11-24 13:52:00,21.0
2013-11-24 15:52:00,21.0
2013-11-27 08:52:00,20.0
2013-11-27 09:41:00,20.0
2013-11-27 13:10:00,23.0
2013-11-27 20:52:00,22.0
2013-11-28 02:52:00,21.0
2013-12-05 15:52:00,20.0
2013-12-06 09:16:00,20.0
2013-12-07 02:52:00,20.0
2013-12-21 13:52:00,20.0
2013-12-21 15:52:00,20.0
2013-12-22 01:30:00,20.0
2013-12-22 01:52:00,21.0
2013-12-22 03:52:00,20.0
2013-12-22 04:38:00,21.0
2013-12-22 05:52:00,21.0
2013-12-22 06:52:00,20.0
2013-12-22 09:35:00,23.0
2013-12-22 17:52:00,21.0
2013-12-23 11:31:00,20.0
2013-12-23 18:52:00,24.0
2013-12-23 19:52:00,22.0
2013-12-24 15:58:00,24.0
2013-12-24 16:52:00,21.0
2013-12-24 17:52:00,24.0
2013-12-24 19:52:00,21.0
2013-12-31 15:52:00,20.0
2014-01-03 01:31:00,20.0
2014-01-03 01:34:00,20.0
2014-01-03 01:52:00,21.0
2014-01-03 03:21:00,31.0
2014-01-03 03:45:00,28.0
2014-01-03 03:52:00,31.0
2014-01-03 04:52:00,26.0
2014-01-03 05:52:00,25.0
2014-01-03 06:17:00,23.0
2014-01-03 06:52:00,26.0
2014-01-03 09:52:00,25.0
2014-01-03 10:52:00,23.0
2014-01-03 11:52:00,24.0
2014-01-03 13:52:00,20.0
2014-01-06 09:35:00,24.0
