valid_time_gmt,gust
2013-07-10 20:05:00,39.0
2013-07-10 20:07:00,39.0
2013-10-07 11:46:00,41.0
2013-10-07 11:52:00,41.0
2013-10-20 02:52:00,39.0
2013-11-24 09:52:00,39.0
2013-12-24 17:52:00,39.0
2014-01-03 03:21:00,43.0
2014-01-03 03:45:00,46.0
2014-01-03 03:52:00,41.0
2014-01-03 05:52:00,41.0
2014-01-03 06:17:00,45.0
2014-01-03 06:52:00,40.0
2014-01-03 09:52:00,40.0
2014-01-06 10:52:00,40.0
2014-01-06 18:52:00,40.0
2014-02-05 20:52:00,40.0
2014-02-15 17:32:00,40.0
2014-02-21 13:26:00,43.0
2014-03-12 19:47:00,44.0
2014-03-12 19:52:00,41.0
2014-03-12 20:18:00,45.0
2014-03-12 20:52:00,47.0
2014-03-12 21:39:00,46.0
2014-03-12 21:52:00,40.0
2014-03-12 23:52:00,45.0
2014-03-13 06:52:00,39.0
2014-03-13 08:52:00,41.0
2014-03-26 11:52:00,40.0
2014-05-16 05:43:00,49.0
2014-05-16 05:45:00,49.0
2014-05-16 05:47:00,49.0
2014-05-16 05:52:00,49.0
2014-05-27 19:07:00,41.0
2014-05-27 19:12:00,43.0
2014-05-27 19:15:00,43.0
2014-05-27 19:18:00,41.0
2014-06-19 00:33:00,39.0
2014-07-08 19:15:00,44.0
2014-07-08 19:19:00,47.0
2014-07-08 19:22:00,47.0
2014-07-08 19:26:00,47.0
2014-07-08 19:41:00,41.0
2014-07-08 19:47:00,41.0
2014-07-10 18:58:00,39.0
2014-07-10 19:03:00,49.0
2014-07-10 19:08:00,49.0
2014-07-14 16:52:00,43.0
2014-07-14 16:56:00,43.0
2014-07-14 16:59:00,43.0
2014-11-01 23:52:00,43.0
2015-01-04 19:31:00,39.0
2015-01-04 19:34:00,39.0
2015-01-30 13:52:00,40.0
2015-01-30 15:52:00,39.0
2015-01-30 18:52:00,41.0
2015-02-02 14:52:00,44.0
2015-02-02 15:52:00,40.0
2015-02-02 16:52:00,39.0
2015-02-02 17:52:00,44.0
2015-02-14 19:09:00,52.0
2015-02-14 19:14:00,52.0
2015-02-14 19:18:00,47.0
2015-02-14 21:52:00,44.0
2015-02-14 22:52:00,44.0
2015-02-14 23:52:00,47.0
2015-02-15 00:52:00,43.0
2015-02-15 02:52:00,44.0
2015-02-15 06:52:00,46.0
2015-02-15 08:52:00,40.0
2015-02-15 09:52:00,39.0
2015-02-15 13:52:00,40.0
2015-03-17 23:52:00,39.0
2015-03-31 17:52:00,43.0
2015-04-03 23:24:00,39.0
2015-04-03 23:52:00,41.0
2015-04-04 11:52:00,45.0
2015-04-04 12:37:00,44.0
2015-04-20 17:47:00,40.0
2015-04-20 17:52:00,40.0
2015-06-01 18:28:00,39.0
2015-06-01 18:31:00,39.0
2015-06-01 18:37:00,44.0
2015-06-01 18:43:00,44.0
2015-06-08 17:22:00,52.0
2015-06-08 17:29:00,52.0
2015-06-23 18:52:00,48.0
2015-06-23 18:54:00,48.0
2015-06-23 18:58:00,54.0
2015-06-23 19:02:00,55.0
2015-06-23 19:04:00,55.0
2015-06-23 19:10:00,45.0
2015-07-01 00:58:00,48.0
2015-07-01 01:00:00,48.0
2015-07-01 01:02:00,48.0
2015-07-01 01:11:00,51.0
2015-11-13 12:52:00,39.0
2016-01-10 15:52:00,40.0
2016-01-12 19:36:00,40.0
2016-01-12 19:38:00,40.0
2016-01-12 19:45:00,39.0
2016-01-23 15:52:00,39.0
2016-01-23 16:04:00,39.0
2016-01-23 16:26:00,41.0
2016-01-23 17:18:00,43.0
2016-02-13 09:52:00,39.0
2016-02-16 09:31:00,40.0
2016-02-24 18:17:00,41.0
2016-02-24 18:19:00,41.0
2016-02-24 18:24:00,41.0
2016-02-26 10:52:00,40.0
2016-02-26 14:52:00,39.0
2016-03-02 04:52:00,41.0
2016-03-02 10:52:00,44.0
2016-03-28 14:52:00,43.0
2016-03-28 15:52:00,39.0
2016-04-02 22:52:00,59.0
2016-04-03 01:52:00,41.0
2016-04-03 03:52:00,47.0
2016-04-03 06:52:00,39.0
2016-04-03 09:52:00,39.0
2016-04-09 13:52:00,40.0
2016-05-02 21:13:00,49.0
2016-06-08 12:52:00,40.0
2016-07-18 16:22:00,45.0
2016-07-18 16:25:00,45.0
2016-07-18 16:33:00,45.0
2016-07-18 16:36:00,41.0
2016-08-15 20:37:00,40.0
2016-08-15 20:39:00,40.0
2016-08-15 20:41:00,40.0
2016-08-17 21:14:00,40.0
2016-08-17 21:18:00,40.0
2016-10-09 11:52:00,43.0
2016-10-09 15:52:00,40.0
2016-10-21 14:05:00,43.0
2016-10-21 14:08:00,43.0
2016-10-22 14:52:00,39.0
2016-10-28 10:52:00,44.0
2016-10-28 11:52:00,40.0
2016-10-30 18:28:00,43.0
2016-11-19 14:59:00,43.0
2016-11-19 15:09:00,41.0
2016-11-19 15:52:00,43.0
2016-11-20 10:52:00,41.0
2016-11-20 11:52:00,47.0
2016-11-20 12:52:00,45.0
2016-11-20 13:52:00,41.0
2016-11-20 14:52:00,41.0
2016-11-20 15:52:00,40.0
2016-11-20 17:52:00,45.0
2016-11-20 18:52:00,41.0
2016-12-15 08:52:00,39.0
2016-12-15 10:52:00,39.0
2016-12-15 12:52:00,40.0
2016-12-15 13:52:00,43.0
2016-12-15 14:52:00,40.0
2016-12-18 13:49:00,53.0
2016-12-18 13:52:00,54.0
2016-12-18 14:00:00,54.0
2016-12-30 13:52:00,39.0
2017-01-23 08:52:00,40.0
2017-01-23 09:24:00,40.0
2017-01-23 09:52:00,41.0
2017-01-23 09:55:00,41.0
2017-01-23 10:03:00,44.0
2017-01-23 10:26:00,40.0
2017-01-23 11:28:00,41.0
2017-01-23 11:49:00,43.0
2017-01-23 11:52:00,43.0
