valid_time_gmt,rh
2013-08-15 16:52:00,26.0
2013-09-17 15:52:00,27.0
2013-09-17 16:52:00,27.0
2013-09-25 13:52:00,26.0
2013-09-25 14:52:00,26.0
2013-09-25 15:52:00,24.0
2013-11-10 11:52:00,27.0
2013-11-10 12:52:00,24.0
2013-11-18 11:52:00,24.0
2013-11-18 12:52:00,22.0
2013-11-18 13:52:00,23.0
2013-11-18 14:52:00,22.0
2013-11-18 15:52:00,18.0
2013-11-18 16:52:00,19.0
2013-11-18 17:52:00,22.0
2013-11-18 18:52:00,26.0
2013-11-18 19:52:00,27.0
2013-12-19 14:52:00,27.0
2013-12-19 15:52:00,27.0
2014-01-07 14:52:00,26.0
2014-01-07 15:52:00,27.0
2014-01-20 12:52:00,27.0
2014-01-20 13:52:00,26.0
2014-01-20 14:52:00,27.0
2014-01-20 15:52:00,27.0
2014-01-27 15:52:00,25.0
2014-01-29 15:52:00,27.0
2014-01-29 16:52:00,25.0
2014-01-29 17:52:00,27.0
2014-01-31 11:52:00,27.0
2014-01-31 12:52:00,24.0
2014-01-31 13:52:00,24.0
2014-01-31 14:52:00,20.0
2014-01-31 15:52:00,18.0
2014-02-01 12:52:00,26.0
2014-02-01 13:52:00,27.0
2014-02-01 14:52:00,27.0
2014-02-17 15:52:00,26.0
2014-02-18 15:52:00,27.0
2014-02-18 17:52:00,25.0
2014-02-19 18:52:00,25.0
2014-02-22 12:52:00,25.0
2014-02-22 13:52:00,20.0
2014-02-22 14:52:00,20.0
2014-02-22 15:52:00,19.0
2014-02-24 12:52:00,23.0
2014-02-24 13:52:00,21.0
2014-02-24 14:52:00,21.0
2014-02-24 15:52:00,21.0
2014-02-24 16:52:00,22.0
2014-02-24 17:52:00,25.0
2014-02-27 11:52:00,26.0
2014-02-27 12:52:00,25.0
2014-02-27 13:52:00,22.0
2014-02-27 14:12:00,23.0
2014-02-27 14:52:00,27.0
2014-02-27 15:52:00,25.0
2014-02-27 16:52:00,25.0
2014-02-27 17:52:00,27.0
2014-02-28 10:52:00,25.0
2014-02-28 11:52:00,25.0
2014-02-28 12:52:00,23.0
2014-02-28 13:52:00,21.0
2014-02-28 14:52:00,19.0
2014-02-28 15:52:00,17.0
2014-02-28 16:52:00,20.0
2014-02-28 17:52:00,19.0
2014-03-04 16:52:00,24.0
2014-03-05 14:52:00,26.0
2014-03-09 15:52:00,25.0
2014-03-09 16:52:00,26.0
2014-03-09 17:52:00,24.0
2014-03-13 10:52:00,26.0
2014-03-13 11:52:00,25.0
2014-03-13 12:52:00,24.0
2014-03-13 13:52:00,23.0
2014-03-13 14:52:00,23.0
2014-03-13 15:52:00,23.0
2014-03-13 16:52:00,21.0
2014-03-13 17:52:00,23.0
2014-03-13 18:52:00,25.0
2014-03-13 19:52:00,27.0
2014-03-13 20:52:00,27.0
2014-03-14 14:52:00,27.0
2014-03-14 15:31:00,21.0
2014-03-14 15:52:00,21.0
2014-03-14 16:52:00,23.0
2014-03-14 17:52:00,25.0
2014-03-14 19:52:00,27.0
2014-03-14 20:52:00,23.0
2014-03-14 22:52:00,24.0
2014-03-14 23:52:00,24.0
2014-03-15 00:52:00,25.0
2014-03-15 01:52:00,26.0
2014-03-15 02:52:00,27.0
2014-03-15 13:52:00,26.0
2014-03-15 14:52:00,22.0
2014-03-15 15:52:00,16.0
2014-03-15 16:52:00,15.0
2014-03-15 17:52:00,16.0
2014-03-15 18:52:00,19.0
2014-03-15 19:52:00,22.0
2014-03-15 20:52:00,26.0
2014-03-20 13:52:00,27.0
2014-03-20 14:52:00,26.0
2014-03-20 15:52:00,24.0
2014-03-20 16:52:00,23.0
2014-03-20 17:52:00,22.0
2014-03-20 18:52:00,27.0
2014-03-22 14:52:00,26.0
2014-03-22 15:52:00,21.0
2014-03-22 16:52:00,16.0
2014-03-22 17:52:00,22.0
2014-03-24 14:52:00,27.0
2014-03-24 15:52:00,26.0
2014-03-24 16:52:00,23.0
2014-03-24 17:52:00,24.0
2014-03-24 18:52:00,25.0
2014-03-24 19:52:00,26.0
2014-03-26 16:52:00,27.0
2014-03-26 17:52:00,25.0
2014-03-26 18:52:00,27.0
2014-03-31 16:52:00,27.0
2014-03-31 17:52:00,26.0
2014-03-31 18:52:00,24.0
2014-03-31 19:52:00,25.0
2014-03-31 20:52:00,27.0
2014-04-06 12:52:00,23.0
2014-04-06 13:52:00,20.0
2014-04-06 14:52:00,20.0
2014-04-06 15:52:00,14.0
2014-04-06 16:52:00,15.0
2014-04-06 17:52:00,17.0
2014-04-09 15:52:00,25.0
2014-04-09 16:52:00,26.0
2014-04-09 17:52:00,22.0
2014-04-09 18:52:00,22.0
2014-04-09 19:52:00,23.0
2014-04-09 20:52:00,23.0
2014-04-09 21:52:00,27.0
2014-04-10 13:52:00,26.0
2014-04-10 14:52:00,25.0
2014-04-10 15:52:00,24.0
2014-04-10 16:52:00,25.0
2014-04-10 17:52:00,26.0
2014-04-11 16:52:00,25.0
2014-04-11 17:52:00,22.0
2014-04-12 11:52:00,24.0
2014-04-12 12:52:00,22.0
2014-04-12 13:52:00,21.0
2014-04-12 14:52:00,19.0
2014-04-12 15:52:00,24.0
2014-04-12 16:52:00,26.0
2014-04-16 15:52:00,27.0
2014-04-16 16:52:00,27.0
2014-04-16 17:52:00,26.0
2014-04-16 18:52:00,27.0
2014-04-19 16:52:00,25.0
2014-04-19 17:52:00,26.0
2014-04-19 18:52:00,27.0
2014-04-19 19:52:00,24.0
2014-04-21 12:52:00,26.0
2014-04-21 13:52:00,27.0
2014-04-21 15:52:00,24.0
2014-04-24 10:52:00,27.0
2014-04-24 12:52:00,26.0
2014-04-24 13:52:00,23.0
2014-04-24 14:52:00,21.0
2014-04-24 15:52:00,21.0
2014-04-24 16:52:00,22.0
2014-04-24 17:52:00,21.0
2014-04-24 18:52:00,23.0
2014-04-24 19:52:00,23.0
2014-04-24 20:52:00,24.0
2014-05-04 10:52:00,26.0
2014-05-04 13:52:00,26.0
2014-05-04 14:52:00,23.0
2014-05-19 15:52:00,26.0
2014-05-19 16:52:00,24.0
2014-05-19 17:52:00,26.0
2014-05-19 18:52:00,25.0
2014-05-25 16:52:00,27.0
2014-05-31 15:52:00,27.0
2014-07-05 15:52:00,27.0
2014-08-05 17:52:00,27.0
2014-08-15 14:52:00,27.0
2014-08-16 15:52:00,27.0
2014-10-26 10:52:00,27.0
2014-10-26 11:52:00,25.0
2014-10-26 12:52:00,22.0
2014-10-26 13:52:00,20.0
2014-10-26 14:52:00,19.0
2014-10-26 15:52:00,20.0
2014-10-26 16:52:00,19.0
2014-10-26 17:52:00,20.0
2014-10-26 18:52:00,21.0
2014-10-26 19:52:00,22.0
2014-10-26 20:52:00,25.0
2014-10-27 14:52:00,26.0
2014-11-02 14:52:00,27.0
2014-11-02 15:52:00,26.0
2014-11-02 16:52:00,27.0
2014-11-03 09:52:00,25.0
2014-11-03 10:52:00,21.0
2014-11-03 11:52:00,20.0
2014-11-03 12:52:00,18.0
2014-11-03 13:52:00,16.0
2014-11-03 14:52:00,16.0
2014-11-03 15:52:00,15.0
2014-11-03 16:52:00,20.0
2014-11-18 10:52:00,26.0
2014-11-18 11:52:00,27.0
2014-11-18 12:52:00,26.0
2014-11-18 13:52:00,25.0
2014-11-18 14:52:00,24.0
2014-11-18 15:52:00,25.0
2014-11-18 16:52:00,24.0
2014-11-18 17:52:00,27.0
2014-11-20 14:52:00,27.0
2014-11-21 12:52:00,26.0
2014-11-21 13:52:00,25.0
2014-11-21 14:52:00,26.0
2014-11-21 15:52:00,24.0
2014-11-22 12:52:00,27.0
2014-11-22 13:52:00,24.0
2014-11-22 14:52:00,24.0
2014-11-22 15:52:00,25.0
2014-11-22 16:52:00,27.0
2014-12-11 18:52:00,27.0
2014-12-11 19:52:00,26.0
2014-12-11 20:52:00,22.0
2014-12-11 21:52:00,22.0
2014-12-11 22:52:00,22.0
2014-12-11 23:52:00,21.0
2014-12-12 00:52:00,25.0
2014-12-12 01:52:00,27.0
2014-12-31 15:52:00,26.0
2015-01-05 11:52:00,25.0
2015-01-05 12:52:00,25.0
2015-01-05 13:52:00,26.0
2015-01-05 14:52:00,20.0
2015-01-05 15:52:00,21.0
