valid_time_gmt,vis
2013-07-01 10:17:00,2.0
2013-07-01 10:35:00,1.0
2013-07-01 10:41:00,0.75
2013-07-01 10:49:00,1.0
2013-07-01 10:50:00,2.0
2013-07-01 10:52:00,3.0
2013-07-02 14:21:00,2.0
2013-07-03 08:30:00,1.0
2013-07-10 20:05:00,1.0
2013-07-10 20:07:00,0.5
2013-07-10 20:14:00,0.75
2013-07-12 02:52:00,3.0
2013-07-12 02:59:00,2.0
2013-07-12 03:14:00,3.0
2013-07-12 03:25:00,1.0
2013-07-12 03:35:00,1.0
2013-07-12 03:52:00,1.0
2013-07-12 04:03:00,2.0
2013-07-12 04:17:00,3.0
2013-07-12 14:00:00,3.0
2013-07-13 19:43:00,3.0
2013-07-18 17:11:00,1.0
2013-07-18 17:22:00,1.0
2013-07-27 17:09:00,2.0
2013-07-27 17:18:00,3.0
2013-07-27 20:39:00,2.0
2013-08-01 01:34:00,3.0
2013-08-01 03:23:00,3.0
2013-08-01 04:39:00,3.0
2013-08-01 04:45:00,2.0
2013-08-01 09:52:00,3.0
2013-08-01 09:56:00,2.0
2013-08-01 10:07:00,2.0
2013-08-01 10:09:00,3.0
2013-08-13 20:36:00,1.0
2013-08-13 20:43:00,1.0
2013-09-12 17:06:00,2.0
2013-09-21 15:32:00,3.0
2013-09-21 16:28:00,3.0
2013-09-21 16:37:00,2.0
2013-09-21 16:52:00,2.0
2013-09-21 20:52:00,2.0
2013-09-21 20:54:00,2.0
2013-09-21 21:08:00,3.0
2013-09-21 21:27:00,2.0
2013-09-21 21:35:00,2.0
2013-10-07 11:52:00,0.75
2013-10-07 11:59:00,1.0
2013-10-07 12:10:00,1.0
2013-10-07 12:30:00,1.0
2013-10-07 12:34:00,2.0
2013-10-07 15:03:00,2.0
2013-10-07 15:04:00,1.0
2013-10-07 15:11:00,1.0
2013-10-07 15:18:00,3.0
2013-10-07 16:04:00,2.0
2013-10-07 16:17:00,3.0
2013-10-10 07:05:00,2.0
2013-10-10 07:22:00,2.0
2013-10-10 07:44:00,1.0
2013-10-10 07:52:00,1.0
2013-10-10 08:04:00,2.0
2013-10-10 08:34:00,1.0
2013-10-10 08:52:00,1.0
2013-10-10 09:09:00,3.0
2013-10-10 09:25:00,3.0
2013-10-10 09:34:00,2.0
2013-10-10 09:42:00,3.0
2013-10-10 10:23:00,3.0
2013-10-10 10:39:00,3.0
2013-10-10 10:52:00,3.0
2013-10-10 11:52:00,3.0
2013-10-10 17:29:00,2.0
2013-10-10 17:37:00,2.0
2013-10-10 17:52:00,2.0
2013-10-10 18:37:00,3.0
2013-10-10 19:34:00,3.0
2013-10-10 19:52:00,3.0
2013-10-10 22:12:00,3.0
2013-10-10 22:52:00,3.0
2013-10-11 01:41:00,2.0
2013-10-11 04:14:00,3.0
2013-10-11 07:52:00,3.0
2013-10-11 10:40:00,2.0
2013-10-11 10:52:00,2.0
2013-10-11 10:59:00,1.0
2013-10-11 11:08:00,3.0
2013-10-11 11:34:00,1.0
2013-10-11 11:48:00,0.75
2013-10-11 11:52:00,0.75
2013-10-11 11:56:00,2.0
2013-10-11 12:03:00,3.0
