valid_time_gmt,feels_like
2014-01-06 22:52:00,-7.0
2014-01-07 00:52:00,-8.0
2014-01-07 01:52:00,-7.0
2014-01-07 02:52:00,-8.0
2014-01-07 03:52:00,-8.0
2014-01-07 04:52:00,-11.0
2014-01-07 05:52:00,-10.0
2014-01-07 06:52:00,-9.0
2014-01-07 07:52:00,-8.0
2014-01-07 08:52:00,-7.0
2014-01-22 02:52:00,-7.0
2014-01-22 03:52:00,-7.0
2014-01-22 04:52:00,-5.0
2014-01-22 05:52:00,-7.0
2014-01-22 06:52:00,-8.0
2014-01-22 07:52:00,-9.0
2014-01-22 08:52:00,-10.0
2014-01-22 09:52:00,-5.0
2014-01-22 10:52:00,-5.0
2015-02-15 02:52:00,-7.0
2015-02-15 03:52:00,-7.0
2015-02-15 04:52:00,-6.0
2015-02-15 05:52:00,-7.0
2015-02-15 06:52:00,-10.0
2015-02-15 07:52:00,-7.0
2015-02-15 08:52:00,-6.0
2015-02-15 09:52:00,-7.0
2015-02-15 23:52:00,-5.0
2015-02-16 03:52:00,-7.0
2015-02-16 05:52:00,-5.0
2015-02-16 06:52:00,-5.0
2015-02-19 23:52:00,-8.0
2015-02-20 00:52:00,-6.0
2015-02-20 01:52:00,-5.0
2015-02-20 02:52:00,-5.0
2015-02-20 03:52:00,-8.0
2015-02-20 04:52:00,-5.0
2015-02-20 05:52:00,-7.0
2015-02-20 06:52:00,-9.0
2015-02-20 07:52:00,-5.0
2015-02-20 08:52:00,-5.0
