valid_time_gmt,precip_hrly
2013-07-01 10:41:00,0.18
2013-07-01 10:49:00,0.5
2013-07-01 10:50:00,0.54
2013-07-01 10:52:00,0.56
2013-07-10 20:14:00,0.36
2013-07-10 20:24:00,0.52
2013-07-10 20:33:00,0.53
2013-07-10 20:43:00,0.53
2013-07-10 20:52:00,0.53
2013-07-12 03:25:00,0.22
2013-07-12 03:35:00,0.37
2013-07-12 03:52:00,0.6
2013-07-12 04:17:00,0.23
2013-07-12 04:36:00,0.37
2013-07-12 04:52:00,0.42
2013-07-18 17:11:00,0.25
2013-07-18 17:22:00,0.54
2013-07-18 17:32:00,0.81
2013-07-18 17:38:00,0.94
2013-07-18 17:43:00,0.99
2013-07-18 17:52:00,1.02
2013-08-13 20:43:00,0.36
2013-08-13 20:52:00,0.44
2013-09-21 21:27:00,0.19
2013-09-21 21:35:00,0.27
2013-09-21 21:46:00,0.31
2013-09-21 21:52:00,0.32
2013-10-07 12:10:00,0.33
2013-10-07 12:30:00,0.56
2013-10-07 12:34:00,0.58
2013-10-07 12:49:00,0.66
2013-10-07 12:52:00,0.66
2013-10-10 07:44:00,0.34
2013-10-10 07:52:00,0.45
2013-10-10 08:34:00,0.37
2013-10-10 08:52:00,0.5
2013-10-10 09:25:00,0.18
2013-10-10 09:34:00,0.18
2013-10-10 09:42:00,0.19
2013-10-10 09:52:00,0.19
2013-10-11 11:48:00,0.24
2013-10-11 11:52:00,0.3
2013-10-11 12:52:00,0.21
2013-10-11 19:52:00,0.24
2013-10-11 20:08:00,0.28
2013-10-11 20:13:00,0.32
2013-10-11 20:29:00,0.47
2013-10-11 20:32:00,0.5
2013-10-11 20:46:00,0.69
2013-10-11 20:52:00,0.71
2013-10-11 21:44:00,0.24
2013-10-11 21:49:00,0.25
2013-10-11 21:52:00,0.26
2013-11-26 21:42:00,0.18
2013-11-26 21:52:00,0.2
2013-11-26 22:46:00,0.23
2013-11-26 22:52:00,0.32
2013-11-26 23:26:00,0.19
2013-11-26 23:43:00,0.23
2013-11-26 23:52:00,0.23
2013-11-27 02:52:00,0.25
2013-12-23 10:29:00,0.19
2013-12-23 10:33:00,0.21
2013-12-23 10:44:00,0.22
2013-12-23 10:52:00,0.23
2013-12-29 09:52:00,0.18
2013-12-29 10:52:00,0.19
2013-12-29 11:48:00,0.29
2013-12-29 11:52:00,0.31
2013-12-29 12:52:00,0.23
2014-02-03 04:52:00,0.18
2014-02-03 06:52:00,0.23
2014-02-03 07:52:00,0.22
