valid_time_gmt,pressure
2013-11-29 18:52:00,30.68
2013-11-29 19:52:00,30.69
2013-11-29 20:52:00,30.69
2013-11-29 21:52:00,30.7
2013-11-29 22:52:00,30.72
2013-11-29 23:52:00,30.72
2013-11-30 00:52:00,30.71
2013-11-30 01:52:00,30.71
2013-11-30 02:52:00,30.71
2013-11-30 03:52:00,30.71
2013-11-30 04:52:00,30.7
2013-11-30 05:52:00,30.71
2013-11-30 06:52:00,30.71
2013-11-30 07:52:00,30.71
2013-11-30 08:52:00,30.71
2013-11-30 09:52:00,30.7
2013-11-30 10:52:00,30.68
2014-02-13 14:44:00,29.36
2014-02-13 14:52:00,29.35
2014-02-13 14:58:00,29.33
2014-02-13 15:11:00,29.33
2014-02-13 15:47:00,29.3
2014-02-13 15:52:00,29.3
2014-02-13 16:05:00,29.31
2014-02-13 16:18:00,29.3
2014-02-13 16:30:00,29.31
2014-02-13 16:52:00,29.33
2014-02-13 17:16:00,29.31
2014-02-13 17:21:00,29.31
2014-02-13 17:31:00,29.31
2014-02-13 17:40:00,29.31
2014-02-13 17:52:00,29.31
2014-02-13 18:03:00,29.31
2014-02-13 18:15:00,29.3
2014-02-13 18:33:00,29.29
2014-02-13 18:52:00,29.3
2014-02-13 19:06:00,29.3
2014-02-13 19:30:00,29.3
2014-02-13 19:52:00,29.3
2014-02-13 19:54:00,29.3
2014-02-13 20:02:00,29.3
2014-02-13 20:31:00,29.3
2014-02-13 20:46:00,29.3
2014-02-13 20:52:00,29.3
2014-02-13 21:22:00,29.31
2014-02-13 21:43:00,29.32
2014-02-13 21:52:00,29.32
2014-02-13 22:44:00,29.34
2014-02-13 22:52:00,29.34
2014-02-13 23:52:00,29.34
2014-02-14 00:52:00,29.37
2014-03-12 10:52:00,29.35
2014-03-12 11:52:00,29.29
2014-03-12 12:52:00,29.26
2014-03-12 13:52:00,29.18
2014-03-12 14:52:00,29.13
2014-03-12 15:38:00,29.11
2014-03-12 15:52:00,29.11
2014-03-12 16:52:00,29.08
2014-03-12 17:52:00,29.05
2014-03-12 18:31:00,29.06
2014-03-12 18:52:00,29.06
2014-03-12 19:29:00,29.11
2014-03-12 19:47:00,29.14
2014-03-12 19:52:00,29.14
2014-03-12 20:18:00,29.2
2014-03-12 20:52:00,29.26
2014-03-12 21:39:00,29.36
2015-01-11 09:52:00,30.67
2015-02-27 23:52:00,30.67
2015-02-28 00:52:00,30.69
2015-02-28 01:52:00,30.7
2015-02-28 02:52:00,30.71
2015-02-28 03:52:00,30.73
2015-02-28 04:52:00,30.76
2015-02-28 05:52:00,30.79
2015-02-28 06:52:00,30.8
2015-02-28 07:52:00,30.83
2015-02-28 08:52:00,30.85
2015-02-28 09:52:00,30.86
2015-02-28 10:52:00,30.86
2015-02-28 11:52:00,30.84
2015-02-28 12:52:00,30.81
2015-02-28 13:52:00,30.78
2015-02-28 14:52:00,30.76
2015-02-28 15:52:00,30.75
2015-02-28 16:52:00,30.75
2015-02-28 17:52:00,30.75
2015-02-28 18:52:00,30.75
2015-02-28 19:52:00,30.76
2015-02-28 20:52:00,30.77
2015-02-28 21:52:00,30.77
2015-02-28 22:52:00,30.75
2015-02-28 23:52:00,30.73
2015-03-01 00:52:00,30.71
2015-03-01 01:52:00,30.71
2015-03-01 02:52:00,30.69
2015-11-25 08:52:00,30.68
2015-11-25 09:52:00,30.69
2015-11-25 10:52:00,30.69
2015-11-25 11:52:00,30.68
2015-11-25 12:52:00,30.67
2015-11-25 16:52:00,30.67
2015-11-25 17:52:00,30.7
2015-11-25 18:52:00,30.71
2015-11-25 19:52:00,30.73
2015-11-25 20:52:00,30.73
2015-11-25 21:52:00,30.71
2015-11-25 22:52:00,30.73
2015-11-25 23:52:00,30.74
2015-11-26 00:52:00,30.75
2015-11-26 01:52:00,30.75
2015-11-26 02:52:00,30.74
2015-11-26 03:52:00,30.74
2015-11-26 04:52:00,30.75
2015-11-26 05:52:00,30.77
