valid_time_gmt,wspd
2013-07-10 19:52:00,28.0
2013-07-10 20:00:00,30.0
2013-07-10 20:05:00,28.0
2013-10-07 11:46:00,28.0
2013-10-07 11:52:00,25.0
2013-11-07 22:52:00,28.0
2013-11-12 06:52:00,25.0
2013-11-18 02:48:00,25.0
2014-01-03 03:21:00,31.0
2014-01-03 03:45:00,28.0
2014-01-03 03:52:00,31.0
2014-01-03 04:52:00,26.0
2014-01-03 05:52:00,25.0
2014-01-03 06:52:00,26.0
2014-01-03 09:52:00,25.0
2014-01-06 10:37:00,25.0
2014-01-06 14:52:00,25.0
2014-01-21 13:00:00,26.0
2014-01-21 17:52:00,25.0
2014-01-21 23:21:00,25.0
2014-01-21 23:52:00,28.0
2014-01-27 11:20:00,26.0
2014-01-27 11:52:00,25.0
2014-01-27 14:52:00,25.0
2014-02-05 20:52:00,30.0
2014-02-15 15:31:00,25.0
2014-02-21 13:26:00,26.0
2014-02-21 13:45:00,25.0
2014-02-27 17:52:00,26.0
2014-02-27 19:52:00,25.0
2014-02-27 20:52:00,29.0
2014-02-27 21:52:00,29.0
2014-03-03 09:52:00,26.0
2014-03-12 13:52:00,26.0
2014-03-12 14:52:00,25.0
2014-03-12 20:18:00,28.0
2014-03-12 20:52:00,26.0
2014-03-12 21:39:00,36.0
2014-03-12 21:52:00,25.0
2014-03-12 23:52:00,30.0
2014-03-13 01:52:00,25.0
2014-03-13 06:52:00,25.0
2014-03-13 08:52:00,25.0
2014-03-13 09:52:00,28.0
2014-03-13 10:52:00,25.0
2014-03-13 11:52:00,26.0
2014-03-13 12:52:00,28.0
2014-03-26 10:01:00,25.0
2014-03-26 11:52:00,28.0
2014-03-30 11:52:00,26.0
2014-04-14 13:52:00,26.0
2014-04-14 14:52:00,26.0
2014-04-15 13:52:00,25.0
2014-04-15 17:00:00,26.0
2014-04-16 02:52:00,28.0
2014-05-04 14:52:00,25.0
2014-05-16 05:43:00,37.0
2014-05-16 05:45:00,26.0
2014-05-27 19:07:00,31.0
2014-05-27 19:12:00,32.0
2014-05-27 19:15:00,26.0
2014-07-08 19:15:00,32.0
2014-07-08 19:19:00,30.0
2014-07-08 19:22:00,30.0
2014-07-08 19:41:00,28.0
2014-07-08 19:47:00,26.0
2014-07-10 18:58:00,32.0
2014-07-10 19:03:00,25.0
2014-07-10 19:08:00,26.0
2014-07-14 16:52:00,32.0
2014-07-14 16:56:00,26.0
2014-07-28 16:32:00,25.0
2014-11-01 20:52:00,25.0
2014-11-01 23:52:00,35.0
2014-11-02 13:52:00,28.0
2014-11-18 02:52:00,25.0
2014-11-18 08:52:00,25.0
2014-11-21 00:52:00,26.0
2014-12-07 01:52:00,25.0
2014-12-10 09:52:00,26.0
2014-12-10 14:52:00,25.0
2015-01-04 19:31:00,26.0
2015-01-30 11:30:00,29.0
2015-01-30 13:52:00,26.0
2015-01-30 18:52:00,25.0
2015-02-02 14:52:00,29.0
2015-02-02 16:52:00,25.0
2015-02-05 12:52:00,28.0
2015-02-05 16:52:00,25.0
2015-02-12 20:52:00,28.0
2015-02-12 22:52:00,25.0
2015-02-14 19:09:00,26.0
2015-02-14 19:14:00,30.0
2015-02-14 19:18:00,28.0
