valid_time_gmt,dewPt
2012-03-02 11:53:00,21.0
2012-03-02 12:53:00,19.0
2012-03-02 13:23:00,0.0
2012-03-02 13:53:00,-6.0
2012-03-02 14:53:00,-7.0
2012-03-02 15:23:00,23.0
2012-03-02 15:53:00,24.0
2012-03-02 18:53:00,23.0
2012-03-02 19:53:00,25.0
2012-03-02 20:53:00,21.0
2012-03-02 21:53:00,20.0
2012-03-02 22:53:00,19.0
2012-03-02 23:53:00,21.0
2012-03-03 00:53:00,18.0
2012-03-03 01:53:00,19.0
2012-03-03 02:53:00,16.0
2012-03-03 03:53:00,20.0
2012-03-03 04:53:00,18.0
2012-03-03 05:53:00,20.0
2012-03-03 06:53:00,21.0
2012-03-03 07:53:00,21.0
2012-03-03 08:53:00,20.0
2012-03-03 09:53:00,16.0
2012-03-03 10:53:00,15.0
2012-03-03 11:53:00,10.0
2012-03-03 12:53:00,13.0
2012-03-03 13:53:00,16.0
2012-03-03 14:53:00,16.0
2012-03-03 15:53:00,14.0
2012-03-03 16:53:00,16.0
2012-03-03 17:53:00,18.0
2012-03-03 18:53:00,19.0
2012-03-03 19:53:00,23.0
2012-03-03 20:53:00,23.0
2012-03-03 21:53:00,21.0
2012-03-03 22:53:00,23.0
2012-03-03 23:53:00,25.0
2012-03-04 00:53:00,26.0
2012-03-04 01:53:00,25.0
2012-03-04 02:53:00,26.0
2012-03-04 03:53:00,26.0
2012-03-04 08:53:00,26.0
2012-03-04 09:53:00,22.0
2012-03-04 10:53:00,20.0
2012-03-04 11:53:00,20.0
2012-03-04 12:53:00,19.0
2012-03-04 13:53:00,19.0
2012-03-04 14:53:00,18.0
2012-03-04 15:53:00,18.0
2012-03-04 16:53:00,22.0
2012-03-04 17:53:00,23.0
2012-03-04 18:53:00,22.0
2012-03-04 19:53:00,26.0
2012-03-04 21:53:00,26.0
2012-03-05 10:53:00,26.0
2012-03-05 11:53:00,26.0
2012-03-05 12:53:00,24.0
2012-03-06 19:53:00,21.0
2012-03-06 20:53:00,19.0
2012-03-06 21:53:00,13.0
2012-03-06 22:53:00,14.0
2012-03-06 23:53:00,15.0
2012-03-07 00:53:00,13.0
2012-03-07 01:53:00,12.0
2012-03-07 02:53:00,12.0
2012-03-07 03:53:00,13.0
2012-03-07 04:53:00,13.0
2012-03-07 05:53:00,13.0
2012-03-07 06:53:00,8.0
2012-03-07 07:53:00,6.0
2012-03-07 08:53:00,1.0
2012-03-07 09:53:00,-1.0
2012-03-07 10:53:00,3.0
2012-03-07 11:53:00,1.0
2012-03-07 12:53:00,3.0
2012-03-07 13:53:00,4.0
2012-03-07 14:53:00,14.0
2012-03-07 15:53:00,18.0
2012-03-07 16:53:00,26.0
2012-03-07 21:53:00,26.0
2012-03-07 22:53:00,25.0
2012-03-07 23:53:00,24.0
2012-03-08 00:53:00,20.0
2012-03-08 01:53:00,20.0
2012-03-08 02:53:00,20.0
2012-03-08 03:53:00,20.0
2012-03-08 04:53:00,23.0
2012-03-08 05:53:00,22.0
2012-03-08 06:53:00,19.0
2012-03-08 07:53:00,20.0
2012-03-08 08:53:00,17.0
2012-03-08 09:53:00,13.0
2012-03-08 10:53:00,13.0
2012-03-08 11:53:00,12.0
2012-03-08 12:53:00,13.0
2012-03-08 13:53:00,17.0
2012-03-08 14:53:00,15.0
2012-03-08 15:53:00,14.0
2012-03-08 16:53:00,13.0
2012-03-08 17:53:00,16.0
2012-03-08 18:53:00,17.0
2012-03-08 19:53:00,21.0
2012-03-08 20:53:00,20.0
2012-03-08 21:53:00,20.0
2012-03-08 22:53:00,22.0
2012-03-08 23:53:00,18.0
2012-03-09 00:53:00,19.0
2012-03-09 01:53:00,16.0
2012-03-09 02:53:00,20.0
2012-03-09 03:53:00,22.0
2012-03-09 04:53:00,17.0
2012-03-09 05:53:00,18.0
2012-03-09 06:53:00,19.0
2012-03-09 07:53:00,18.0
2012-03-09 08:53:00,15.0
2012-03-09 09:53:00,19.0
2012-03-09 10:53:00,15.0
2012-03-09 11:53:00,14.0
2012-03-09 12:53:00,15.0
2012-03-09 13:53:00,16.0
2012-03-09 14:53:00,17.0
2012-03-09 15:53:00,17.0
2012-03-09 16:53:00,16.0
2012-03-09 17:53:00,17.0
2012-03-09 18:53:00,19.0
2012-03-09 19:53:00,20.0
2012-03-09 20:53:00,22.0
2012-03-09 21:53:00,20.0
2012-03-09 22:53:00,19.0
2012-03-09 23:53:00,19.0
2012-03-10 00:53:00,17.0
2012-03-10 01:53:00,14.0
2012-03-10 02:53:00,14.0
2012-03-10 03:53:00,21.0
2012-03-10 04:53:00,22.0
2012-03-10 05:53:00,22.0
2012-03-10 06:53:00,18.0
2012-03-10 07:53:00,21.0
2012-03-10 08:53:00,21.0
2012-03-10 09:53:00,22.0
2012-03-10 10:53:00,21.0
2012-03-10 11:53:00,25.0
2012-03-19 09:53:00,26.0
2012-03-19 10:53:00,26.0
2012-03-19 11:53:00,21.0
2012-03-19 12:53:00,16.0
2012-03-19 18:53:00,26.0
2012-04-02 07:53:00,25.0
2012-04-02 08:53:00,24.0
2012-04-02 09:53:00,18.0
2012-04-02 10:53:00,21.0
2012-04-02 11:53:00,19.0
2012-04-02 12:53:00,18.0
2012-04-02 13:53:00,18.0
2012-04-02 14:53:00,17.0
2012-04-02 19:53:00,24.0
2012-04-03 13:53:00,26.0
2012-04-03 14:53:00,25.0
2012-04-03 15:53:00,26.0
2012-04-05 22:53:00,22.0
2012-04-05 23:53:00,21.0
2012-04-06 00:53:00,17.0
2012-04-06 01:53:00,19.0
2012-04-06 02:53:00,18.0
2012-04-06 03:53:00,18.0
2012-04-06 04:53:00,17.0
2012-04-06 05:53:00,16.0
2012-04-06 06:53:00,18.0
2012-04-06 07:53:00,21.0
2012-04-06 08:53:00,25.0
2012-04-06 10:53:00,26.0
2012-04-06 11:53:00,19.0
2012-04-06 12:53:00,22.0
2012-04-06 13:53:00,17.0
2012-04-06 14:53:00,16.0
2012-04-06 15:53:00,18.0
2012-04-06 16:53:00,24.0
2012-04-06 17:53:00,25.0
2012-04-06 22:53:00,24.0
2012-04-06 23:53:00,24.0
2012-04-07 00:53:00,22.0
2012-04-07 01:53:00,16.0
2012-04-07 02:53:00,23.0
2012-04-07 03:53:00,18.0
2012-04-07 04:53:00,20.0
2012-04-07 05:53:00,18.0
2012-04-07 06:53:00,15.0
2012-04-07 07:13:00,12.0
2012-04-07 07:53:00,15.0
2012-04-07 08:33:00,16.0
2012-04-07 08:53:00,19.0
2012-04-07 09:53:00,11.0
2012-04-07 10:53:00,18.0
2012-04-07 11:53:00,14.0
2012-04-07 12:53:00,11.0
2012-04-07 13:53:00,14.0
2012-04-07 14:53:00,4.0
2012-04-07 15:53:00,19.0
2012-04-07 16:53:00,16.0
2012-04-07 17:53:00,15.0
2012-04-07 18:53:00,13.0
2012-04-07 19:53:00,12.0
2012-04-07 20:53:00,16.0
2012-04-07 21:53:00,23.0
2012-04-07 22:53:00,21.0
2012-04-07 23:53:00,26.0
2012-04-08 00:53:00,24.0
2012-04-08 01:53:00,26.0
2012-04-08 02:53:00,25.0
2012-04-08 03:53:00,26.0
2012-04-08 10:53:00,24.0
2012-04-08 11:53:00,24.0
2012-04-08 12:53:00,21.0
2012-04-08 13:53:00,16.0
2012-04-08 14:53:00,14.0
2012-04-08 15:53:00,14.0
2012-04-08 16:53:00,15.0
2012-04-08 17:53:00,13.0
2012-04-08 18:53:00,24.0
2012-04-09 11:53:00,26.0
2012-04-09 12:53:00,26.0
2012-04-09 17:53:00,24.0
2012-06-05 12:53:00,26.0
2012-06-05 13:53:00,26.0
