valid_time_gmt,pressure
2012-02-29 23:53:00,29.31
2012-03-01 00:46:00,29.33
2012-03-01 00:53:00,29.31
2012-03-01 01:31:00,29.33
2012-03-01 06:53:00,29.3
2012-03-01 07:53:00,29.32
2012-03-01 08:53:00,29.31
2012-03-01 09:53:00,29.31
2012-03-02 09:53:00,29.3
2012-03-02 10:53:00,29.3
2012-03-02 13:23:00,29.3
2012-03-02 18:53:00,29.31
2012-03-02 19:53:00,29.33
2012-03-02 20:53:00,29.36
2012-03-02 21:53:00,29.38
2012-03-02 22:53:00,29.4
2012-03-02 23:53:00,29.4
2012-03-03 00:53:00,29.39
2012-03-03 01:53:00,29.38
2012-03-03 02:53:00,29.36
2012-03-03 03:53:00,29.38
2012-03-03 04:53:00,29.38
2012-03-03 05:53:00,29.39
2012-03-03 06:53:00,29.4
2012-03-03 07:53:00,29.41
2012-03-03 08:53:00,29.41
2012-03-03 09:53:00,29.4
2012-03-03 10:53:00,29.4
2012-03-03 11:53:00,29.38
2012-03-03 12:53:00,29.36
2012-03-03 13:53:00,29.34
2012-03-03 14:53:00,29.32
2012-03-03 15:53:00,29.31
2012-03-03 16:53:00,29.31
2012-03-03 17:53:00,29.32
2012-03-03 18:53:00,29.33
2012-03-03 19:53:00,29.33
2012-03-03 20:53:00,29.33
2012-03-03 21:53:00,29.33
2012-03-03 22:53:00,29.32
2012-03-03 23:53:00,29.31
2012-03-04 00:53:00,29.3
2012-03-07 23:53:00,29.3
2012-03-08 00:53:00,29.3
2012-03-08 01:53:00,29.3
2012-03-08 02:53:00,29.3
2012-03-08 03:53:00,29.3
2012-03-08 04:53:00,29.32
2012-03-08 05:53:00,29.34
2012-03-08 06:53:00,29.37
2012-03-08 07:53:00,29.39
2012-03-08 08:53:00,29.4
2012-03-08 09:53:00,29.4
2012-03-08 10:53:00,29.4
2012-03-08 11:53:00,29.37
2012-03-08 12:53:00,29.35
2012-03-08 13:53:00,29.33
2012-03-08 14:53:00,29.33
