valid_time_gmt,rh
2012-03-02 11:53:00,16
2012-03-02 12:53:00,14
2012-03-02 13:23:00,5
2012-03-02 13:53:00,4
2012-03-02 14:53:00,4
2012-03-02 15:23:00,16
2012-03-02 15:53:00,17
2012-03-03 09:53:00,16
2012-03-03 10:53:00,13
2012-03-03 11:53:00,9
2012-03-03 12:53:00,9
2012-03-03 13:53:00,10
2012-03-03 14:53:00,10
2012-03-03 15:53:00,10
2012-03-03 16:53:00,11
2012-03-03 17:53:00,14
2012-03-03 18:53:00,16
2012-03-04 09:53:00,14
2012-03-04 10:53:00,11
2012-03-04 11:53:00,10
2012-03-04 12:53:00,9
2012-03-04 13:53:00,9
2012-03-04 14:53:00,8
2012-03-04 15:53:00,8
2012-03-04 16:53:00,10
2012-03-04 17:53:00,13
2012-03-04 18:53:00,13
2012-03-04 19:53:00,19
2012-03-05 09:53:00,18
2012-03-05 10:53:00,16
2012-03-05 11:53:00,14
2012-03-05 12:53:00,12
2012-03-05 13:53:00,15
2012-03-05 15:53:00,19
2012-03-07 07:53:00,19
2012-03-07 08:53:00,13
2012-03-07 09:53:00,11
2012-03-07 10:53:00,12
2012-03-07 11:53:00,10
2012-03-07 12:53:00,10
2012-03-07 13:53:00,10
2012-03-07 14:53:00,15
2012-03-08 09:53:00,14
2012-03-08 10:53:00,12
2012-03-08 11:53:00,11
2012-03-08 12:53:00,10
2012-03-08 13:53:00,12
2012-03-08 14:53:00,11
2012-03-08 15:53:00,12
2012-03-08 16:53:00,12
2012-03-08 17:53:00,15
2012-03-08 18:53:00,16
2012-03-09 08:53:00,15
2012-03-09 09:53:00,13
2012-03-09 10:53:00,9
2012-03-09 11:53:00,9
2012-03-09 12:53:00,9
2012-03-09 13:53:00,9
2012-03-09 14:53:00,9
2012-03-09 15:53:00,10
2012-03-09 16:53:00,10
2012-03-09 17:53:00,12
2012-03-09 18:53:00,14
2012-03-09 19:53:00,17
2012-03-10 02:53:00,19
2012-03-10 09:53:00,18
2012-03-10 10:53:00,16
2012-03-10 11:53:00,17
2012-03-10 12:53:00,18
2012-03-10 13:53:00,18
2012-04-02 09:53:00,15
2012-04-02 10:53:00,15
2012-04-02 11:53:00,13
2012-04-02 12:53:00,12
2012-04-02 13:53:00,11
2012-04-02 14:53:00,10
2012-04-02 15:17:00,17
2012-04-02 19:53:00,19
2012-04-03 11:53:00,19
2012-04-03 12:53:00,18
2012-04-03 13:53:00,15
2012-04-03 14:53:00,15
2012-04-03 15:53:00,16
2012-04-03 16:53:00,18
2012-04-06 11:53:00,19
2012-04-06 12:53:00,18
2012-04-06 13:53:00,14
2012-04-06 14:53:00,12
2012-04-06 15:53:00,12
2012-04-06 16:53:00,16
2012-04-06 17:53:00,17
2012-04-07 07:13:00,18
2012-04-07 07:53:00,19
2012-04-07 08:33:00,17
2012-04-07 09:53:00,11
2012-04-07 10:53:00,14
2012-04-07 11:53:00,10
2012-04-07 12:53:00,8
2012-04-07 13:53:00,8
2012-04-07 14:53:00,5
2012-04-07 15:53:00,10
2012-04-07 16:53:00,9
2012-04-07 17:53:00,10
2012-04-07 18:53:00,10
2012-04-07 19:53:00,10
2012-04-07 20:53:00,14
2012-04-08 10:53:00,16
2012-04-08 11:53:00,14
2012-04-08 12:53:00,12
2012-04-08 13:53:00,9
2012-04-08 14:53:00,9
2012-04-08 15:53:00,8
2012-04-08 16:53:00,10
2012-04-08 17:53:00,10
2012-04-08 18:53:00,17
2012-04-09 11:53:00,16
2012-04-09 12:53:00,15
2012-04-09 13:53:00,19
2012-04-09 14:53:00,19
2012-04-09 15:53:00,18
2012-04-09 17:53:00,18
2012-04-16 15:53:00,18
2012-04-16 16:53:00,17
2012-04-17 12:53:00,19
2012-04-20 13:53:00,19
2012-04-20 14:53:00,18
2012-04-20 15:53:00,18
2012-06-05 12:53:00,17
2012-06-05 13:53:00,16
2012-06-25 14:53:00,17
2012-06-25 15:53:00,17
2012-06-25 16:53:00,17
