valid_time_gmt,wc
2012-03-03 03:53:00,42
2012-03-04 11:53:00,81
2012-03-04 12:53:00,83
2012-03-04 13:53:00,85
2012-03-04 14:53:00,85
2012-03-04 15:53:00,85
2012-03-04 16:53:00,84
2012-03-05 12:53:00,81
2012-03-07 00:53:00,42
2012-03-07 01:53:00,40
2012-03-07 02:53:00,41
2012-03-07 03:53:00,40
2012-03-07 04:53:00,40
2012-03-07 05:53:00,39
2012-03-07 06:53:00,40
2012-03-08 02:53:00,41
2012-03-08 03:53:00,42
2012-03-08 04:53:00,40
2012-03-08 05:53:00,39
2012-03-08 06:53:00,39
2012-03-17 16:53:00,42
2012-03-17 17:04:00,41
2012-03-17 19:53:00,37
2012-03-17 21:53:00,40
2012-03-17 22:53:00,39
2012-03-17 23:53:00,39
2012-03-18 00:41:00,40
2012-03-18 00:53:00,39
2012-03-18 01:53:00,39
2012-03-18 02:03:00,40
2012-03-18 02:53:00,42
2012-03-18 04:53:00,40
2012-03-18 05:53:00,39
2012-03-18 06:53:00,39
2012-03-18 07:53:00,42
2012-03-18 08:53:00,41
2012-03-18 09:53:00,42
2012-03-19 00:53:00,41
2012-03-19 01:53:00,40
2012-03-19 02:53:00,40
2012-03-19 03:53:00,38
2012-03-19 04:53:00,34
2012-03-19 05:53:00,39
2012-03-19 06:53:00,36
2012-03-19 07:53:00,38
2012-03-19 08:53:00,42
2012-03-20 03:53:00,42
2012-03-20 04:53:00,41
2012-03-20 05:53:00,41
2012-03-20 06:53:00,42
2012-03-25 21:02:00,42
2012-03-25 21:17:00,41
2012-03-25 21:24:00,41
2012-03-25 21:34:00,40
2012-03-25 21:53:00,42
2012-03-25 22:53:00,42
2012-03-25 23:44:00,42
2012-03-25 23:53:00,42
2012-04-01 03:53:00,41
2012-04-01 07:53:00,42
2012-04-07 13:53:00,81
2012-04-07 14:53:00,82
2012-04-07 15:53:00,82
2012-04-13 23:53:00,42
2012-04-14 02:53:00,39
2012-04-14 04:53:00,41
2012-04-14 05:53:00,37
2012-04-14 06:53:00,39
2012-04-17 12:53:00,81
2012-04-17 14:53:00,81
2012-04-20 11:53:00,84
2012-04-20 12:53:00,89
2012-04-20 13:53:00,93
2012-04-20 14:53:00,94
2012-04-20 15:53:00,92
2012-04-20 16:53:00,88
2012-04-20 17:53:00,83
2012-04-21 12:53:00,84
2012-04-21 13:53:00,85
2012-04-21 14:53:00,82
2012-04-21 15:53:00,81
2012-04-25 13:53:00,82
2012-04-25 14:53:00,82
2012-04-25 15:53:00,82
2012-05-08 11:53:00,81
2012-05-08 14:53:00,81
2012-05-08 15:53:00,82
2012-05-08 16:53:00,82
2012-05-09 11:53:00,83
2012-05-09 12:53:00,83
2012-05-09 13:53:00,83
2012-05-09 15:53:00,81
2012-05-09 16:53:00,83
2012-05-09 17:53:00,82
2012-05-16 12:53:00,83
2012-05-16 13:53:00,84
2012-05-16 14:53:00,84
2012-05-16 15:53:00,83
2012-05-16 16:53:00,83
2012-05-20 12:53:00,83
2012-05-20 13:53:00,86
2012-05-20 14:53:00,90
2012-05-20 15:53:00,91
2012-05-20 16:53:00,89
2012-05-20 17:53:00,85
2012-05-21 11:53:00,81
2012-05-21 12:53:00,86
2012-05-21 13:53:00,84
2012-05-21 14:53:00,85
2012-05-21 15:53:00,85
2012-05-21 16:53:00,84
2012-05-21 17:53:00,82
2012-05-22 13:53:00,81
2012-05-22 14:53:00,82
2012-05-22 15:53:00,81
2012-05-28 14:53:00,82
2012-05-28 15:53:00,82
2012-05-28 16:53:00,83
2012-05-28 17:53:00,83
2012-05-29 14:53:00,81
2012-05-29 15:53:00,81
2012-05-29 16:53:00,81
2012-05-31 12:53:00,83
2012-05-31 13:53:00,84
2012-05-31 14:53:00,83
2012-05-31 15:53:00,82
2012-05-31 16:53:00,81
2012-06-07 12:53:00,84
2012-06-07 13:53:00,82
2012-06-07 14:53:00,83
2012-06-07 15:53:00,84
2012-06-07 16:53:00,81
2012-06-17 13:53:00,83
2012-06-17 14:53:00,87
2012-06-17 15:53:00,88
2012-06-17 16:53:00,85
2012-06-17 17:53:00,81
2012-06-24 13:53:00,81
2012-06-24 14:53:00,83
2012-06-26 12:53:00,82
2012-06-26 13:53:00,82
2012-06-26 14:53:00,84
2012-06-26 15:53:00,82
2012-06-26 16:53:00,82
2012-06-27 11:53:00,81
2012-06-27 12:53:00,83
2012-06-27 13:53:00,85
2012-06-27 14:53:00,86
2012-06-27 15:53:00,86
2012-06-27 16:53:00,84
2012-06-27 17:53:00,81
2012-06-28 11:53:00,82
2012-06-28 12:53:00,85
2012-06-28 13:53:00,86
2012-06-28 14:53:00,85
2012-06-28 15:53:00,85
2012-06-28 16:53:00,84
2012-06-28 17:53:00,83
