valid_time_gmt,uv_index
2012-03-06 10:53:00,-321
2012-03-06 11:53:00,-366
2012-03-16 11:42:00,-355
2012-03-16 11:53:00,-370
2012-03-16 12:53:00,-417
2012-03-16 13:53:00,-392
2012-03-16 14:53:00,-306
2012-03-17 11:09:00,-305
2012-03-17 11:17:00,-319
2012-03-17 11:31:00,-343
2012-03-17 11:53:00,-375
2012-03-17 12:53:00,-423
2012-03-17 13:53:00,-397
2012-03-17 14:23:00,-359
2012-03-17 14:53:00,-309
2012-03-18 12:03:00,-293
2012-03-18 12:53:00,-319
2012-03-23 10:53:00,-301
2012-03-23 11:53:00,-406
2012-03-23 12:53:00,-338
2012-03-24 10:53:00,-306
2012-03-24 11:53:00,-411
2012-03-25 10:53:00,-310
2012-03-25 11:05:00,-334
2012-03-25 11:53:00,-416
2012-03-25 12:53:00,-463
2012-03-25 13:06:00,-463
2012-03-25 13:53:00,-432
2012-03-25 14:53:00,-337
2012-03-26 11:53:00,-314
2012-03-26 12:53:00,-468
2012-03-26 13:53:00,-325
2012-03-30 10:53:00,-332
2012-03-31 10:53:00,-336
2012-03-31 11:53:00,-445
2012-03-31 12:53:00,-492
2012-03-31 13:53:00,-341
2012-03-31 14:53:00,-356
2012-04-11 10:53:00,-368
2012-04-11 11:28:00,-438
2012-04-11 11:53:00,-478
2012-04-11 12:33:00,-516
2012-04-11 12:43:00,-520
2012-04-11 12:50:00,-521
2012-04-11 12:53:00,-521
2012-04-11 13:53:00,-359
2012-04-11 14:53:00,-374
2012-04-12 11:53:00,-482
2012-04-12 12:53:00,-525
2012-04-12 13:53:00,-485
2012-04-12 14:53:00,-377
2012-04-13 10:53:00,-376
2012-04-13 11:28:00,-446
2012-04-13 11:53:00,-486
2012-04-13 12:05:00,-501
2012-04-13 13:03:00,-528
2012-04-13 13:53:00,-488
2012-04-13 14:53:00,-379
2012-04-14 11:53:00,-365
2012-04-14 12:53:00,-397
2012-04-14 13:53:00,-366
2012-04-23 10:53:00,-410
2012-04-23 11:24:00,-474
2012-04-23 11:53:00,-522
2012-04-23 12:53:00,-564
2012-04-23 13:53:00,-518
2012-04-23 14:53:00,-403
2012-04-26 10:53:00,-419
2012-04-26 11:53:00,-532
2012-04-26 12:53:00,-427
2012-04-26 13:53:00,-526
2012-04-26 14:53:00,-409
2012-05-01 10:18:00,-346
2012-05-01 10:53:00,-429
2012-05-01 11:53:00,-542
2012-05-01 12:53:00,-583
2012-05-01 13:53:00,-535
2012-05-01 14:53:00,-417
2012-05-02 10:53:00,-432
2012-05-02 11:53:00,-545
2012-05-02 12:53:00,-586
2012-05-02 13:53:00,-537
2012-05-02 14:53:00,-418
2012-05-03 10:53:00,-323
2012-05-03 11:53:00,-548
2012-05-03 12:53:00,-439
2012-05-03 13:53:00,-539
2012-05-03 14:53:00,-313
2012-05-04 12:53:00,-440
2012-05-04 14:53:00,-315
2012-05-10 09:53:00,-302
2012-05-11 09:53:00,-303
2012-05-11 10:53:00,-336
2012-05-25 09:53:00,-318
2012-05-25 10:53:00,-348
2012-05-25 11:00:00,-360
2012-05-25 11:53:00,-435
2012-05-25 12:53:00,-466
2012-05-25 13:03:00,-464
2012-05-26 11:53:00,-584
2012-05-26 12:53:00,-466
2012-05-26 13:53:00,-430
2012-06-04 09:53:00,-332
2012-06-04 10:53:00,-486
2012-06-04 11:53:00,-453
2012-06-04 12:13:00,-311
2012-06-04 12:53:00,-320
2012-06-14 09:53:00,-330
2012-06-14 10:53:00,-362
2012-06-15 09:53:00,-330
2012-06-15 10:53:00,-485
2012-06-15 11:53:00,-299
2012-06-20 09:53:00,-327
2012-06-21 09:53:00,-327
2012-06-22 09:53:00,-326
