valid_time_gmt,vis
2012-03-06 03:06:00,2.0
2012-03-06 03:10:00,1.0
2012-03-06 03:17:00,0.5
2012-03-06 03:49:00,2.0
2012-03-17 02:11:00,2.0
2012-03-17 05:33:00,2.0
2012-03-17 06:00:00,2.0
2012-03-17 06:53:00,2.0
2012-03-17 07:30:00,1.0
2012-03-17 07:53:00,1.0
2012-03-17 08:40:00,2.0
2012-03-17 08:53:00,1.0
2012-03-17 09:53:00,1.0
2012-03-17 10:19:00,1.0
2012-03-25 11:05:00,2.0
2012-03-25 11:53:00,2.0
2012-03-25 12:53:00,2.0
2012-03-25 13:06:00,2.0
2012-03-25 13:53:00,2.0
2012-03-25 14:53:00,2.0
2012-03-25 15:28:00,2.0
2012-03-30 04:32:00,2.0
2012-03-30 04:43:00,2.0
2012-03-30 04:53:00,2.0
2012-03-30 06:53:00,2.0
2012-03-30 07:53:00,1.0
2012-03-30 08:53:00,1.0
2012-03-30 09:53:00,2.0
2012-03-30 10:53:00,2.0
2012-03-31 00:53:00,2.0
2012-03-31 01:53:00,2.0
2012-03-31 02:53:00,2.0
2012-03-31 03:53:00,2.0
2012-03-31 04:53:00,2.0
2012-03-31 05:53:00,2.0
2012-03-31 06:53:00,2.0
2012-03-31 07:53:00,2.0
2012-03-31 08:53:00,2.0
2012-03-31 09:53:00,2.0
2012-03-31 21:07:00,2.0
2012-03-31 21:09:00,2.0
2012-04-11 04:31:00,2.0
2012-04-11 05:01:00,1.0
2012-04-11 05:08:00,2.0
2012-04-11 06:41:00,1.0
2012-04-11 06:53:00,1.0
2012-04-11 12:33:00,1.0
2012-04-13 09:53:00,2.0
2012-04-13 12:05:00,1.0
2012-04-19 07:03:00,2.0
2012-04-19 07:53:00,2.0
2012-04-21 06:22:00,2.0
2012-04-22 06:21:00,1.0
2012-04-22 06:53:00,1.0
2012-04-22 07:53:00,1.0
2012-04-22 08:53:00,1.0
2012-04-23 06:26:00,2.0
2012-04-23 06:53:00,2.0
2012-04-23 07:53:00,2.0
2012-05-06 07:01:00,2.0
2012-05-13 07:53:00,2.0
2012-06-10 08:53:00,69.0
