valid_time_gmt,wspd
2012-03-01 19:35:00,22.0
2012-03-01 20:53:00,18.0
2012-03-06 20:53:00,21.0
2012-03-07 04:53:00,18.0
2012-03-17 07:30:00,18.0
2012-03-17 07:53:00,22.0
2012-03-17 08:53:00,20.0
2012-03-17 13:53:00,18.0
2012-03-17 14:23:00,20.0
2012-03-17 17:04:00,22.0
2012-03-18 14:53:00,20.0
2012-03-18 15:53:00,20.0
2012-03-18 17:53:00,20.0
2012-03-25 13:53:00,22.0
2012-04-01 14:53:00,20.0
2012-04-01 15:53:00,20.0
2012-04-01 16:53:00,18.0
2012-04-01 19:53:00,21.0
2012-04-01 20:53:00,18.0
2012-04-01 21:53:00,18.0
2012-04-01 23:53:00,20.0
2012-04-06 02:53:00,23.0
2012-04-06 03:53:00,22.0
2012-04-11 02:53:00,21.0
2012-04-11 12:33:00,21.0
2012-04-13 08:53:00,21.0
2012-04-13 10:04:00,21.0
2012-04-13 11:28:00,21.0
2012-04-13 11:53:00,23.0
2012-04-13 19:53:00,18.0
