,dewPt
45.0,0.10256825630225921
43.0,0.09949864380449185
46.0,0.09765438406293744
48.0,0.08903537738788023
41.0,0.08680066625960033
50.0,0.07228335140209431
39.0,0.07062185613943268
52.0,0.059888596742638536
37.0,0.05251155777642089
54.0,0.05173065500296992
55.0,0.04204829135980926
57.0,0.03194640016282654
36.0,0.030604742738227268
59.0,0.027377288190507047
61.0,0.021013761334512996
34.0,0.016506955434543318
63.0,0.014783154099531874
64.0,0.0078879487594861
32.0,0.0051132516708411735
30.0,0.004440346089463212
66.0,0.0037799017225552136
28.0,0.0023510157966662097
68.0,0.002209788699339971
27.0,0.001291812566719419
70.0,0.0007435191300410804
25.0,0.0006189069853414581
23.0,0.00044444998276198667
72.0,0.0003530677433155969
21.0,0.0002409168130859367
73.0,0.0002367630749292826
19.0,0.00015784204995285508
18.0,0.0001079971920730061
75.0,7.476728681977346e-05
16.0,5.399859603650305e-05
14.0,4.5691119723194886e-05
12.0,2.9076167096578565e-05
10.0,1.2461214469962243e-05
82.0,8.307476313308162e-06
77.0,8.307476313308162e-06
86.0,8.307476313308162e-06
7.0,4.153738156654081e-06
84.0,4.153738156654081e-06
