,gust
33.0,0.005266939982637374
31.0,0.005088329241901249
32.0,0.004793413832778809
36.0,0.004672955426235841
30.0,0.004473575994716445
35.0,0.004411269922366634
37.0,0.0036677507923255533
38.0,0.0033312980016365727
39.0,0.002409168130859367
29.0,0.0022928634624730525
44.0,0.002105945245423619
43.0,0.0020270242204471914
40.0,0.0019730256244106883
45.0,0.0018857971231209527
41.0,0.0017362625494814058
46.0,0.0013001200430327272
47.0,0.0010592032299467907
48.0,0.0007352116537277723
49.0,0.0006272144616547662
51.0,0.00046106493538860296
28.0,0.0002824541946524775
52.0,0.0002824541946524775
26.0,0.00020768690783270403
53.0,0.00019107195520608772
25.0,0.00016614952626616323
24.0,0.00016614952626616323
54.0,0.00013707335916958468
56.0,0.00011215093022966019
23.0,0.00011215093022966019
22.0,0.0001079971920730061
55.0,0.0001079971920730061
58.0,0.0001079971920730061
21.0,8.307476313308161e-05
59.0,7.476728681977346e-05
20.0,5.399859603650305e-05
60.0,5.399859603650305e-05
61.0,5.399859603650305e-05
62.0,3.322990525323265e-05
64.0,2.4922428939924486e-05
17.0,2.4922428939924486e-05
18.0,2.0768690783270403e-05
63.0,1.6614952626616324e-05
66.0,1.2461214469962243e-05
68.0,8.307476313308162e-06
67.0,8.307476313308162e-06
71.0,4.153738156654081e-06
14.0,4.153738156654081e-06
15.0,4.153738156654081e-06
10.0,4.153738156654081e-06
