,heat_index
54.0,0.07616709657856588
52.0,0.07512035456308905
55.0,0.07382023452005633
57.0,0.06988249074754825
50.0,0.06858237070451553
59.0,0.0626508326168135
48.0,0.05905784911130772
61.0,0.05814402671684382
63.0,0.05275662832766348
64.0,0.047128313125397205
46.0,0.044212388939426035
66.0,0.03894129521863201
45.0,0.03163902353923413
68.0,0.03147287401296797
70.0,0.026338853651343527
72.0,0.02179051036980731
43.0,0.02136682907782859
73.0,0.018018916123565404
75.0,0.01593789330708171
41.0,0.014367780283866465
79.0,0.01357857003410219
81.0,0.008498548268514249
39.0,0.00839885855275455
78.0,0.008328245004091432
82.0,0.006562906287513447
80.0,0.006513061429633598
84.0,0.005059253074804671
86.0,0.004253427872413779
37.0,0.004120508251400848
83.0,0.003306375572696648
88.0,0.0028993092333445486
90.0,0.0026459312057886494
91.0,0.0021890200085567008
85.0,0.001952256933627418
87.0,0.001698878906071519
93.0,0.0016282653574083996
36.0,0.0015991891903118212
77.0,0.001341657424599268
95.0,0.001275197614092803
89.0,0.0012544289233095325
97.0,0.0009304373470905141
92.0,0.0006189069853414581
99.0,0.0005898308182448795
94.0,0.0005399859603650305
100.0,0.0004735261498585652
34.0,0.0004527574590752948
96.0,0.00028660793280913156
102.0,0.0002824541946524775
104.0,0.00027414671833916936
98.0,0.00016199578810950914
106.0,0.00015784204995285508
108.0,0.00011630466838631426
32.0,0.00010384345391635202
101.0,8.72285012897357e-05
76.0,6.64598105064653e-05
103.0,6.230607234981121e-05
109.0,4.153738156654081e-05
107.0,3.322990525323265e-05
30.0,2.4922428939924486e-05
28.0,2.4922428939924486e-05
105.0,2.0768690783270403e-05
112.0,8.307476313308162e-06
111.0,4.153738156654081e-06
110.0,4.153738156654081e-06
118.0,4.153738156654081e-06
