,pressure
29.59,0.050833447561132644
29.62,0.049201028465567585
29.56,0.04770983646732877
29.45,0.04741076732004968
29.42,0.046613249593972096
29.65,0.04642217763876601
29.53,0.04586142298761771
29.5,0.043468869809384955
29.68,0.043335950188372024
29.39,0.04275858058459711
29.47,0.04090601336672939
29.71,0.03948543491715369
29.36,0.03682704249689508
29.74,0.035132317328980214
29.33,0.033707585141247866
29.77,0.029686766605606717
29.3,0.028453106373080454
29.27,0.02772620219566599
29.24,0.02215603932759287
29.79,0.019842407174336545
29.82,0.017271243255367667
29.21,0.01708847877647489
29.88,0.01423070692469688
29.85,0.014072864874744026
29.18,0.013520417699909033
29.16,0.013345960697329561
29.13,0.01131893647688237
29.91,0.011111249569049667
29.94,0.00935421832878499
29.54,0.008727003867130224
29.48,0.00872285012897357
29.1,0.008668851532937066
29.51,0.008361474909344664
29.07,0.006878590387419158
29.97,0.006783054409816114
29.8,0.005935691825858682
29.04,0.004805875047248771
30.0,0.00438634749342671
29.01,0.004336502635546861
29.83,0.004178660585594005
29.86,0.003605444719975742
28.98,0.0034766788371194657
30.03,0.0032772994056000696
29.22,0.0030073064254175544
30.06,0.0025337802755589895
29.19,0.0024922428939924486
28.95,0.0024257830834859832
28.92,0.001802722359987871
30.08,0.0013125812575026895
28.89,0.0012959663048760731
28.87,0.000984435943127017
28.84,0.0006355219379680744
30.11,0.0004818336261718734
28.81,0.0004527574590752948
28.78,0.00044860372091864076
28.75,0.00029076167096578565
28.93,0.00021184064598935812
28.72,0.0001703032644228173
28.69,0.00016199578810950914
28.9,0.00011630466838631426
30.14,6.230607234981121e-05
30.09,5.815233419315713e-05
28.66,2.4922428939924486e-05
30.17,1.6614952626616324e-05
