,rh
82.0,0.07432699057516812
94.0,0.06017105093729101
88.0,0.05943583928356324
87.0,0.057919724856384504
76.0,0.043722247836940856
77.0,0.042534278724137786
93.0,0.041815682023036635
72.0,0.040303721334014546
67.0,0.036872733616618275
100.0,0.030629665167167194
71.0,0.029927683418692654
63.0,0.029126011954458415
59.0,0.025271342945083427
81.0,0.023647231325831682
55.0,0.019152886640331965
68.0,0.018155989482734988
62.0,0.017927533884119013
58.0,0.01731278063693421
52.0,0.01700125027518515
51.0,0.01423070692469688
48.0,0.013445650413089259
54.0,0.013350114435486216
66.0,0.012614902781758443
45.0,0.011489239741305187
49.0,0.011102942092736358
56.0,0.011098788354579704
73.0,0.010878640232277038
64.0,0.010558802394214674
42.0,0.009786207097077015
46.0,0.009420678139291455
83.0,0.009055149181505896
43.0,0.008569161817177368
47.0,0.00807071323837888
60.0,0.008025022118655684
44.0,0.007759182876629823
40.0,0.0073853464425309556
50.0,0.007032278699215359
53.0,0.0069741263650222015
57.0,0.006853667958479233
41.0,0.006832899267695963
78.0,0.00659613619276668
38.0,0.006525522644103561
37.0,0.00648398526253702
39.0,0.006263837140234354
36.0,0.005433089508903538
34.0,0.005121559147154482
35.0,0.005100790456371212
33.0,0.004585726924946105
32.0,0.00390866760541149
31.0,0.003804824151495138
28.0,0.003659443316012245
29.0,0.003601290981819088
30.0,0.0035680610765658556
61.0,0.00348083257527612
27.0,0.003131918570117177
23.0,0.002940846614911089
26.0,0.0028826942807179323
25.0,0.0027913120412715424
69.0,0.002508857846619065
24.0,0.002409168130859367
65.0,0.002405014392702713
22.0,0.0022139424374966253
20.0,0.002205634961183317
21.0,0.002105945245423619
18.0,0.0018608746941810282
19.0,0.0017196475968547895
16.0,0.001586727975841859
17.0,0.0015659592850585885
15.0,0.0013042737811893813
70.0,0.001187969112803067
14.0,0.0011464317312365262
12.0,0.0010508957536334825
13.0,0.0009968971575969794
11.0,0.0008888999655239733
10.0,0.0006812130576912693
9.0,0.0005026023169551438
75.0,0.00044444998276198667
8.0,0.00036137521962890506
7.0,0.00031983783806236425
74.0,0.00022430186045932038
6.0,0.00019107195520608772
89.0,0.00016199578810950914
5.0,8.307476313308161e-05
79.0,2.9076167096578565e-05
84.0,1.6614952626616324e-05
4.0,1.6614952626616324e-05
86.0,8.307476313308162e-06
3.0,4.153738156654081e-06
