,vis
6.0,0.9314840891059909
3.0,0.01954333802705745
4.0,0.018970122161439187
5.0,0.011385396287388836
1.0,0.007439345038567459
2.0,0.006122610042908115
0.93,0.0009885896812836712
0.5,0.00046521867354525705
0.12,0.000411220077508754
0.56,0.00040291260119544586
0.06,0.00035722148147225097
0.31,0.00031983783806236425
0.19,0.0003032228854357479
0.62,0.00026999298018251527
0.25,0.000257531765712553
0.75,0.00022430186045932038
0.43,0.00020353316967604995
0.37,0.000153688311796201
0.87,0.00011630466838631426
0.68,0.0001079971920730061
0.03,9.553597760304386e-05
0.09,7.476728681977346e-05
0.16,6.230607234981121e-05
0.99,5.815233419315713e-05
0.81,4.984485787984897e-05
0.22,4.984485787984897e-05
0.28,2.4922428939924486e-05
0.0,2.0768690783270403e-05
0.34,8.307476313308162e-06
