,wc
54.0,0.07616294284040923
52.0,0.07512035456308905
55.0,0.07381192704374302
57.0,0.0698783370093916
50.0,0.06858237070451553
59.0,0.06265498635497016
61.0,0.05813987297868717
63.0,0.05274832085135017
64.0,0.047124159387240544
66.0,0.03894129521863201
68.0,0.03146872027481132
70.0,0.026338853651343527
72.0,0.021786356631650655
41.0,0.021121758526586
42.0,0.018176758173518257
73.0,0.018018916123565404
44.0,0.017404162876380597
75.0,0.01593789330708171
39.0,0.01565543911242923
43.0,0.01489115129160488
40.0,0.014475777475939472
45.0,0.01352872517622234
77.0,0.013499649009125763
46.0,0.012648132687011676
37.0,0.012049994392453488
79.0,0.011804923841210898
81.0,0.010276348199562196
38.0,0.009794514573390322
82.0,0.00838639733828459
36.0,0.007563957183267081
35.0,0.007347962799121069
84.0,0.006957511412395585
86.0,0.005757081085122556
34.0,0.005308477364203915
88.0,0.0047311077604289984
90.0,0.004024972273797805
48.0,0.0038795914383149117
32.0,0.003655289577855591
91.0,0.003219147071406913
33.0,0.0028868480188745864
93.0,0.0023427083203529015
95.0,0.0019148732902175313
31.0,0.0017113401205414813
30.0,0.0014538083548289284
97.0,0.0013541186390692303
99.0,0.0010467420154768284
29.0,0.0008473625839574325
100.0,0.0007476728681977345
102.0,0.0005399859603650305
104.0,0.0004527574590752948
28.0,0.00033645279068898054
27.0,0.00032814531437567237
106.0,0.0003115303617490561
108.0,0.0001993794315193959
26.0,0.00013707335916958468
109.0,9.138223944638977e-05
25.0,7.476728681977346e-05
24.0,6.64598105064653e-05
111.0,6.230607234981121e-05
23.0,4.5691119723194886e-05
22.0,2.4922428939924486e-05
113.0,1.2461214469962243e-05
21.0,8.307476313308162e-06
