,wspd
8.0,0.08889415029055399
10.0,0.08044129314176293
6.0,0.07878395161725796
7.0,0.07198428225481522
9.0,0.07078800566569884
13.0,0.06323650969690173
12.0,0.060860571471295595
15.0,0.0525198652527342
17.0,0.04851566166971966
5.0,0.046683863142635215
14.0,0.04562050617453177
16.0,0.03966404565788982
20.0,0.03511985611451025
18.0,0.03474186594225473
22.0,0.02417475607172675
21.0,0.023364777131179206
3.0,0.0197468711967335
23.0,0.01628680731224065
24.0,0.016008506855744828
0.0,0.011069712187483125
26.0,0.010106044935139379
25.0,0.009927434194403253
2.0,0.007098738509721824
1.0,0.006517215167790253
29.0,0.0063095282599575486
28.0,0.0061599936863180015
31.0,0.004162045632967389
30.0,0.004045740964581075
32.0,0.002940846614911089
33.0,0.002417475607172675
35.0,0.0014039634969490794
36.0,0.0012378139706829161
37.0,0.0007061354866311938
38.0,0.0006355219379680744
39.0,0.0003696826959422132
40.0,0.0003447602670022887
43.0,0.0001495345736395469
41.0,0.0001287658828562765
44.0,7.061354866311937e-05
45.0,6.64598105064653e-05
47.0,4.153738156654081e-05
46.0,3.738364340988673e-05
48.0,2.0768690783270403e-05
52.0,1.2461214469962243e-05
51.0,8.307476313308162e-06
53.0,4.153738156654081e-06
54.0,4.153738156654081e-06
49.0,4.153738156654081e-06
59.0,4.153738156654081e-06
