,wx_phrase
Fair,0.38395078651031994
Mostly Cloudy,0.3287351451939173
Fair / Windy,0.07106215238403801
Partly Cloudy,0.06314097371929868
Mostly Cloudy / Windy,0.035958911222154374
Cloudy,0.02088499545165672
Light Rain Shower,0.0201539375360856
Showers in the Vicinity,0.017503852592140295
Light Rain,0.011966919629320408
Light Drizzle,0.011875537389874017
Partly Cloudy / Windy,0.008884845917083078
Light Rain Shower / Windy,0.006629366098019913
Fog,0.0027580821360183097
Rain Shower,0.0022928634624730525
Rain,0.0020727153401703864
Light Rain / Windy,0.001748723763951368
Drizzle,0.001433039664045658
Light Rain with Thunder,0.0011588929457064885
Cloudy / Windy,0.0010841256588867152
Patches of Fog,0.0008639775365840488
Mist,0.0008598237984273947
Rain Shower / Windy,0.0006895205340045774
Shallow Fog,0.0006064457708714958
Smoke,0.0005524471748349928
Light Drizzle / Windy,0.0003987588630387918
Rain / Windy,0.0003862976485688295
T-Storm,0.00037383643409886726
Thunder in the Vicinity,0.0002990691472790938
Heavy Rain Shower,0.0002367630749292826
Partial Fog,0.00018276447889277954
Heavy Rain,0.00016614952626616323
Thunder,0.00013707335916958468
T-Storm / Windy,0.00012461214469962242
Haze,0.00011215093022966019
Heavy Drizzle,0.00011215093022966019
Heavy Rain / Windy,7.892102497642754e-05
Smoke / Windy,7.476728681977346e-05
Drizzle / Windy,6.64598105064653e-05
Heavy Rain Shower / Windy,5.815233419315713e-05
Widespread Dust / Windy,4.984485787984897e-05
Heavy T-Storm / Windy,4.153738156654081e-05
Heavy T-Storm,3.738364340988673e-05
Drizzle and Fog,3.322990525323265e-05
Thunder / Windy,2.4922428939924486e-05
Thunder and Small Hail,2.0768690783270403e-05
Thunder and Hail,2.0768690783270403e-05
Rain and Sleet,1.6614952626616324e-05
Rain and Sleet / Windy,8.307476313308162e-06
Thunder and Hail / Windy,8.307476313308162e-06
Low Drifting Dust / Windy,8.307476313308162e-06
Widespread Dust,8.307476313308162e-06
Wintry Mix,4.153738156654081e-06
Small Hail,4.153738156654081e-06
Hail,4.153738156654081e-06
Rain and Snow / Windy,4.153738156654081e-06
Sand / Dust Whirlwinds,4.153738156654081e-06
Hail / Windy,4.153738156654081e-06
