valid_time_gmt,gust
2009-06-30 13:30:00,55.0
2009-07-11 08:06:00,52.0
2009-07-11 11:30:00,51.0
2009-07-11 12:13:00,52.0
2009-07-11 12:30:00,53.0
2009-07-11 13:00:00,56.0
2009-07-11 13:30:00,62.0
2009-07-11 14:00:00,62.0
2009-07-11 14:30:00,60.0
2009-07-11 14:50:00,53.0
2009-08-03 01:38:00,58.0
2009-08-15 09:00:00,52.0
2009-08-15 09:30:00,52.0
2009-08-15 14:30:00,51.0
2009-08-15 23:30:00,52.0
2009-08-16 00:00:00,55.0
2009-08-16 00:30:00,53.0
2009-08-16 01:00:00,55.0
2009-08-16 05:15:00,52.0
2009-08-16 05:30:00,54.0
2009-08-16 06:00:00,52.0
2009-08-16 06:30:00,51.0
2009-08-16 07:00:00,59.0
2009-08-16 07:40:00,54.0
2009-08-16 08:30:00,52.0
2009-08-16 09:17:00,56.0
2009-08-16 09:22:00,56.0
2009-08-16 09:36:00,53.0
2009-08-16 10:00:00,61.0
2009-08-16 10:30:00,53.0
2009-08-16 16:17:00,51.0
2009-08-21 10:08:00,58.0
2009-08-21 10:12:00,56.0
2009-08-21 10:18:00,56.0
2009-08-21 10:26:00,53.0
2009-08-25 17:18:00,64.0
2009-08-25 19:15:00,52.0
2009-09-11 10:40:00,52.0
2009-09-11 11:00:00,58.0
2009-09-11 11:30:00,60.0
2009-09-11 12:00:00,56.0
2009-09-11 12:30:00,55.0
2009-09-11 13:00:00,55.0
2009-09-11 15:00:00,61.0
2009-09-11 16:00:00,52.0
2009-09-11 16:30:00,52.0
2009-09-11 17:00:00,53.0
2009-09-11 17:30:00,55.0
2009-09-12 12:30:00,52.0
2009-09-30 07:30:00,52.0
2009-09-30 08:30:00,52.0
2009-09-30 09:00:00,51.0
2009-09-30 11:00:00,53.0
2009-10-15 15:23:00,51.0
2009-10-19 09:30:00,18.0
2009-11-20 14:04:00,59.0
2009-11-24 15:30:00,22.0
2010-01-31 09:04:00,51.0
2010-02-03 17:00:00,23.0
