valid_time_gmt,wspd
2009-05-14 10:30:00,29.0
2009-05-25 05:00:00,26.0
2009-05-25 05:12:00,26.0
2009-05-25 08:40:00,26.0
2009-05-25 09:00:00,32.0
2009-05-25 09:10:00,32.0
2009-05-25 09:30:00,33.0
2009-05-25 09:37:00,31.0
2009-05-25 10:00:00,31.0
2009-05-25 10:13:00,31.0
2009-05-25 10:30:00,31.0
2009-05-25 10:33:00,32.0
2009-05-25 11:00:00,28.0
2009-05-25 11:30:00,33.0
2009-05-25 12:00:00,29.0
2009-05-25 12:30:00,29.0
2009-05-25 13:00:00,31.0
2009-05-25 14:00:00,26.0
2009-05-25 14:30:00,28.0
2009-05-25 14:49:00,26.0
2009-06-08 16:00:00,26.0
2009-06-09 15:03:00,37.0
2009-06-09 16:39:00,29.0
2009-06-09 16:42:00,26.0
2009-06-12 14:00:00,28.0
2009-06-12 23:00:00,28.0
2009-06-13 01:55:00,33.0
2009-06-13 02:00:00,33.0
2009-06-13 02:30:00,37.0
2009-06-13 03:00:00,36.0
2009-06-13 03:30:00,32.0
2009-06-13 13:30:00,28.0
2009-06-13 15:00:00,26.0
2009-06-13 21:00:00,29.0
2009-06-20 15:00:00,26.0
2009-06-28 21:30:00,26.0
2009-06-29 16:00:00,28.0
2009-06-30 02:00:00,31.0
2009-06-30 02:30:00,26.0
2009-06-30 02:54:00,26.0
2009-06-30 03:00:00,29.0
2009-06-30 03:09:00,28.0
2009-06-30 03:30:00,28.0
2009-06-30 04:00:00,28.0
2009-06-30 04:30:00,28.0
2009-06-30 05:00:00,28.0
2009-06-30 05:30:00,29.0
2009-06-30 06:00:00,26.0
2009-06-30 06:30:00,29.0
2009-06-30 07:30:00,26.0
2009-06-30 07:44:00,26.0
2009-06-30 08:30:00,28.0
2009-06-30 08:43:00,31.0
2009-06-30 09:00:00,31.0
2009-06-30 09:17:00,29.0
2009-06-30 09:37:00,29.0
2009-06-30 11:00:00,29.0
2009-06-30 11:30:00,33.0
2009-06-30 12:00:00,36.0
2009-06-30 12:30:00,29.0
2009-06-30 12:46:00,26.0
2009-06-30 13:00:00,40.0
2009-06-30 13:30:00,38.0
2009-06-30 14:00:00,37.0
2009-06-30 14:30:00,32.0
2009-06-30 15:00:00,32.0
2009-06-30 15:10:00,32.0
2009-06-30 15:30:00,29.0
2009-06-30 16:00:00,31.0
2009-06-30 16:25:00,29.0
2009-06-30 16:30:00,28.0
2009-07-01 13:00:00,26.0
2009-07-01 18:30:00,28.0
2009-07-03 01:30:00,26.0
2009-07-10 12:00:00,29.0
2009-07-10 12:30:00,29.0
2009-07-11 02:26:00,26.0
2009-07-11 02:30:00,28.0
2009-07-11 03:04:00,28.0
2009-07-11 03:30:00,28.0
2009-07-11 04:00:00,31.0
2009-07-11 04:30:00,36.0
2009-07-11 05:00:00,30.0
2009-07-11 05:24:00,29.0
2009-07-11 05:30:00,31.0
2009-07-11 06:00:00,28.0
2009-07-11 07:00:00,28.0
2009-07-11 07:25:00,32.0
2009-07-11 07:30:00,33.0
2009-07-11 08:00:00,38.0
2009-07-11 08:06:00,37.0
