valid_time_gmt,gust
2009-07-11 13:00:00,56.0
2009-07-11 13:30:00,62.0
2009-07-11 14:00:00,62.0
2009-07-11 14:30:00,60.0
2009-08-03 01:38:00,58.0
2009-08-16 07:00:00,59.0
2009-08-16 09:17:00,56.0
2009-08-16 09:22:00,56.0
2009-08-16 10:00:00,61.0
2009-08-21 10:08:00,58.0
2009-08-21 10:12:00,56.0
2009-08-21 10:18:00,56.0
2009-08-25 17:18:00,64.0
2009-09-11 11:00:00,58.0
2009-09-11 11:30:00,60.0
2009-09-11 12:00:00,56.0
2009-09-11 15:00:00,61.0
2009-11-20 14:04:00,59.0
2010-02-24 10:30:00,17.0
2010-03-06 14:28:00,60.0
2010-06-17 10:24:00,58.0
2010-06-17 10:30:00,58.0
2010-09-05 02:30:00,56.0
2011-07-14 03:30:00,10.0
2011-11-18 18:05:00,58.0
2011-12-25 17:46:00,62.0
2011-12-25 17:51:00,58.0
2012-02-05 11:54:00,61.0
2012-02-05 12:00:00,61.0
2012-02-26 20:11:00,61.0
2012-09-05 13:00:00,61.0
2012-09-05 20:58:00,59.0
2012-09-05 21:00:00,59.0
2012-11-12 05:00:00,58.0
2013-03-21 11:00:00,59.0
2013-03-21 13:08:00,56.0
2013-03-21 14:30:00,58.0
2013-03-21 15:02:00,59.0
2013-05-03 09:00:00,59.0
2013-08-16 12:30:00,56.0
2013-08-16 23:00:00,58.0
2013-10-01 00:00:00,60.0
2013-10-17 12:06:00,58.0
2014-05-13 13:00:00,15.0
2014-06-24 11:00:00,56.0
2014-06-24 11:30:00,61.0
2014-06-24 12:00:00,61.0
2014-06-24 12:30:00,59.0
2014-06-24 13:00:00,64.0
2014-09-08 22:30:00,58.0
2014-09-13 11:30:00,17.0
2014-09-28 11:30:00,63.0
2014-09-28 12:00:00,59.0
2014-09-28 14:00:00,56.0
2014-09-28 15:00:00,58.0
2014-12-13 16:00:00,17.0
2014-12-13 16:30:00,17.0
2015-02-28 20:20:00,63.0
2015-06-08 00:03:00,56.0
2015-10-06 13:00:00,61.0
2015-11-25 15:23:00,58.0
2015-11-25 15:30:00,58.0
2016-10-02 09:00:00,56.0
2016-10-09 10:30:00,61.0
2016-10-09 11:00:00,56.0
2016-10-09 11:38:00,67.0
2016-10-09 12:00:00,59.0
2016-10-09 12:30:00,63.0
2016-10-09 13:07:00,66.0
2016-10-09 13:30:00,60.0
2016-10-09 14:00:00,60.0
2016-10-09 14:30:00,61.0
2016-10-09 16:00:00,59.0
2016-10-16 00:15:00,58.0
2016-10-16 01:30:00,56.0
2016-10-21 00:48:00,59.0
2016-10-21 01:00:00,56.0
2016-10-21 01:30:00,62.0
2016-10-21 02:00:00,58.0
2016-10-21 02:30:00,59.0
2016-10-21 03:00:00,60.0
2017-03-09 14:30:00,14.0
2017-07-29 05:00:00,56.0
2017-07-29 06:00:00,56.0
2017-07-29 07:00:00,58.0
2017-07-29 07:30:00,60.0
2017-07-29 08:00:00,56.0
2017-07-29 08:30:00,61.0
2017-07-29 09:00:00,64.0
2017-07-29 09:30:00,62.0
2017-07-29 10:00:00,63.0
2017-07-29 10:30:00,64.0
2017-07-29 11:00:00,64.0
2017-07-29 11:30:00,59.0
2017-07-29 12:00:00,58.0
2017-08-10 01:00:00,61.0
2017-08-10 01:30:00,59.0
2017-11-23 11:30:00,17.0
2017-12-19 19:50:00,58.0
2018-07-17 14:00:00,56.0
2018-07-23 05:39:00,60.0
2018-07-23 17:00:00,60.0
2018-09-15 12:43:00,56.0
2019-09-20 06:30:00,56.0
2019-10-26 12:48:00,62.0
2019-10-26 12:51:00,64.0
2019-11-21 13:28:00,59.0
2019-11-21 13:30:00,59.0
2020-01-31 15:49:00,59.0
2020-09-02 13:30:00,56.0
2020-09-07 22:30:00,60.0
2020-09-07 23:30:00,58.0
2020-09-08 00:00:00,60.0
2020-09-08 00:30:00,56.0
2020-10-02 23:30:00,56.0
2020-10-03 01:00:00,56.0
2020-11-15 16:57:00,58.0
2020-11-15 17:00:00,58.0
2021-10-29 04:57:00,62.0
2021-10-29 05:00:00,62.0
2021-10-29 05:30:00,56.0
2021-10-29 06:30:00,58.0
2021-10-29 06:40:00,67.0
2021-10-29 06:48:00,71.0
2021-10-29 07:00:00,68.0
2021-10-29 07:19:00,68.0
2021-10-29 07:30:00,60.0
2021-11-18 21:57:00,58.0
2021-11-18 22:00:00,58.0
2021-12-01 16:26:00,66.0
2021-12-01 16:30:00,66.0
2022-01-31 12:00:00,17.0
