valid_time_gmt,vis
2009-05-04 12:52:00,3.0
2009-05-04 13:00:00,3.0
2009-05-04 13:30:00,3.0
2009-05-07 11:17:00,2.0
2009-05-07 11:30:00,3.0
2009-05-07 11:48:00,2.0
2009-05-08 02:00:00,3.0
2009-05-08 02:30:00,3.0
2009-05-08 03:00:00,3.0
2009-05-08 03:30:00,3.0
2009-05-08 04:36:00,3.0
2009-05-08 06:00:00,3.0
2009-05-08 16:00:00,3.0
2009-05-08 16:15:00,1.0
2009-05-08 16:30:00,1.0
2009-05-08 17:00:00,1.0
2009-05-08 17:30:00,1.0
2009-05-08 18:00:00,3.0
2009-05-08 20:00:00,3.0
2009-05-08 21:24:00,2.0
2009-05-08 21:30:00,1.0
2009-05-08 22:00:00,1.0
2009-05-08 23:00:00,1.0
2009-05-08 23:30:00,1.0
2009-05-09 00:00:00,1.0
2009-05-09 00:30:00,2.0
2009-05-09 01:00:00,1.0
2009-05-09 01:30:00,3.0
2009-05-09 02:30:00,1.0
2009-05-09 03:00:00,2.0
2009-05-09 03:30:00,2.0
2009-05-09 04:00:00,1.0
2009-05-09 05:00:00,1.0
2009-05-09 06:00:00,3.0
2009-05-09 06:30:00,2.0
2009-05-09 07:00:00,3.0
2009-05-09 07:30:00,3.0
2009-05-09 08:00:00,2.0
2009-05-09 08:30:00,3.0
2009-05-09 08:49:00,1.0
2009-05-09 09:00:00,1.0
2009-05-09 09:30:00,1.0
2009-05-09 10:00:00,0.93
2009-05-09 10:30:00,3.0
2009-05-09 11:19:00,3.0
2009-05-09 11:30:00,3.0
2009-05-11 03:00:00,3.0
2009-05-11 03:30:00,3.0
2009-05-11 04:00:00,3.0
2009-05-11 04:30:00,3.0
2009-05-11 05:00:00,3.0
2009-05-11 09:00:00,3.0
2009-05-11 09:08:00,0.5
2009-05-11 09:22:00,0.06
2009-05-11 09:30:00,0.06
2009-05-11 10:00:00,0.5
2009-05-11 11:00:00,3.0
2009-05-11 23:30:00,3.0
2009-05-12 00:00:00,3.0
2009-05-12 00:30:00,3.0
2009-05-12 01:00:00,3.0
2009-05-12 01:30:00,2.0
2009-05-12 02:00:00,2.0
2009-05-12 02:30:00,2.0
2009-05-12 03:00:00,2.0
2009-05-12 03:30:00,3.0
2009-05-12 04:00:00,3.0
2009-05-16 10:30:00,2.0
2009-05-16 10:33:00,2.0
2009-05-18 06:30:00,2.0
2009-05-18 07:30:00,1.0
2009-05-18 07:38:00,0.12
2009-05-18 08:00:00,0.12
2009-05-18 08:15:00,1.0
2009-05-19 01:46:00,0.31
2009-05-19 02:30:00,3.0
2009-05-19 03:00:00,0.06
2009-05-19 03:30:00,0.06
2009-05-19 04:00:00,0.56
2009-05-19 04:16:00,1.0
2009-05-19 04:30:00,2.0
2009-05-19 05:30:00,3.0
2009-05-19 06:46:00,0.25
2009-05-19 07:00:00,0.93
2009-05-19 07:06:00,0.12
2009-05-19 07:30:00,1.0
2009-05-21 05:30:00,3.0
2009-05-21 05:54:00,0.12
2009-05-21 06:00:00,0.06
2009-05-21 06:30:00,0.03
2009-05-21 07:00:00,0.03
2009-05-21 07:30:00,0.06
2009-05-21 08:00:00,0.06
2009-05-21 08:30:00,0.06
2009-05-21 09:00:00,0.19
2009-05-21 09:30:00,2.0
2009-05-21 09:47:00,3.0
2009-05-21 10:00:00,3.0
2009-05-21 10:30:00,3.0
2009-05-21 17:30:00,3.0
2009-05-21 19:00:00,3.0
2009-05-21 19:30:00,3.0
2009-05-21 20:00:00,2.0
2009-05-21 20:30:00,2.0
2009-05-21 21:00:00,2.0
2009-05-21 21:30:00,2.0
2009-05-21 22:00:00,2.0
2009-05-21 22:30:00,3.0
2009-05-21 23:00:00,3.0
2009-05-21 23:30:00,3.0
2009-05-22 01:00:00,3.0
2009-05-22 01:30:00,3.0
2009-05-22 02:00:00,2.0
2009-05-22 02:30:00,3.0
2009-05-22 03:00:00,3.0
2009-05-22 03:30:00,3.0
2009-05-22 04:00:00,3.0
2009-05-22 04:30:00,2.0
2009-05-22 05:00:00,3.0
2009-05-22 05:30:00,3.0
2009-05-22 06:00:00,3.0
2009-05-22 06:30:00,3.0
2009-05-22 07:00:00,3.0
2009-05-22 07:18:00,3.0
2009-05-22 09:00:00,3.0
2009-05-22 10:00:00,3.0
2009-05-22 12:00:00,3.0
2009-05-22 12:30:00,3.0
2009-05-22 13:00:00,3.0
2009-05-22 13:30:00,3.0
2009-05-22 14:00:00,3.0
2009-05-22 14:30:00,3.0
2009-05-25 18:30:00,3.0
2009-05-28 18:22:00,3.0
2009-05-28 18:30:00,3.0
2009-05-29 02:30:00,3.0
2009-05-29 02:54:00,0.56
2009-05-29 03:00:00,1.0
2009-05-29 03:21:00,0.43
2009-05-29 03:30:00,0.75
2009-05-29 03:43:00,3.0
2009-05-29 06:21:00,1.0
2009-05-29 07:00:00,3.0
2009-05-29 07:30:00,3.0
2009-05-29 09:08:00,3.0
2009-05-29 09:17:00,3.0
2009-05-29 09:30:00,3.0
2009-05-30 08:30:00,3.0
2009-05-30 23:51:00,1.0
2009-05-31 00:00:00,1.0
2009-05-31 00:21:00,0.31
2009-05-31 00:30:00,0.5
2009-05-31 00:54:00,0.06
2009-05-31 01:00:00,0.06
2009-05-31 01:30:00,0.12
2009-05-31 02:00:00,0.06
2009-05-31 02:30:00,0.06
2009-05-31 03:00:00,0.06
2009-05-31 03:30:00,0.06
2009-05-31 04:00:00,0.06
2009-05-31 04:30:00,0.12
2009-05-31 05:00:00,0.19
2009-05-31 05:30:00,0.25
2009-05-31 05:49:00,1.0
2009-05-31 06:00:00,2.0
2009-05-31 19:00:00,3.0
2009-05-31 19:13:00,3.0
2009-05-31 19:30:00,3.0
2009-05-31 20:00:00,3.0
2009-05-31 20:30:00,3.0
2009-06-02 13:00:00,3.0
2009-06-02 13:30:00,3.0
2009-06-02 23:30:00,3.0
2009-06-03 00:30:00,2.0
2009-06-03 01:30:00,3.0
2009-06-03 02:00:00,3.0
2009-06-03 02:30:00,3.0
2009-06-03 03:00:00,2.0
2009-06-03 03:30:00,2.0
2009-06-03 04:00:00,2.0
2009-06-03 04:30:00,1.0
2009-06-03 05:00:00,3.0
2009-06-03 05:30:00,3.0
2009-06-03 07:00:00,1.0
2009-06-03 07:17:00,0.56
2009-06-03 07:30:00,0.87
2009-06-03 08:00:00,1.0
2009-06-03 08:30:00,3.0
2009-06-03 09:00:00,3.0
2009-06-03 09:30:00,3.0
2009-06-03 10:00:00,3.0
2009-06-06 09:00:00,3.0
2009-06-08 15:38:00,3.0
2009-06-08 16:00:00,3.0
2009-06-08 16:11:00,2.0
2009-06-09 15:03:00,3.0
2009-06-09 16:30:00,3.0
2009-06-09 16:39:00,3.0
2009-06-09 16:42:00,2.0
2009-06-10 11:34:00,2.0
2009-06-10 12:16:00,1.0
2009-06-15 22:20:00,3.0
2009-06-15 22:30:00,3.0
2009-06-15 23:00:00,1.0
2009-06-15 23:15:00,0.62
2009-06-15 23:26:00,0.28
2009-06-15 23:30:00,0.28
2009-06-16 00:00:00,0.25
2009-06-16 00:30:00,0.43
2009-06-16 00:44:00,0.12
2009-06-16 01:00:00,0.12
2009-06-16 01:30:00,0.25
2009-06-16 02:00:00,0.22
2009-06-16 02:30:00,0.25
2009-06-16 03:00:00,0.12
2009-06-16 03:30:00,0.25
2009-06-16 04:00:00,0.19
2009-06-16 04:30:00,0.25
2009-06-16 05:00:00,0.22
2009-06-16 05:30:00,0.5
2009-06-16 06:00:00,0.93
2009-06-16 06:48:00,0.93
2009-06-16 07:00:00,0.31
2009-06-16 07:30:00,0.19
2009-06-16 08:00:00,0.12
2009-06-16 08:30:00,0.19
2009-06-16 09:00:00,0.19
2009-06-16 09:30:00,1.0
2009-06-16 10:00:00,3.0
2009-06-17 04:00:00,3.0
2009-06-17 04:06:00,1.0
2009-06-17 04:08:00,0.5
2009-06-17 04:30:00,0.5
2009-06-17 05:00:00,1.0
2009-06-17 05:30:00,1.0
2009-06-17 05:57:00,0.5
2009-06-17 06:00:00,0.5
2009-06-17 06:30:00,0.25
2009-06-17 07:00:00,0.25
2009-06-17 07:30:00,0.31
2009-06-17 08:00:00,0.16
2009-06-17 08:30:00,0.12
2009-06-17 09:00:00,0.28
2009-06-17 09:30:00,0.31
2009-06-17 10:00:00,0.31
2009-06-17 10:14:00,0.43
2009-06-17 10:25:00,0.75
2009-06-17 10:41:00,1.0
2009-06-17 11:00:00,3.0
2009-06-17 18:30:00,3.0
2009-06-17 19:00:00,3.0
2009-06-17 19:19:00,3.0
2009-06-17 19:30:00,2.0
2009-06-17 20:00:00,1.0
2009-06-17 20:30:00,1.0
2009-06-17 21:00:00,1.0
2009-06-17 21:30:00,1.0
2009-06-17 22:00:00,1.0
2009-06-17 22:30:00,1.0
2009-06-17 23:00:00,1.0
2009-06-17 23:17:00,1.0
2009-06-17 23:30:00,0.5
2009-06-17 23:34:00,0.31
2009-06-18 00:00:00,0.25
2009-06-18 00:30:00,0.12
2009-06-18 01:00:00,0.12
2009-06-18 01:30:00,3.0
2009-06-18 02:00:00,0.19
2009-06-23 17:39:00,3.0
2009-06-23 18:00:00,3.0
2009-06-23 18:03:00,3.0
2009-06-25 14:47:00,2.0
2009-06-30 16:46:00,2.0
2009-06-30 17:00:00,3.0
2009-07-01 13:15:00,3.0
2009-07-01 13:22:00,2.0
2009-07-06 12:14:00,2.0
2009-07-06 12:30:00,3.0
2009-07-12 04:22:00,3.0
2009-07-13 16:26:00,3.0
2009-07-13 16:30:00,3.0
2009-07-22 16:30:00,2.0
2009-07-23 00:00:00,3.0
2009-07-23 00:30:00,3.0
2009-07-23 03:16:00,3.0
2009-07-23 04:20:00,3.0
2009-07-27 14:48:00,3.0
2009-07-27 14:54:00,2.0
2009-07-27 15:00:00,3.0
2009-07-27 15:11:00,3.0
2009-07-27 15:24:00,2.0
2009-07-27 15:30:00,3.0
2009-07-31 18:22:00,3.0
2009-08-01 16:53:00,3.0
2009-08-01 17:00:00,3.0
2009-08-01 17:13:00,2.0
2009-08-01 21:10:00,3.0
2009-08-03 01:36:00,2.0
2009-08-03 01:38:00,1.0
2009-08-07 11:51:00,2.0
2009-08-11 14:41:00,2.0
2009-08-11 15:00:00,2.0
2009-08-11 15:13:00,3.0
2009-08-12 04:09:00,3.0
2009-08-12 04:30:00,3.0
2009-08-12 05:00:00,3.0
2009-08-12 05:30:00,3.0
2009-08-12 06:00:00,3.0
2009-08-12 06:30:00,3.0
2009-08-12 07:00:00,1.0
2009-08-12 07:30:00,2.0
2009-08-12 08:00:00,2.0
2009-08-12 08:30:00,2.0
2009-08-12 09:00:00,2.0
2009-08-12 09:30:00,3.0
2009-08-12 10:00:00,3.0
2009-08-13 15:11:00,3.0
2009-08-13 17:00:00,3.0
2009-08-16 09:22:00,1.0
2009-08-16 11:00:00,2.0
2009-08-16 16:17:00,3.0
2009-08-21 10:18:00,2.0
2009-08-24 17:00:00,3.0
2009-08-25 16:42:00,3.0
2009-08-25 17:18:00,0.37
2009-08-25 17:27:00,3.0
2009-08-25 17:30:00,3.0
2009-08-29 17:21:00,3.0
2009-08-29 17:25:00,1.0
2009-08-29 17:30:00,3.0
2009-08-31 13:54:00,3.0
2009-09-03 15:03:00,3.0
2009-09-07 17:19:00,3.0
2009-09-17 14:50:00,3.0
2009-09-17 14:53:00,1.0
2009-09-17 15:00:00,1.0
2009-09-17 15:30:00,1.0
2009-09-17 16:00:00,3.0
2009-09-17 16:30:00,3.0
2009-09-17 17:00:00,2.0
2009-09-17 17:30:00,1.0
2009-09-19 18:15:00,3.0
2009-09-19 18:40:00,3.0
2009-09-21 21:00:00,3.0
2009-09-21 21:23:00,2.0
2009-09-21 22:30:00,3.0
2009-09-22 00:00:00,1.0
2009-09-22 00:30:00,2.0
2009-09-22 02:00:00,3.0
2009-09-23 04:30:00,3.0
2009-09-24 12:28:00,1.0
2009-09-24 12:30:00,1.0
2009-09-25 16:30:00,3.0
2009-09-26 16:07:00,3.0
2009-09-26 16:11:00,3.0
2009-09-26 16:14:00,0.81
2009-09-26 16:22:00,1.0
2009-09-26 16:27:00,2.0
2009-09-28 00:30:00,3.0
2009-09-28 01:00:00,3.0
2009-09-28 01:30:00,3.0
2009-09-28 02:00:00,3.0
2009-09-28 03:30:00,2.0
2009-09-28 04:00:00,3.0
2009-09-28 04:30:00,3.0
2009-09-28 05:00:00,2.0
2009-09-28 05:30:00,3.0
2009-09-28 06:00:00,1.0
2009-09-28 08:16:00,3.0
2009-09-28 09:00:00,1.0
2009-09-28 09:30:00,3.0
2009-09-28 10:00:00,1.0
2009-09-28 10:42:00,3.0
2009-10-02 06:27:00,3.0
2009-10-02 06:30:00,2.0
2009-10-02 07:00:00,2.0
2009-10-06 04:30:00,3.0
2009-10-06 11:41:00,3.0
2009-10-06 12:28:00,3.0
2009-10-06 12:30:00,3.0
2009-10-06 14:09:00,3.0
2009-10-11 15:49:00,3.0
2009-10-14 10:17:00,3.0
2009-10-14 13:05:00,3.0
2009-10-15 13:05:00,3.0
2009-10-15 14:35:00,3.0
2009-10-15 19:05:00,3.0
2009-10-16 19:30:00,3.0
2009-10-17 12:30:00,3.0
2009-10-30 10:00:00,3.0
2009-10-30 11:05:00,3.0
2009-10-31 21:41:00,3.0
2009-11-01 01:30:00,3.0
2009-11-01 01:46:00,1.0
2009-11-01 02:00:00,0.5
2009-11-01 02:30:00,0.93
2009-11-01 03:00:00,0.06
2009-11-01 03:30:00,0.06
2009-11-01 04:00:00,0.25
2009-11-01 04:30:00,0.12
2009-11-01 05:00:00,0.5
2009-11-01 05:30:00,0.25
2009-11-01 06:00:00,0.25
2009-11-01 06:30:00,0.12
2009-11-01 07:00:00,0.31
2009-11-01 07:30:00,0.25
2009-11-01 08:00:00,0.5
2009-11-01 08:30:00,0.62
2009-11-01 09:00:00,0.75
2009-11-01 09:30:00,1.0
2009-11-01 10:00:00,2.0
2009-11-01 10:30:00,3.0
2009-11-20 14:00:00,0.06
2009-11-20 14:04:00,0.25
2009-11-20 14:14:00,1.0
2009-11-21 02:18:00,3.0
2009-11-21 02:30:00,3.0
2009-11-21 03:00:00,3.0
2009-11-21 18:58:00,3.0
2009-11-21 19:00:00,2.0
2009-11-21 19:21:00,1.0
2009-11-21 19:30:00,1.0
2009-11-21 20:00:00,1.0
2009-11-21 20:07:00,0.93
2009-11-21 20:30:00,2.0
2009-11-21 21:00:00,1.0
2009-11-21 21:30:00,1.0
2009-11-21 21:52:00,0.5
2009-11-21 22:00:00,0.37
2009-11-21 22:30:00,1.0
2009-11-21 23:00:00,1.0
2009-11-21 23:30:00,1.0
2009-11-22 00:00:00,2.0
2009-11-22 00:30:00,2.0
2009-11-22 01:00:00,2.0
2009-11-22 01:30:00,1.0
2009-11-22 02:00:00,2.0
2009-11-22 02:30:00,2.0
2009-11-22 03:00:00,1.0
2009-11-22 03:30:00,1.0
2009-11-22 04:00:00,3.0
2009-11-22 05:00:00,1.0
2009-11-22 05:30:00,1.0
2009-11-22 06:00:00,3.0
2009-11-22 06:30:00,2.0
2009-11-22 07:00:00,1.0
2009-11-22 07:30:00,1.0
2009-11-22 07:45:00,2.0
2009-11-22 08:00:00,3.0
2009-11-22 08:30:00,3.0
2009-11-22 08:40:00,3.0
2009-11-22 09:13:00,1.0
2009-11-22 09:30:00,3.0
2009-11-22 09:43:00,1.0
2009-11-22 10:00:00,1.0
2009-11-22 10:17:00,0.75
2009-11-22 10:30:00,0.62
2009-11-22 10:41:00,1.0
2009-11-22 11:00:00,1.0
2009-11-22 11:30:00,1.0
2009-11-22 12:00:00,2.0
2009-11-22 12:17:00,3.0
2009-11-22 12:30:00,1.0
2009-11-22 15:23:00,3.0
2009-11-22 15:30:00,2.0
2009-11-26 04:51:00,3.0
2009-11-26 07:00:00,3.0
2009-11-26 08:42:00,3.0
2009-11-26 14:06:00,1.0
2009-11-26 14:13:00,3.0
2009-11-27 23:49:00,3.0
2009-11-28 18:09:00,3.0
2009-11-28 18:28:00,1.0
2009-11-28 18:30:00,1.0
2009-11-28 19:42:00,3.0
2009-11-28 20:00:00,3.0
2009-11-29 06:00:00,3.0
2009-11-29 06:30:00,3.0
2009-11-29 12:00:00,3.0
2009-11-29 12:44:00,3.0
2009-11-29 13:00:00,3.0
2009-11-29 23:04:00,3.0
2009-11-29 23:14:00,1.0
2009-11-29 23:30:00,2.0
2009-12-08 08:57:00,3.0
2009-12-08 09:00:00,3.0
2009-12-10 14:46:00,3.0
2009-12-10 15:37:00,3.0
2009-12-10 16:21:00,2.0
2009-12-10 16:30:00,1.0
2009-12-10 18:41:00,3.0
2009-12-10 19:00:00,3.0
2009-12-10 20:15:00,3.0
2009-12-13 05:55:00,3.0
2009-12-13 06:19:00,2.0
2009-12-13 06:30:00,1.0
2009-12-13 07:00:00,3.0
2009-12-13 08:42:00,3.0
2009-12-13 09:00:00,3.0
2009-12-17 13:30:00,1.0
2009-12-17 14:18:00,1.0
2009-12-17 16:55:00,0.62
2009-12-17 17:41:00,2.0
2009-12-17 20:55:00,3.0
2009-12-24 17:30:00,3.0
2009-12-24 18:30:00,3.0
2009-12-24 19:30:00,3.0
2009-12-24 19:37:00,1.0
2009-12-24 20:00:00,1.0
2009-12-24 20:19:00,1.0
2009-12-24 20:30:00,2.0
2009-12-24 20:51:00,1.0
2009-12-24 21:00:00,1.0
2009-12-24 21:30:00,1.0
2009-12-24 22:00:00,2.0
2009-12-24 23:49:00,2.0
2009-12-25 00:00:00,2.0
2009-12-31 21:50:00,1.0
2010-01-01 08:30:00,3.0
2010-01-01 08:51:00,1.0
2010-01-01 09:00:00,1.0
2010-01-01 09:30:00,1.0
2010-01-01 10:00:00,1.0
2010-01-01 10:04:00,1.0
2010-01-01 10:30:00,1.0
2010-01-01 11:00:00,2.0
2010-01-01 11:30:00,1.0
2010-01-01 12:00:00,3.0
2010-01-01 21:30:00,3.0
2010-01-02 00:30:00,3.0
2010-01-02 00:58:00,3.0
2010-01-02 01:30:00,1.0
2010-01-02 01:54:00,1.0
2010-01-02 02:00:00,1.0
2010-01-02 02:30:00,1.0
2010-01-02 03:00:00,1.0
2010-01-02 03:30:00,1.0
2010-01-02 04:00:00,1.0
2010-01-02 04:30:00,1.0
2010-01-02 05:00:00,1.0
2010-01-02 05:30:00,1.0
2010-01-02 06:00:00,1.0
2010-01-02 06:30:00,1.0
2010-01-02 07:00:00,1.0
2010-01-05 05:00:00,3.0
2010-01-05 07:00:00,2.0
2010-01-12 21:40:00,2.0
2010-01-12 22:00:00,1.0
2010-01-12 22:11:00,1.0
2010-01-12 22:30:00,1.0
2010-01-12 22:42:00,3.0
2010-01-16 06:22:00,3.0
2010-01-18 15:54:00,3.0
2010-01-18 16:00:00,2.0
2010-01-23 12:19:00,3.0
2010-01-31 18:25:00,3.0
2010-02-04 12:30:00,3.0
2010-02-05 05:00:00,2.0
2010-02-05 05:30:00,2.0
2010-02-05 06:00:00,2.0
2010-02-05 06:30:00,2.0
2010-02-05 07:00:00,2.0
2010-02-05 07:30:00,1.0
2010-02-05 08:00:00,1.0
2010-02-05 08:30:00,2.0
2010-02-05 09:00:00,1.0
2010-02-05 09:30:00,1.0
2010-02-05 10:00:00,2.0
2010-02-05 10:20:00,3.0
2010-02-05 10:30:00,3.0
2010-02-05 11:10:00,3.0
2010-02-05 12:00:00,3.0
2010-02-09 03:30:00,3.0
2010-02-09 03:36:00,1.0
2010-02-09 03:41:00,0.56
2010-02-09 03:50:00,0.12
2010-02-09 04:30:00,0.12
2010-02-09 05:00:00,0.12
2010-02-09 05:30:00,0.06
2010-02-09 06:00:00,0.19
2010-02-09 06:22:00,0.56
2010-02-09 06:30:00,1.0
2010-02-10 02:30:00,3.0
2010-02-10 03:00:00,2.0
2010-02-10 03:30:00,3.0
2010-02-10 04:00:00,3.0
2010-02-10 04:30:00,2.0
2010-02-10 05:00:00,2.0
2010-02-10 05:30:00,2.0
2010-02-10 06:00:00,1.0
2010-02-10 06:18:00,0.75
2010-02-10 06:30:00,0.62
2010-02-10 07:00:00,0.81
2010-02-10 07:30:00,1.0
2010-02-10 08:00:00,3.0
2010-02-10 09:00:00,3.0
2010-02-11 15:53:00,1.0
2010-02-11 15:57:00,0.93
2010-02-11 16:00:00,0.62
2010-02-11 16:20:00,3.0
2010-02-11 18:30:00,3.0
2010-02-11 19:00:00,0.62
2010-02-11 19:30:00,1.0
2010-02-11 19:46:00,2.0
2010-02-12 00:00:00,3.0
2010-02-12 01:00:00,2.0
2010-02-12 01:30:00,2.0
2010-02-14 03:00:00,3.0
2010-02-27 10:55:00,3.0
2010-02-27 11:00:00,3.0
2010-02-27 11:30:00,3.0
2010-02-27 11:57:00,1.0
2010-02-27 12:00:00,1.0
2010-02-27 12:30:00,1.0
2010-02-27 13:00:00,3.0
2010-02-27 13:07:00,3.0
2010-02-27 13:30:00,1.0
2010-02-27 14:00:00,1.0
2010-02-27 14:30:00,1.0
2010-02-27 17:27:00,3.0
2010-02-27 17:30:00,3.0
2010-03-06 14:24:00,3.0
2010-03-06 14:28:00,1.0
2010-03-06 14:34:00,0.06
2010-03-06 14:41:00,1.0
2010-03-06 15:00:00,3.0
2010-03-06 15:30:00,2.0
2010-03-06 16:00:00,1.0
2010-03-06 17:30:00,3.0
2010-03-06 18:00:00,3.0
2010-03-07 17:52:00,3.0
2010-03-07 18:00:00,3.0
2010-03-07 18:30:00,2.0
2010-03-07 19:00:00,2.0
2010-03-07 19:21:00,3.0
2010-03-08 00:30:00,3.0
2010-03-08 01:00:00,3.0
2010-03-08 05:53:00,2.0
2010-03-09 11:34:00,3.0
2010-03-09 11:35:00,3.0
2010-03-19 17:30:00,3.0
2010-03-25 07:00:00,3.0
2010-03-25 07:27:00,1.0
2010-03-25 07:30:00,1.0
2010-03-25 07:39:00,2.0
2010-03-25 07:45:00,0.5
2010-03-25 08:00:00,2.0
2010-03-25 08:10:00,1.0
2010-03-25 08:18:00,0.43
2010-03-25 08:26:00,1.0
2010-03-25 08:30:00,2.0
2010-03-25 08:41:00,3.0
2010-03-25 15:53:00,3.0
2010-03-25 16:00:00,3.0
2010-03-25 16:30:00,2.0
2010-03-25 17:00:00,3.0
2010-03-25 18:00:00,3.0
