,gust
23.0,0.018834473072229515
21.0,0.018120697197854068
22.0,0.017844396859386154
24.0,0.01703852087218807
25.0,0.016255669913195644
26.0,0.014782068108033432
20.0,0.01383804195160139
28.0,0.012640740484907095
29.0,0.010453362805369437
18.0,0.00976261195919965
30.0,0.009002786028412885
31.0,0.0075291842232506736
32.0,0.006516082982201653
17.0,0.006078607446294122
33.0,0.005226681402684718
35.0,0.004558955584720591
36.0,0.004029379935990422
16.0,0.0037761046257281665
37.0,0.003292579033409316
38.0,0.002624853215445189
39.0,0.0018880523128640833
40.0,0.001335451635928254
41.0,0.0013124266077225945
43.0,0.0007828509589924247
44.0,0.0005295756487301697
45.0,0.00046050056411319103
47.0,0.0002763003384679146
46.0,0.00020722525385093597
51.0,0.00016117519743961688
48.0,0.00011512514102829776
55.0,9.210011282263821e-05
52.0,6.907508461697865e-05
53.0,6.907508461697865e-05
49.0,6.907508461697865e-05
60.0,2.3025028205659553e-05
56.0,2.3025028205659553e-05
74.0,2.3025028205659553e-05
