,precip_total
0.01,0.0009670511846377012
0.02,0.0007368009025811057
0.07,0.00046050056411319103
0.03,0.00034537542308489327
0.13,0.0002763003384679146
0.05,0.0002763003384679146
0.04,0.0002763003384679146
0.06,0.00020722525385093597
0.12,0.00020722525385093597
0.1,0.00020722525385093597
0.32,0.00018420022564527642
0.08,0.00018420022564527642
0.18,0.00018420022564527642
0.17,0.00016117519743961688
0.19,0.00016117519743961688
0.16,0.0001381501692339573
0.15,0.0001381501692339573
0.41,0.0001381501692339573
0.14,0.0001381501692339573
0.3,0.00011512514102829776
0.48,0.00011512514102829776
0.24,0.00011512514102829776
0.79,0.00011512514102829776
0.29,0.00011512514102829776
0.21,0.00011512514102829776
0.44,9.210011282263821e-05
0.71,9.210011282263821e-05
0.25,9.210011282263821e-05
0.5,9.210011282263821e-05
0.45,9.210011282263821e-05
0.2,9.210011282263821e-05
0.31,9.210011282263821e-05
0.26,9.210011282263821e-05
0.09,9.210011282263821e-05
0.0,6.907508461697865e-05
0.51,6.907508461697865e-05
0.73,6.907508461697865e-05
0.52,6.907508461697865e-05
0.39,6.907508461697865e-05
0.47,6.907508461697865e-05
0.11,6.907508461697865e-05
0.35,4.6050056411319105e-05
0.82,4.6050056411319105e-05
0.7,4.6050056411319105e-05
0.56,4.6050056411319105e-05
0.61,4.6050056411319105e-05
0.55,4.6050056411319105e-05
0.27,4.6050056411319105e-05
0.93,4.6050056411319105e-05
0.89,4.6050056411319105e-05
0.67,4.6050056411319105e-05
0.34,4.6050056411319105e-05
0.57,4.6050056411319105e-05
0.8,4.6050056411319105e-05
1.32,4.6050056411319105e-05
0.28,4.6050056411319105e-05
0.46,4.6050056411319105e-05
0.22,4.6050056411319105e-05
1.0,4.6050056411319105e-05
0.43,4.6050056411319105e-05
0.99,4.6050056411319105e-05
1.26,4.6050056411319105e-05
0.37,4.6050056411319105e-05
0.4,4.6050056411319105e-05
0.66,4.6050056411319105e-05
0.38,4.6050056411319105e-05
1.2,2.3025028205659553e-05
0.96,2.3025028205659553e-05
1.97,2.3025028205659553e-05
1.43,2.3025028205659553e-05
1.58,2.3025028205659553e-05
2.26,2.3025028205659553e-05
0.33,2.3025028205659553e-05
1.07,2.3025028205659553e-05
0.76,2.3025028205659553e-05
1.6,2.3025028205659553e-05
0.88,2.3025028205659553e-05
1.05,2.3025028205659553e-05
1.09,2.3025028205659553e-05
1.16,2.3025028205659553e-05
0.6,2.3025028205659553e-05
0.81,2.3025028205659553e-05
2.31,2.3025028205659553e-05
0.65,2.3025028205659553e-05
0.72,2.3025028205659553e-05
0.77,2.3025028205659553e-05
1.62,2.3025028205659553e-05
1.69,2.3025028205659553e-05
1.01,2.3025028205659553e-05
0.98,2.3025028205659553e-05
0.49,2.3025028205659553e-05
1.53,2.3025028205659553e-05
0.84,2.3025028205659553e-05
1.46,2.3025028205659553e-05
0.69,2.3025028205659553e-05
0.85,2.3025028205659553e-05
1.48,2.3025028205659553e-05
1.23,2.3025028205659553e-05
1.78,2.3025028205659553e-05
0.23,2.3025028205659553e-05
4.88,2.3025028205659553e-05
0.54,2.3025028205659553e-05
0.63,2.3025028205659553e-05
0.42,2.3025028205659553e-05
0.83,2.3025028205659553e-05
1.24,2.3025028205659553e-05
1.98,2.3025028205659553e-05
1.45,2.3025028205659553e-05
0.9,2.3025028205659553e-05
0.53,2.3025028205659553e-05
2.23,2.3025028205659553e-05
0.95,2.3025028205659553e-05
1.44,2.3025028205659553e-05
1.14,2.3025028205659553e-05
2.05,2.3025028205659553e-05
1.61,2.3025028205659553e-05
1.08,2.3025028205659553e-05
