,rh
93.0,0.03184361400842716
87.0,0.02928783587759895
86.0,0.01911077341069743
89.0,0.01899564826966913
53.0,0.018373972508116322
50.0,0.018281872395293684
48.0,0.017913471944003133
90.0,0.017890446915797473
82.0,0.017844396859386154
45.0,0.017775321774769173
52.0,0.017614146577329556
60.0,0.017614146577329556
59.0,0.017360871267067302
54.0,0.017291796182450324
88.0,0.017199696069627686
51.0,0.017130620985010708
81.0,0.01708457092859939
55.0,0.01701549584398241
56.0,0.01696944578757109
47.0,0.01685432064654279
61.0,0.016716170477308834
64.0,0.016670120420897515
46.0,0.01648592019525224
49.0,0.01641684511063526
58.0,0.016209619856784326
43.0,0.016186594828578666
57.0,0.015956344546522068
63.0,0.01591029449011075
83.0,0.01588726946190509
62.0,0.015726094264465473
65.0,0.015657019179848495
69.0,0.015518869010614538
44.0,0.015311643756763601
78.0,0.015265593700352282
41.0,0.015150468559323985
73.0,0.015058368446501347
68.0,0.01494324330547305
42.0,0.01443669268494854
71.0,0.0143445925721259
84.0,0.014206442402891943
76.0,0.014045267205452327
67.0,0.014045267205452327
40.0,0.013907117036218369
94.0,0.013791991895190071
66.0,0.013515691556722158
74.0,0.013239391218254242
38.0,0.013124266077225945
79.0,0.012732840597729733
39.0,0.012571665400290115
70.0,0.012387465174644839
80.0,0.012111164836176923
72.0,0.011949989638737307
75.0,0.011512514102829776
35.0,0.011512514102829776
77.0,0.011282263820773181
37.0,0.011005963482305266
36.0,0.009302111395086458
34.0,0.009186986254058161
85.0,0.008265985125831779
33.0,0.008058759871980844
32.0,0.0077824595335129285
100.0,0.0071147337155488015
96.0,0.006216757615528079
31.0,0.006078607446294122
30.0,0.005526006769358292
29.0,0.0049273560360111445
97.0,0.004743155810365868
28.0,0.004351730330869655
27.0,0.003499804287260252
92.0,0.0031774538923810183
26.0,0.0031083788077640394
91.0,0.0025327531026225506
25.0,0.002210402707743317
24.0,0.001957127397481062
23.0,0.0018880523128640833
22.0,0.001335451635928254
21.0,0.0010361262692546798
20.0,0.0009900762128433607
19.0,0.0008289010154037439
18.0,0.0005986507333471484
17.0,0.00036840045129055284
16.0,0.0002763003384679146
95.0,0.0001381501692339573
15.0,0.00011512514102829776
14.0,6.907508461697865e-05
12.0,4.6050056411319105e-05
