,wc
73.0,0.02622550712624623
72.0,0.024890055490317975
75.0,0.022173102162050148
74.0,0.021390251203057722
57.0,0.021367226174852063
70.0,0.021252101033823766
71.0,0.020952775667150193
63.0,0.020561350187653978
54.0,0.019732449172250238
77.0,0.01968639911583892
76.0,0.018949598213257812
64.0,0.018880523128640834
55.0,0.018604222790172917
68.0,0.017614146577329556
50.0,0.017591121549123897
66.0,0.01752204646450692
61.0,0.01745297137988994
59.0,0.01745297137988994
79.0,0.017153646013216367
52.0,0.016762220533720153
69.0,0.01648592019525224
78.0,0.01643987013884092
58.0,0.016232644884989985
80.0,0.016140544772167347
62.0,0.01586424443369943
51.0,0.015518869010614538
56.0,0.015265593700352282
67.0,0.015219543643940963
53.0,0.015150468559323985
65.0,0.014782068108033432
81.0,0.014298542515714581
60.0,0.014275517487508922
39.0,0.013930142064424028
30.0,0.013607791669544796
33.0,0.013239391218254242
37.0,0.012686790541318414
40.0,0.012479565287467477
82.0,0.012226289977205223
41.0,0.012019064723354286
38.0,0.011926964610531648
42.0,0.011604614215652414
32.0,0.011374363933595819
29.0,0.011213188736156203
36.0,0.011190163707950541
31.0,0.010890838341276968
34.0,0.010683613087426031
43.0,0.010407312748958118
35.0,0.01031521263613548
83.0,0.010292187607929819
84.0,0.010015887269461905
28.0,0.009923787156639267
44.0,0.009693536874582671
27.0,0.009394211507909098
26.0,0.008933710943795907
25.0,0.00872648568994497
24.0,0.008680435633533651
23.0,0.008542285464299694
85.0,0.008012709815569525
22.0,0.007759434505307269
45.0,0.007690359420690291
19.0,0.0066081830950242915
21.0,0.006331882756556377
20.0,0.005986507333471483
86.0,0.005917432248854505
17.0,0.005779282079620547
18.0,0.005272731459096037
16.0,0.0049273560360111445
87.0,0.004881305979599825
14.0,0.004812230894982846
12.0,0.004351730330869655
13.0,0.004075429992401741
11.0,0.003983329879579102
15.0,0.003983329879579102
88.0,0.003914254794962124
46.0,0.0034537542308489327
9.0,0.0034077041744376138
10.0,0.0031774538923810183
89.0,0.002878128525707444
90.0,0.0026478782436508484
91.0,0.0024636780180055723
8.0,0.002371577905182934
47.0,0.0023485528769772745
7.0,0.0021873776795376574
6.0,0.0021413276231263384
5.0,0.0019801524256867213
4.0,0.0018189772282471046
93.0,0.0015657019179848494
48.0,0.0014736018051622114
92.0,0.0014045267205452328
3.0,0.0013584766641339136
49.0,0.0013584766641339136
2.0,0.0011052013538716584
94.0,0.0008979761000207225
95.0,0.0007368009025811057
-1.0,0.0006907508461697865
1.0,0.0006447007897584675
-4.0,0.0006216757615528079
-3.0,0.0006216757615528079
-2.0,0.0005986507333471484
-7.0,0.0005756257051414888
96.0,0.0004835255923188506
-6.0,0.0004835255923188506
0.0,0.0004835255923188506
-8.0,0.00046050056411319103
-5.0,0.00041445050770187194
-10.0,0.00034537542308489327
-14.0,0.0002763003384679146
97.0,0.0002532753102622551
-13.0,0.00023025028205659551
-11.0,0.00020722525385093597
-9.0,0.00016117519743961688
-16.0,0.0001381501692339573
-19.0,0.00011512514102829776
-17.0,0.00011512514102829776
-18.0,9.210011282263821e-05
98.0,6.907508461697865e-05
99.0,6.907508461697865e-05
-15.0,4.6050056411319105e-05
-12.0,4.6050056411319105e-05
100.0,2.3025028205659553e-05
-21.0,2.3025028205659553e-05
