,wx_phrase
Cloudy,0.25840989155211713
Mostly Cloudy,0.23391126154129538
Fair,0.17683221661946535
Partly Cloudy,0.14307752526996845
Light Rain,0.05850659667058092
Fog,0.019387073749165342
Light Snow,0.01282494071055237
Cloudy / Windy,0.012617715456701435
Fair / Windy,0.011374363933595819
Rain,0.010453362805369437
Mostly Cloudy / Windy,0.010131012410490203
Partly Cloudy / Windy,0.009785636987405309
Light Drizzle,0.007506159195045014
Light Rain / Windy,0.005572056825769611
Heavy Rain,0.0049734060924224634
Haze,0.004075429992401741
Light Rain with Thunder,0.0023946029333885934
Snow,0.0019801524256867213
Light Snow / Windy,0.0019110773410697427
Heavy T-Storm,0.0015657019179848494
Rain / Windy,0.001381501692339573
Wintry Mix,0.0011742764384886372
Thunder,0.0011512514102829776
T-Storm,0.0008519260436094034
Drizzle and Fog,0.0006907508461697865
Rain / Freezing Rain,0.0006447007897584675
Heavy Rain / Windy,0.0006216757615528079
Light Drizzle / Windy,0.0005986507333471484
Snow / Windy,0.0005065506205245102
Rain and Snow,0.00046050056411319103
Thunder in the Vicinity,0.00046050056411319103
Heavy Snow / Windy,0.00036840045129055284
Rain and Sleet,0.00034537542308489327
Heavy Snow,0.00034537542308489327
Heavy T-Storm / Windy,0.00032235039487923375
Snow and Sleet / Windy,0.0002993253666735742
Snow and Sleet,0.0002993253666735742
Rain and Snow / Windy,0.0002532753102622551
Light Freezing Rain,0.00023025028205659551
Light Freezing Drizzle,0.00020722525385093597
T-Storm / Windy,0.00020722525385093597
Thunder / Windy,0.00011512514102829776
Light Sleet,0.00011512514102829776
Light Snow and Sleet,0.00011512514102829776
Fog / Windy,0.00011512514102829776
Mist,9.210011282263821e-05
Rain and Sleet / Windy,9.210011282263821e-05
Patches of Fog,9.210011282263821e-05
Light Sleet / Windy,6.907508461697865e-05
Sleet / Windy,6.907508461697865e-05
Sleet,6.907508461697865e-05
Rain / Freezing Rain / Windy,4.6050056411319105e-05
Drizzle and Fog / Windy,4.6050056411319105e-05
Haze / Windy,4.6050056411319105e-05
Unknown Precipitation,4.6050056411319105e-05
Wintry Mix / Windy,4.6050056411319105e-05
Shallow Fog,4.6050056411319105e-05
Light Snow and Sleet / Windy,2.3025028205659553e-05
Light Snow / Freezing Rain,2.3025028205659553e-05
