valid_time_gmt,pressure
2013-07-23 17:51:00,29.53
2013-11-01 16:51:00,29.53
2013-11-04 01:51:00,30.47
2013-11-04 02:51:00,30.48
2013-11-04 03:51:00,30.5
2013-11-04 04:51:00,30.52
2013-11-04 05:51:00,30.54
2013-11-04 06:51:00,30.57
2013-11-04 07:51:00,30.58
2013-11-04 08:51:00,30.6
2013-11-04 09:51:00,30.61
2013-11-04 10:51:00,30.62
2013-11-04 11:51:00,30.59
2013-11-04 12:51:00,30.59
2013-11-04 13:51:00,30.58
2013-11-04 14:51:00,30.59
2013-11-04 15:51:00,30.59
2013-11-04 16:51:00,30.61
2013-11-04 17:51:00,30.62
2013-11-04 18:51:00,30.62
2013-11-04 19:51:00,30.62
2013-11-04 20:51:00,30.63
2013-11-04 21:51:00,30.64
2013-11-04 22:51:00,30.64
2013-11-04 23:51:00,30.63
2013-11-05 00:51:00,30.63
2013-11-05 01:51:00,30.63
2013-11-05 02:51:00,30.59
2013-11-05 03:51:00,30.61
2013-11-05 04:51:00,30.62
2013-11-05 05:51:00,30.62
2013-11-05 06:51:00,30.62
2013-11-05 07:51:00,30.62
2013-11-05 08:51:00,30.62
2013-11-05 09:51:00,30.62
2013-11-05 10:51:00,30.62
2013-11-05 11:51:00,30.6
2013-11-05 12:51:00,30.57
2013-11-05 13:51:00,30.56
2013-11-05 14:51:00,30.54
2013-11-05 15:51:00,30.53
2013-11-05 16:51:00,30.52
2013-11-05 17:51:00,30.52
2013-11-05 18:51:00,30.53
2013-11-05 19:51:00,30.53
2013-11-05 20:51:00,30.51
2013-11-05 21:51:00,30.51
2013-11-05 22:51:00,30.48
2013-11-05 23:51:00,30.47
2013-11-06 00:51:00,30.47
2013-11-20 06:51:00,30.48
2013-11-20 07:51:00,30.5
2013-11-20 08:51:00,30.52
2013-11-20 09:51:00,30.54
2013-11-20 10:51:00,30.54
2013-11-20 11:51:00,30.53
2013-11-20 12:51:00,30.52
2013-11-20 13:51:00,30.52
2013-11-20 14:51:00,30.52
2013-11-20 15:51:00,30.53
2013-11-20 16:51:00,30.53
2013-11-20 17:51:00,30.54
2013-11-20 18:51:00,30.56
2013-11-20 19:51:00,30.57
2013-11-20 20:51:00,30.57
2013-11-20 21:51:00,30.58
2013-11-20 22:51:00,30.59
2013-11-20 23:51:00,30.58
2013-11-21 00:51:00,30.59
2013-11-21 01:51:00,30.59
2013-11-21 02:51:00,30.59
2013-11-21 03:51:00,30.59
2013-11-21 04:51:00,30.59
2013-11-21 05:51:00,30.59
2013-11-21 06:51:00,30.59
2013-11-21 07:51:00,30.59
2013-11-21 08:51:00,30.58
2013-11-21 09:51:00,30.58
2013-11-21 10:51:00,30.57
2013-11-21 11:51:00,30.53
2013-11-21 12:51:00,30.49
2013-11-21 13:51:00,30.47
2013-11-21 14:51:00,30.46
2013-11-25 08:51:00,30.46
2013-11-25 09:51:00,30.47
2013-11-25 10:51:00,30.46
2013-11-27 02:51:00,29.5
2013-11-27 03:51:00,29.41
2013-11-27 04:51:00,29.38
2013-11-27 05:45:00,29.37
2013-11-27 05:51:00,29.37
2013-11-27 06:23:00,29.36
2013-11-27 06:51:00,29.36
2013-11-27 07:08:00,29.36
2013-11-27 07:36:00,29.36
2013-11-27 07:51:00,29.35
2013-11-27 08:10:00,29.36
2013-11-27 08:18:00,29.35
2013-11-27 08:51:00,29.38
2013-11-27 09:05:00,29.39
2013-11-27 09:26:00,29.37
2013-11-27 09:42:00,29.36
2013-11-27 09:51:00,29.37
2013-11-27 10:00:00,29.36
2013-11-27 10:20:00,29.38
2013-11-27 10:51:00,29.35
2013-11-27 11:45:00,29.36
2013-11-27 11:51:00,29.36
2013-11-27 12:45:00,29.35
2013-11-27 12:51:00,29.34
2013-11-27 13:34:00,29.36
2013-11-27 13:51:00,29.37
2013-11-27 14:51:00,29.33
2013-11-27 15:51:00,29.35
2013-11-27 16:18:00,29.35
2013-11-27 16:51:00,29.34
2013-11-27 16:59:00,29.36
2013-11-27 17:38:00,29.4
2013-11-27 17:51:00,29.44
2013-11-27 17:58:00,29.45
2013-11-27 18:51:00,29.49
2013-11-27 19:32:00,29.51
2013-11-27 19:51:00,29.52
2013-11-29 03:51:00,30.46
2013-11-29 04:51:00,30.47
2013-11-29 05:51:00,30.48
2013-11-29 06:51:00,30.51
2013-11-29 07:51:00,30.54
2013-11-29 08:51:00,30.55
2013-11-29 09:51:00,30.57
2013-11-29 10:51:00,30.56
2013-11-29 11:51:00,30.55
2013-11-29 12:51:00,30.55
2013-11-29 13:51:00,30.55
2013-11-29 14:51:00,30.57
2013-11-29 15:51:00,30.59
2013-11-29 16:51:00,30.6
2013-11-29 17:51:00,30.64
2013-11-29 18:51:00,30.65
2013-11-29 19:51:00,30.67
2013-11-29 20:51:00,30.68
2013-11-29 21:51:00,30.7
