valid_time_gmt,rh
2013-07-29 18:51:00,24.0
2013-10-12 14:51:00,23.0
2013-11-14 12:51:00,21.0
2013-11-14 13:51:00,18.0
2013-11-14 14:51:00,19.0
2013-11-14 15:51:00,18.0
2013-11-14 16:51:00,21.0
2013-11-14 17:51:00,19.0
2013-11-14 18:51:00,19.0
2013-11-14 19:51:00,22.0
2013-11-15 12:51:00,20.0
2013-11-18 15:51:00,24.0
2014-02-17 15:51:00,24.0
2014-02-17 17:51:00,23.0
2014-02-22 15:51:00,23.0
2014-02-22 16:51:00,23.0
2014-02-28 16:51:00,23.0
2014-03-09 15:51:00,24.0
2014-03-14 14:51:00,23.0
2014-03-15 17:51:00,24.0
2014-03-15 18:51:00,24.0
2014-03-18 14:51:00,24.0
2014-03-18 15:51:00,24.0
2014-03-18 16:51:00,24.0
2014-03-22 16:51:00,24.0
2014-03-22 17:51:00,22.0
2014-03-22 18:51:00,22.0
2014-03-24 16:51:00,24.0
2014-03-27 12:51:00,23.0
2014-03-27 13:51:00,23.0
2014-03-27 14:51:00,21.0
2014-03-27 15:51:00,23.0
2014-04-03 14:51:00,22.0
2014-04-03 15:51:00,22.0
2014-04-03 16:51:00,22.0
2014-04-03 17:51:00,21.0
2014-04-06 13:51:00,22.0
2014-04-06 14:51:00,20.0
2014-04-06 15:51:00,19.0
2014-04-06 16:51:00,18.0
2014-04-06 17:51:00,16.0
2014-04-10 09:51:00,23.0
2014-04-10 10:51:00,22.0
2014-04-10 11:51:00,24.0
2014-04-10 12:51:00,24.0
2014-04-12 13:51:00,23.0
2014-04-12 14:51:00,20.0
2014-04-19 11:51:00,24.0
2014-04-19 12:51:00,23.0
2014-04-19 14:51:00,22.0
2014-04-19 15:51:00,22.0
2014-04-19 16:51:00,19.0
2014-04-19 17:51:00,22.0
2014-04-19 18:51:00,24.0
2014-04-21 14:51:00,23.0
2014-04-24 11:51:00,23.0
2014-04-24 12:51:00,19.0
2014-04-24 13:51:00,18.0
2014-04-24 14:51:00,19.0
2014-04-24 15:51:00,17.0
2014-04-24 16:51:00,18.0
2014-04-24 17:51:00,14.0
2014-04-24 18:51:00,19.0
2014-04-24 19:51:00,18.0
2014-04-24 20:51:00,18.0
2014-04-24 21:51:00,21.0
2014-04-25 11:51:00,24.0
2014-04-25 12:51:00,23.0
2014-04-25 14:51:00,24.0
2014-04-28 17:51:00,24.0
2014-05-05 15:51:00,24.0
2014-05-05 16:51:00,22.0
2014-05-05 17:51:00,22.0
2014-05-05 18:51:00,23.0
2014-05-06 13:51:00,21.0
2014-05-06 14:51:00,23.0
2014-05-07 13:51:00,24.0
2014-05-07 14:51:00,21.0
2014-05-07 15:51:00,24.0
2014-05-11 14:51:00,20.0
2014-05-11 15:51:00,18.0
2014-05-11 16:51:00,20.0
2014-05-11 17:51:00,23.0
2014-05-11 18:51:00,23.0
2014-05-11 20:51:00,19.0
2014-05-11 21:51:00,23.0
2014-05-19 13:51:00,24.0
2014-05-19 14:51:00,24.0
2014-05-20 11:51:00,23.0
2014-05-20 13:51:00,22.0
2014-05-20 14:51:00,21.0
2014-05-20 15:51:00,18.0
2014-05-20 16:51:00,19.0
2014-05-20 17:51:00,22.0
2014-05-25 14:51:00,23.0
2014-05-25 15:51:00,22.0
2014-05-25 16:51:00,24.0
2014-05-26 11:51:00,23.0
2014-05-26 12:51:00,22.0
2014-05-26 13:51:00,23.0
2014-05-26 15:51:00,24.0
2014-05-26 16:51:00,24.0
2014-06-01 14:51:00,20.0
2014-06-01 15:51:00,19.0
2014-06-01 16:51:00,19.0
2014-06-01 17:51:00,20.0
2014-06-01 18:51:00,22.0
2014-06-28 13:51:00,23.0
2014-06-28 14:51:00,24.0
2014-11-03 13:51:00,22.0
2014-11-03 14:51:00,20.0
2014-11-03 15:51:00,19.0
2014-11-03 18:51:00,21.0
2014-11-03 19:51:00,21.0
2014-11-03 21:51:00,23.0
2014-11-04 00:51:00,24.0
2014-11-04 01:51:00,23.0
2014-11-04 02:51:00,23.0
2014-11-04 09:51:00,24.0
2014-11-04 11:51:00,23.0
2014-11-04 12:51:00,20.0
2014-11-04 13:51:00,21.0
2014-11-04 14:51:00,19.0
2014-11-04 15:51:00,21.0
2015-03-12 10:51:00,21.0
2015-03-12 11:51:00,20.0
2015-03-12 12:51:00,17.0
2015-03-12 13:51:00,18.0
2015-03-12 14:51:00,18.0
2015-03-12 15:51:00,16.0
2015-03-12 16:51:00,19.0
2015-03-12 17:51:00,19.0
2015-03-12 18:51:00,17.0
2015-03-12 19:51:00,19.0
2015-03-12 20:51:00,20.0
2015-03-12 21:51:00,21.0
2015-03-12 22:51:00,20.0
2015-03-12 23:51:00,21.0
2015-03-13 00:51:00,22.0
2015-03-19 13:51:00,23.0
2015-03-19 14:51:00,24.0
2015-03-19 15:51:00,21.0
2015-03-19 16:51:00,21.0
2015-03-19 17:51:00,21.0
2015-03-19 20:51:00,24.0
2015-03-19 21:51:00,24.0
2015-03-23 15:51:00,23.0
2015-03-23 16:51:00,24.0
2015-03-23 17:51:00,24.0
2015-03-29 12:51:00,22.0
2015-03-29 13:51:00,21.0
2015-03-29 14:51:00,20.0
2015-03-29 15:51:00,17.0
2015-03-29 16:51:00,18.0
2015-03-29 17:51:00,18.0
2015-03-29 18:51:00,19.0
2015-04-05 14:51:00,24.0
2015-04-12 13:51:00,19.0
2015-04-12 14:51:00,20.0
2015-04-15 09:51:00,23.0
2015-04-15 10:51:00,20.0
2015-04-15 11:51:00,18.0
2015-04-15 12:51:00,16.0
2015-04-15 13:51:00,16.0
2015-04-15 14:51:00,19.0
2015-04-15 15:51:00,15.0
2015-04-15 16:51:00,16.0
2015-04-15 17:51:00,17.0
2015-04-15 18:51:00,19.0
2015-04-15 19:51:00,18.0
2015-04-15 20:51:00,18.0
2015-04-15 21:51:00,23.0
2015-04-16 12:51:00,20.0
2015-04-16 13:51:00,19.0
2015-04-16 14:51:00,20.0
2015-04-16 15:51:00,20.0
2015-04-16 16:51:00,23.0
2015-04-18 14:51:00,24.0
2015-04-18 21:51:00,23.0
2015-04-18 22:51:00,23.0
2015-04-21 15:51:00,22.0
2015-04-21 16:51:00,23.0
2015-04-21 17:51:00,23.0
2015-04-21 18:51:00,24.0
2015-04-21 19:51:00,24.0
2015-04-25 16:51:00,23.0
2015-04-25 17:51:00,24.0
2015-04-29 15:51:00,24.0
2015-04-29 16:51:00,22.0
2015-04-29 17:51:00,22.0
2015-05-14 13:51:00,23.0
2015-05-14 14:51:00,22.0
2015-05-14 15:51:00,19.0
2015-05-14 16:51:00,15.0
2015-05-23 13:51:00,23.0
2015-05-23 14:51:00,20.0
2015-05-23 15:51:00,20.0
2015-05-23 16:51:00,17.0
2015-05-24 12:51:00,20.0
2015-05-24 13:51:00,19.0
2015-07-24 13:51:00,24.0
2016-01-06 12:51:00,21.0
2016-01-06 13:51:00,19.0
2016-01-06 14:51:00,20.0
2016-01-06 15:51:00,21.0
2016-03-05 15:51:00,23.0
2016-03-05 16:51:00,23.0
2016-03-19 15:51:00,22.0
2016-03-19 16:51:00,24.0
2016-03-19 17:51:00,22.0
2016-03-21 14:51:00,23.0
2016-03-22 13:51:00,24.0
2016-03-22 14:51:00,23.0
2016-03-23 14:51:00,23.0
2016-03-23 15:51:00,22.0
2016-03-23 16:51:00,21.0
2016-03-23 17:51:00,22.0
2016-03-23 18:51:00,22.0
2016-03-29 15:51:00,24.0
2016-03-29 16:51:00,24.0
2016-03-30 11:51:00,23.0
2016-03-30 12:51:00,23.0
2016-04-05 19:51:00,24.0
2016-04-05 20:51:00,22.0
2016-04-05 21:51:00,24.0
2016-04-14 15:51:00,22.0
2016-04-15 13:51:00,23.0
2016-04-15 14:51:00,23.0
2016-04-15 15:51:00,21.0
2016-04-15 16:51:00,24.0
2016-04-16 10:51:00,24.0
2016-04-16 12:51:00,23.0
2016-04-16 13:51:00,20.0
2016-04-16 14:51:00,19.0
2016-04-16 15:51:00,19.0
2016-04-16 16:51:00,17.0
2016-04-16 17:51:00,16.0
2016-04-16 18:51:00,22.0
2016-04-17 12:51:00,23.0
2016-04-17 13:51:00,20.0
2016-04-17 14:51:00,18.0
2016-04-17 15:51:00,17.0
2016-04-17 16:51:00,22.0
2016-04-17 17:51:00,24.0
2016-04-18 10:51:00,22.0
2016-04-18 11:51:00,20.0
2016-04-18 12:51:00,20.0
2016-04-18 13:51:00,19.0
2016-04-18 14:51:00,17.0
2016-04-18 15:51:00,16.0
2016-04-18 16:51:00,18.0
2016-04-18 17:51:00,18.0
2016-04-18 18:51:00,20.0
2016-04-18 23:51:00,24.0
2016-04-19 17:51:00,19.0
2016-04-19 18:51:00,18.0
2016-04-19 19:51:00,23.0
2016-04-19 20:51:00,21.0
2016-04-19 21:51:00,21.0
2016-04-20 11:51:00,21.0
2016-04-20 12:51:00,18.0
2016-04-20 13:51:00,16.0
2016-04-20 14:51:00,16.0
2016-04-20 15:51:00,14.0
2016-04-20 16:51:00,12.0
2016-04-20 17:51:00,12.0
2016-04-21 12:51:00,23.0
2016-04-24 10:51:00,23.0
2016-04-24 11:51:00,24.0
2016-04-24 12:51:00,20.0
2016-04-24 13:51:00,21.0
2016-04-24 14:51:00,19.0
2016-04-24 15:51:00,17.0
2016-04-24 16:51:00,18.0
2016-04-24 17:22:00,24.0
2016-04-29 12:51:00,23.0
2016-05-09 12:51:00,23.0
2016-05-09 13:51:00,23.0
2016-05-09 14:51:00,22.0
2016-05-09 15:51:00,22.0
2016-05-09 16:51:00,22.0
2016-05-09 17:51:00,23.0
2016-05-09 18:51:00,23.0
2016-05-09 19:51:00,24.0
2016-05-11 12:51:00,24.0
2016-05-11 15:51:00,24.0
2016-05-14 17:51:00,22.0
2016-05-16 14:51:00,23.0
2016-05-25 14:51:00,22.0
2016-05-25 15:51:00,21.0
2016-05-25 16:51:00,24.0
2016-05-25 17:51:00,24.0
2016-05-25 18:51:00,23.0
2016-06-10 14:51:00,23.0
2016-06-10 15:51:00,24.0
2016-06-10 16:51:00,24.0
2016-06-12 10:51:00,16.0
2016-06-15 12:51:00,21.0
2016-06-15 13:51:00,20.0
2016-06-15 14:39:00,22.0
2016-06-15 14:47:00,23.0
2016-06-15 14:51:00,22.0
2016-11-08 15:51:00,24.0
2016-11-13 13:51:00,18.0
2016-11-13 14:51:00,20.0
2016-11-13 15:51:00,21.0
2016-11-13 16:51:00,22.0
2016-11-13 17:51:00,22.0
2016-11-13 18:51:00,23.0
2016-11-13 19:51:00,24.0
2016-11-13 20:51:00,24.0
2016-11-14 00:51:00,24.0
2016-11-14 10:51:00,23.0
2016-11-14 11:51:00,24.0
