valid_time_gmt,gust
2013-09-21 14:51:00,38.0
2013-11-01 10:17:00,44.0
2013-11-23 19:56:00,39.0
2013-11-23 20:01:00,47.0
2013-11-23 20:06:00,47.0
2013-11-24 08:51:00,39.0
2013-11-24 09:51:00,41.0
2013-11-24 10:51:00,51.0
2013-11-24 11:51:00,46.0
2013-11-24 12:51:00,38.0
2013-11-24 13:51:00,39.0
2013-11-24 14:51:00,38.0
2013-11-27 03:51:00,40.0
2013-11-27 04:51:00,38.0
2013-11-27 17:51:00,38.0
2013-11-27 21:51:00,43.0
2013-11-28 03:51:00,41.0
2013-11-28 04:51:00,41.0
2013-12-15 03:34:00,41.0
2014-01-06 23:51:00,39.0
2014-01-07 00:51:00,38.0
2014-01-07 02:51:00,39.0
2014-01-07 04:51:00,41.0
2014-01-07 05:51:00,38.0
2014-01-07 07:51:00,40.0
2014-01-07 09:51:00,38.0
2014-01-11 10:36:00,38.0
2014-01-11 12:21:00,38.0
2014-02-13 08:51:00,43.0
2014-02-13 09:02:00,38.0
2014-02-13 09:16:00,41.0
2014-02-13 09:51:00,41.0
2014-02-13 10:19:00,40.0
2014-02-13 10:51:00,38.0
2014-02-13 11:01:00,39.0
2014-02-13 11:22:00,39.0
2014-02-13 12:07:00,40.0
2014-02-13 12:16:00,39.0
2014-02-13 12:51:00,43.0
2014-02-13 13:22:00,41.0
2014-02-14 14:51:00,39.0
2014-02-27 18:51:00,41.0
2014-03-12 22:35:00,38.0
2014-03-13 02:27:00,41.0
2014-03-13 02:51:00,39.0
2014-03-13 03:51:00,39.0
2014-03-13 04:51:00,41.0
2014-03-13 05:51:00,44.0
2014-03-13 06:51:00,43.0
2014-03-13 07:51:00,38.0
2014-03-13 09:51:00,44.0
2014-03-13 10:51:00,43.0
2014-03-13 11:51:00,39.0
2014-03-13 12:51:00,39.0
2014-03-13 13:51:00,40.0
2014-03-13 14:51:00,38.0
2014-03-13 15:51:00,39.0
2014-03-13 16:51:00,39.0
2014-03-13 17:51:00,39.0
2014-03-13 19:51:00,39.0
2014-03-22 14:51:00,38.0
2014-03-26 10:51:00,39.0
2014-03-26 12:51:00,39.0
2014-03-26 13:51:00,38.0
2014-03-26 14:51:00,43.0
2014-03-26 15:51:00,38.0
2014-03-26 16:51:00,41.0
2014-03-26 17:51:00,43.0
2014-03-26 18:51:00,38.0
2014-03-26 20:51:00,38.0
2014-03-26 22:51:00,38.0
2014-04-05 11:51:00,38.0
2014-04-15 12:51:00,43.0
2014-04-15 13:51:00,39.0
2014-04-23 16:51:00,39.0
2014-04-23 17:51:00,39.0
2014-04-23 19:51:00,41.0
2014-04-23 20:51:00,39.0
2014-05-16 13:51:00,40.0
2014-05-16 16:01:00,40.0
2014-05-16 18:20:00,44.0
2014-07-03 20:13:00,44.0
2014-07-03 20:20:00,44.0
2014-07-08 22:24:00,48.0
2014-08-31 16:48:00,39.0
2014-08-31 16:51:00,39.0
2014-08-31 16:54:00,39.0
2014-11-02 03:51:00,44.0
2014-11-02 04:09:00,41.0
2014-11-02 05:51:00,45.0
2014-11-02 06:51:00,39.0
2014-11-02 08:51:00,38.0
2014-11-02 10:51:00,38.0
2014-11-02 11:51:00,38.0
2014-11-02 13:51:00,38.0
2014-11-02 22:51:00,41.0
2014-11-07 18:51:00,38.0
2014-11-18 07:51:00,38.0
2014-11-24 04:42:00,46.0
2014-11-24 04:51:00,43.0
2014-11-24 05:51:00,44.0
2014-11-24 06:51:00,39.0
2014-12-09 12:30:00,39.0
2014-12-09 13:37:00,38.0
2014-12-09 13:51:00,38.0
2014-12-13 20:51:00,38.0
2014-12-31 05:51:00,74.0
2015-01-04 23:51:00,40.0
2015-01-05 10:51:00,40.0
2015-01-05 11:51:00,38.0
2015-01-07 16:51:00,38.0
2015-01-07 17:51:00,40.0
2015-01-07 18:51:00,39.0
2015-01-07 19:51:00,38.0
2015-01-07 20:51:00,38.0
2015-01-07 21:51:00,38.0
2015-01-16 18:51:00,46.0
2015-01-16 19:51:00,39.0
2015-01-30 18:51:00,40.0
2015-01-30 22:51:00,43.0
2015-01-31 01:51:00,46.0
2015-01-31 06:51:00,45.0
2015-02-12 19:51:00,39.0
2015-02-12 22:51:00,41.0
2015-02-13 03:51:00,39.0
2015-02-15 01:51:00,38.0
2015-02-15 03:51:00,38.0
2015-02-15 04:51:00,43.0
2015-02-15 05:51:00,43.0
2015-02-15 06:51:00,39.0
2015-02-15 07:51:00,38.0
2015-02-15 08:51:00,39.0
2015-02-15 09:51:00,40.0
2015-02-15 10:51:00,39.0
2015-02-15 11:51:00,43.0
2015-02-15 13:51:00,41.0
2015-02-15 14:51:00,39.0
2015-02-15 15:51:00,38.0
2015-02-15 16:51:00,40.0
2015-02-15 17:51:00,41.0
