valid_time_gmt,precip_total
2014-03-30 07:51:00,1.97
2014-05-01 07:51:00,4.88
2014-05-17 07:51:00,1.58
2014-06-14 07:51:00,1.43
2014-12-10 06:51:00,2.26
2015-01-19 06:51:00,1.98
2015-06-01 07:51:00,1.69
2015-06-28 07:51:00,1.32
2015-07-31 07:51:00,1.62
2015-10-03 07:51:00,1.45
2015-12-24 06:51:00,1.46
2016-02-25 06:51:00,1.48
2016-05-30 07:51:00,1.53
2016-10-22 07:51:00,2.05
2016-10-28 07:51:00,1.32
2016-11-16 06:51:00,1.44
2016-11-30 06:51:00,2.23
2017-04-01 07:51:00,1.78
2017-04-04 07:51:00,1.6
2017-05-06 07:51:00,2.31
2017-05-14 07:51:00,1.61
