valid_time_gmt,vis
2013-07-01 10:17:00,1.0
2013-07-01 10:20:00,0.25
2013-07-01 11:13:00,2.0
2013-07-03 14:44:00,2.0
2013-07-03 14:51:00,1.0
2013-07-03 15:02:00,2.0
2013-07-03 15:08:00,1.0
2013-07-03 15:18:00,2.0
2013-07-03 19:10:00,1.0
2013-07-03 19:25:00,1.0
2013-07-03 19:27:00,0.75
2013-07-03 19:31:00,0.5
2013-07-03 19:37:00,1.0
2013-07-03 19:39:00,2.0
2013-07-03 19:43:00,3.0
2013-07-03 19:51:00,2.0
2013-07-03 19:53:00,2.0
2013-07-12 20:26:00,2.0
2013-07-12 20:40:00,3.0
2013-07-12 20:42:00,3.0
2013-07-13 02:24:00,2.0
2013-07-13 02:35:00,2.0
2013-07-13 02:51:00,2.0
2013-07-13 03:51:00,2.0
2013-07-13 04:51:00,2.0
2013-07-13 05:51:00,2.0
2013-07-13 06:02:00,2.0
2013-07-13 06:05:00,1.0
2013-07-13 06:48:00,0.75
2013-07-13 06:51:00,0.75
2013-07-13 07:48:00,3.0
2013-07-13 07:51:00,3.0
2013-07-13 08:10:00,3.0
2013-07-13 08:49:00,2.0
2013-07-13 08:51:00,2.0
2013-07-13 09:51:00,2.0
2013-07-13 10:51:00,2.0
2013-07-22 12:31:00,2.0
2013-07-22 12:49:00,2.0
2013-07-22 12:51:00,2.0
2013-07-23 00:33:00,2.0
2013-08-01 12:44:00,2.0
2013-08-01 12:51:00,3.0
2013-08-01 19:51:00,3.0
2013-08-01 19:56:00,2.0
2013-08-01 19:58:00,1.0
2013-08-01 20:00:00,1.0
2013-08-01 20:09:00,2.0
2013-08-01 20:11:00,3.0
2013-08-12 07:20:00,2.0
2013-08-13 09:36:00,2.0
2013-08-13 09:46:00,2.0
2013-08-13 09:51:00,3.0
2013-08-13 10:41:00,2.0
2013-08-13 10:51:00,3.0
2013-08-22 10:05:00,3.0
2013-08-22 10:36:00,2.0
2013-08-22 14:51:00,2.0
2013-08-22 15:01:00,3.0
2013-09-02 12:48:00,0.5
2013-09-02 12:51:00,0.5
2013-09-02 13:06:00,2.0
2013-09-03 06:35:00,2.0
2013-09-03 06:51:00,2.0
2013-09-03 07:21:00,2.0
2013-09-03 07:51:00,3.0
2013-09-03 08:27:00,3.0
2013-09-03 08:51:00,3.0
2013-09-03 08:58:00,3.0
2013-09-03 09:34:00,2.0
2013-09-03 09:48:00,3.0
2013-09-03 09:51:00,3.0
2013-09-12 13:28:00,1.0
2013-09-12 19:30:00,1.0
2013-09-12 19:33:00,1.0
2013-09-12 19:47:00,1.0
2013-09-12 19:51:00,1.0
2013-09-12 19:58:00,1.0
2013-09-12 20:08:00,2.0
2013-09-22 00:10:00,2.0
2013-09-22 00:27:00,2.0
2013-09-22 01:27:00,2.0
2013-10-06 06:17:00,2.0
2013-10-06 06:44:00,2.0
2013-10-06 06:51:00,2.0
2013-10-06 07:41:00,1.0
2013-10-06 07:51:00,1.0
2013-10-06 08:06:00,2.0
2013-10-06 08:27:00,1.0
2013-10-06 08:51:00,1.0
2013-10-06 09:51:00,1.0
2013-10-06 10:24:00,2.0
2013-10-06 10:51:00,2.0
2013-10-06 11:51:00,2.0
2013-10-06 12:43:00,2.0
2013-10-06 12:51:00,2.0
2013-10-06 13:51:00,2.0
2013-10-06 14:51:00,2.0
2013-10-06 15:51:00,2.0
2013-10-06 19:36:00,2.0
2013-10-07 11:42:00,1.0
2013-10-07 11:51:00,1.0
2013-10-07 16:39:00,2.0
2013-10-07 16:41:00,1.0
2013-10-07 16:44:00,0.75
2013-10-07 16:49:00,1.0
2013-10-07 16:51:00,1.0
2013-10-07 16:54:00,2.0
2013-10-07 16:56:00,2.0
2013-10-17 07:51:00,3.0
2013-10-17 19:31:00,2.0
2013-10-17 19:51:00,2.0
2013-10-17 20:15:00,2.0
2013-11-07 14:08:00,3.0
2013-11-12 06:51:00,2.0
2013-11-12 07:38:00,3.0
2013-11-12 07:51:00,3.0
2013-11-12 08:22:00,1.0
2013-11-12 08:51:00,1.0
2013-11-12 08:55:00,1.0
2013-11-17 12:11:00,3.0
2013-11-17 12:51:00,3.0
2013-11-17 13:01:00,2.0
2013-11-17 13:23:00,2.0
2013-11-17 13:51:00,2.0
2013-11-17 14:37:00,1.0
2013-11-17 14:51:00,1.0
2013-11-17 15:21:00,2.0
2013-11-17 15:51:00,2.0
2013-11-17 16:14:00,0.5
2013-11-17 16:51:00,0.5
2013-11-17 17:51:00,0.5
2013-11-17 18:51:00,0.5
2013-11-17 19:51:00,0.5
2013-11-17 22:18:00,0.5
2013-11-17 22:51:00,0.5
2013-11-17 23:51:00,0.5
2013-11-18 00:51:00,0.5
2013-11-18 01:39:00,0.5
2013-11-18 01:44:00,0.12
2013-11-18 01:51:00,0.12
2013-11-18 02:51:00,0.12
2013-11-18 03:04:00,0.12
2013-11-18 03:25:00,0.12
2013-11-18 03:51:00,0.12
2013-11-18 04:51:00,0.12
2013-11-23 19:56:00,1.0
2013-11-23 20:01:00,0.5
2013-11-23 20:06:00,0.5
2013-11-23 20:15:00,0.5
2013-11-26 20:47:00,2.0
2013-11-26 20:51:00,2.0
2013-11-26 21:34:00,2.0
2013-11-26 21:51:00,2.0
2013-11-26 22:51:00,2.0
2013-11-26 23:49:00,1.0
2013-11-26 23:51:00,1.0
2013-11-27 00:48:00,3.0
2013-11-27 00:51:00,2.0
2013-11-27 01:15:00,3.0
2013-11-27 01:40:00,1.0
2013-11-27 01:51:00,1.0
2013-11-27 02:33:00,3.0
2013-11-27 02:51:00,3.0
2013-11-27 03:51:00,3.0
2013-11-27 04:51:00,3.0
2013-11-27 05:45:00,1.0
2013-11-27 05:51:00,2.0
2013-11-27 06:23:00,2.0
2013-11-27 06:51:00,2.0
2013-11-27 08:10:00,2.0
2013-12-05 03:04:00,2.0
2013-12-05 03:41:00,2.0
2013-12-05 03:51:00,2.0
2013-12-05 04:51:00,1.0
2013-12-05 05:11:00,2.0
2013-12-05 05:51:00,2.0
2013-12-05 06:19:00,1.0
2013-12-05 06:51:00,0.75
2013-12-05 07:51:00,0.25
2013-12-05 08:39:00,0.12
2013-12-05 08:51:00,0.0
2013-12-05 09:08:00,0.0
2013-12-05 09:44:00,0.0
2013-12-05 09:51:00,0.0
2013-12-05 10:07:00,0.0
2013-12-05 10:51:00,0.0
2013-12-05 11:00:00,0.0
2013-12-05 11:25:00,0.0
2013-12-05 11:48:00,2.0
2013-12-05 11:51:00,2.0
2013-12-05 20:59:00,2.0
2013-12-05 21:11:00,1.0
2013-12-05 21:51:00,1.0
2013-12-05 22:03:00,1.0
2013-12-05 22:51:00,1.0
2013-12-05 23:51:00,1.0
2013-12-06 00:51:00,1.0
2013-12-06 01:51:00,1.0
2013-12-06 02:40:00,0.0
2013-12-06 02:51:00,0.0
2013-12-06 03:03:00,0.0
2013-12-06 03:51:00,0.0
2013-12-06 04:51:00,0.0
2013-12-06 05:45:00,1.0
2013-12-06 05:51:00,1.0
2013-12-06 05:58:00,1.0
2013-12-06 06:51:00,3.0
2013-12-06 12:43:00,2.0
2013-12-06 12:51:00,2.0
2013-12-06 19:32:00,2.0
2013-12-06 19:40:00,2.0
2013-12-06 19:51:00,2.0
2013-12-06 20:09:00,2.0
2013-12-06 20:51:00,2.0
2013-12-06 21:19:00,2.0
2013-12-06 21:28:00,2.0
2013-12-07 02:46:00,3.0
2013-12-07 02:49:00,2.0
2013-12-07 02:51:00,3.0
2013-12-07 03:02:00,3.0
2013-12-08 16:48:00,1.0
2013-12-08 16:51:00,1.0
2013-12-08 17:06:00,1.0
2013-12-08 17:23:00,1.0
2013-12-08 17:36:00,1.0
2013-12-08 17:51:00,1.0
2013-12-08 17:59:00,1.0
2013-12-08 18:06:00,1.0
2013-12-08 18:13:00,1.0
2013-12-08 18:25:00,1.0
2013-12-08 18:51:00,1.0
2013-12-08 22:56:00,2.0
2013-12-08 23:01:00,2.0
2013-12-08 23:16:00,2.0
2013-12-08 23:46:00,2.0
2013-12-08 23:51:00,2.0
2013-12-09 00:33:00,2.0
2013-12-09 00:51:00,2.0
2013-12-09 01:03:00,2.0
2013-12-09 01:51:00,2.0
2013-12-09 02:51:00,2.0
2013-12-09 03:08:00,2.0
2013-12-09 03:19:00,2.0
2013-12-09 03:31:00,3.0
2013-12-09 03:51:00,3.0
2013-12-09 04:51:00,3.0
2013-12-09 05:51:00,3.0
2013-12-09 06:51:00,3.0
2013-12-09 07:02:00,3.0
2013-12-09 07:25:00,1.0
2013-12-09 07:51:00,1.0
2013-12-09 08:46:00,2.0
2013-12-09 08:51:00,2.0
2013-12-09 09:51:00,2.0
2013-12-09 10:14:00,2.0
2013-12-09 10:51:00,2.0
2013-12-09 11:51:00,2.0
2013-12-09 12:47:00,3.0
2013-12-09 12:51:00,3.0
2013-12-09 13:51:00,2.0
2013-12-09 14:51:00,2.0
2013-12-09 15:51:00,3.0
2013-12-09 16:09:00,3.0
2013-12-09 16:51:00,3.0
2013-12-10 07:51:00,2.0
2013-12-10 07:54:00,1.0
2013-12-10 08:03:00,0.5
2013-12-10 08:12:00,0.5
2013-12-10 08:37:00,0.5
2013-12-10 08:51:00,0.5
2013-12-10 08:59:00,0.5
2013-12-10 09:37:00,0.5
2013-12-10 09:51:00,0.5
2013-12-10 09:54:00,0.5
2013-12-10 10:29:00,1.0
2013-12-10 10:48:00,2.0
2013-12-10 10:51:00,3.0
2013-12-10 11:46:00,3.0
2013-12-10 11:51:00,3.0
2013-12-10 11:53:00,1.0
2013-12-10 12:28:00,3.0
2013-12-10 14:24:00,3.0
2013-12-14 08:46:00,2.0
2013-12-14 08:51:00,1.0
2013-12-14 09:22:00,1.0
2013-12-14 09:33:00,1.0
2013-12-14 09:48:00,1.0
2013-12-14 09:51:00,1.0
2013-12-14 10:45:00,2.0
2013-12-14 10:51:00,2.0
2013-12-14 11:45:00,1.0
2013-12-14 11:51:00,1.0
2013-12-14 12:47:00,2.0
2013-12-14 12:51:00,2.0
2013-12-14 13:08:00,2.0
2013-12-14 13:32:00,1.0
2013-12-14 13:51:00,1.0
2013-12-14 14:51:00,1.0
2013-12-14 15:51:00,0.75
2013-12-14 16:35:00,0.75
2013-12-14 16:44:00,0.75
2013-12-14 16:51:00,0.75
2013-12-14 17:40:00,0.75
2013-12-14 17:51:00,0.75
2013-12-14 18:04:00,1.0
2013-12-14 18:18:00,1.0
2013-12-14 18:25:00,0.5
2013-12-14 18:34:00,0.5
2013-12-14 18:51:00,0.5
2013-12-14 19:02:00,0.5
2013-12-14 19:51:00,0.25
2013-12-14 20:15:00,0.25
2013-12-14 20:51:00,0.5
2013-12-14 21:00:00,0.5
2013-12-14 21:15:00,1.0
2013-12-14 21:27:00,2.0
2013-12-14 21:29:00,3.0
2013-12-14 22:51:00,3.0
2013-12-14 23:43:00,2.0
2013-12-14 23:51:00,2.0
2013-12-15 00:42:00,2.0
2013-12-15 00:51:00,2.0
2013-12-15 01:51:00,2.0
2013-12-15 02:51:00,2.0
2013-12-15 02:58:00,2.0
2013-12-15 03:34:00,2.0
2013-12-15 03:51:00,2.0
2013-12-15 04:51:00,3.0
2013-12-17 06:15:00,1.0
2013-12-17 06:51:00,2.0
2013-12-17 07:48:00,1.0
2013-12-17 07:51:00,1.0
2013-12-17 08:06:00,3.0
2013-12-17 09:33:00,3.0
2013-12-17 09:51:00,2.0
2013-12-17 11:22:00,1.0
2013-12-17 11:45:00,0.5
2013-12-17 11:46:00,0.5
2013-12-17 12:51:00,2.0
2013-12-17 13:05:00,1.0
2013-12-17 13:40:00,1.0
2013-12-17 13:51:00,1.0
2013-12-17 13:57:00,2.0
2013-12-17 14:15:00,3.0
2013-12-17 14:51:00,3.0
2013-12-17 15:51:00,3.0
2013-12-17 16:13:00,1.0
2013-12-17 16:51:00,1.0
2013-12-23 08:21:00,2.0
2013-12-23 08:26:00,3.0
2013-12-23 08:51:00,3.0
2013-12-23 09:13:00,3.0
2013-12-23 09:51:00,3.0
2013-12-23 09:59:00,3.0
2013-12-23 10:35:00,2.0
2013-12-23 10:51:00,1.0
2013-12-23 11:51:00,2.0
2013-12-23 12:51:00,1.0
2013-12-29 12:51:00,3.0
2013-12-29 13:11:00,2.0
2013-12-29 13:29:00,2.0
2013-12-29 13:42:00,2.0
2013-12-29 13:51:00,2.0
2013-12-29 14:11:00,1.0
2013-12-29 14:23:00,1.0
2013-12-29 14:41:00,1.0
2013-12-29 14:51:00,1.0
2013-12-29 15:51:00,1.0
2013-12-29 16:51:00,1.0
2013-12-29 17:01:00,2.0
2013-12-29 18:51:00,3.0
2013-12-31 15:34:00,2.0
2014-01-02 19:05:00,2.0
2014-01-02 19:16:00,1.0
2014-01-02 19:30:00,1.0
2014-01-02 19:37:00,1.0
2014-01-02 19:46:00,1.0
2014-01-02 19:47:00,1.0
2014-01-02 19:55:00,0.75
2014-01-02 20:03:00,0.75
2014-01-02 20:10:00,0.5
2014-01-02 20:35:00,0.75
2014-01-02 20:51:00,0.75
2014-01-02 21:14:00,0.5
2014-01-02 21:48:00,0.5
2014-01-02 21:51:00,0.75
2014-01-02 22:51:00,0.75
2014-01-02 23:37:00,0.5
2014-01-02 23:51:00,0.5
2014-01-03 00:46:00,0.75
2014-01-03 00:47:00,0.75
2014-01-03 00:51:00,0.75
2014-01-03 01:51:00,0.75
2014-01-03 02:09:00,0.5
2014-01-03 02:51:00,0.5
2014-01-03 03:51:00,0.5
2014-01-03 04:51:00,0.5
2014-01-03 05:51:00,0.5
2014-01-03 06:14:00,1.0
2014-01-03 06:51:00,1.0
2014-01-03 07:46:00,1.0
2014-01-03 07:51:00,1.0
2014-01-03 08:49:00,2.0
2014-01-03 08:51:00,2.0
2014-01-03 09:51:00,2.0
2014-01-05 09:12:00,2.0
2014-01-05 09:41:00,2.0
2014-01-05 09:51:00,2.0
2014-01-05 09:54:00,2.0
2014-01-05 10:21:00,1.0
2014-01-05 10:51:00,1.0
2014-01-05 11:51:00,1.0
2014-01-05 12:02:00,1.0
2014-01-05 12:45:00,1.0
2014-01-05 12:51:00,1.0
2014-01-05 13:31:00,1.0
2014-01-05 13:51:00,1.0
2014-01-05 14:19:00,1.0
2014-01-05 14:39:00,1.0
2014-01-05 14:51:00,1.0
2014-01-05 15:23:00,1.0
2014-01-05 15:51:00,2.0
2014-01-05 16:39:00,2.0
2014-01-05 16:51:00,2.0
2014-01-05 17:06:00,2.0
2014-01-05 17:51:00,2.0
2014-01-05 17:55:00,2.0
2014-01-05 18:47:00,2.0
2014-01-05 18:51:00,2.0
2014-01-05 19:15:00,1.0
2014-01-05 19:23:00,1.0
2014-01-05 19:30:00,0.25
2014-01-05 19:46:00,0.25
2014-01-05 19:51:00,0.25
2014-01-05 20:51:00,0.25
2014-01-05 21:51:00,0.25
2014-01-05 22:47:00,0.25
2014-01-05 22:51:00,0.25
2014-01-05 23:37:00,0.5
2014-01-05 23:44:00,0.5
2014-01-05 23:47:00,1.0
2014-01-05 23:48:00,1.0
2014-01-06 01:51:00,0.5
2014-01-06 02:51:00,0.5
2014-01-06 02:58:00,0.5
2014-01-06 03:18:00,0.25
2014-01-06 03:51:00,0.25
2014-01-06 04:51:00,0.25
2014-01-06 05:51:00,0.25
2014-01-06 06:51:00,0.25
2014-01-06 07:48:00,0.75
2014-01-06 07:51:00,0.75
2014-01-06 08:01:00,1.0
2014-01-06 08:47:00,2.0
2014-01-06 08:51:00,2.0
2014-01-06 09:08:00,2.0
2014-01-10 09:23:00,3.0
2014-01-10 13:51:00,2.0
2014-01-10 14:03:00,1.0
2014-01-10 14:44:00,1.0
2014-01-10 14:51:00,1.0
2014-01-10 15:51:00,1.0
2014-01-10 15:56:00,1.0
2014-01-10 16:04:00,1.0
