valid_time_gmt,wspd
2013-08-14 17:51:00,22.0
2013-09-21 14:51:00,24.0
2013-09-21 16:51:00,22.0
2013-09-21 21:47:00,23.0
2013-10-07 12:07:00,22.0
2013-10-07 13:18:00,22.0
2013-10-07 13:51:00,24.0
2013-10-07 15:51:00,26.0
2013-10-09 09:51:00,22.0
2013-10-09 10:51:00,22.0
2013-10-09 12:46:00,22.0
2013-10-10 16:51:00,22.0
2013-10-10 17:51:00,22.0
2013-10-11 01:51:00,22.0
2013-10-11 03:11:00,22.0
2013-10-11 07:51:00,22.0
2013-10-11 09:51:00,22.0
2013-10-11 16:51:00,22.0
2013-10-12 00:51:00,22.0
2013-10-12 13:51:00,24.0
2013-10-12 14:51:00,24.0
2013-10-12 17:51:00,23.0
2013-10-13 01:51:00,23.0
2013-10-13 02:51:00,22.0
2013-10-18 02:51:00,22.0
2013-10-24 16:51:00,23.0
2013-11-07 16:51:00,22.0
2013-11-07 18:51:00,24.0
2013-11-08 09:51:00,22.0
2013-11-08 10:51:00,22.0
2013-11-10 11:51:00,23.0
2013-11-10 12:51:00,24.0
2013-11-10 14:09:00,25.0
2013-11-10 14:51:00,23.0
2013-11-10 18:51:00,23.0
2013-11-10 20:51:00,22.0
2013-11-11 00:51:00,23.0
2013-11-12 06:51:00,22.0
2013-11-12 15:51:00,22.0
2013-11-12 17:51:00,22.0
2013-11-19 04:51:00,25.0
2013-11-19 07:51:00,22.0
2013-11-19 09:51:00,26.0
2013-11-19 10:51:00,23.0
2013-11-19 11:51:00,23.0
2013-11-19 12:51:00,25.0
2013-11-19 15:51:00,24.0
2013-11-23 01:51:00,22.0
2013-11-23 04:51:00,22.0
2013-11-23 17:51:00,24.0
2013-11-23 18:51:00,30.0
2013-11-23 19:56:00,29.0
2013-11-23 20:01:00,30.0
2013-11-23 20:51:00,23.0
2013-11-23 21:51:00,25.0
2013-11-23 22:51:00,29.0
2013-11-23 23:51:00,22.0
2013-11-24 00:51:00,22.0
2013-11-24 01:51:00,24.0
2013-11-24 02:51:00,25.0
2013-11-24 03:51:00,30.0
2013-11-24 04:51:00,28.0
2013-11-24 05:51:00,23.0
2013-11-24 06:51:00,23.0
2013-11-24 07:51:00,23.0
2013-11-24 08:51:00,26.0
2013-11-24 09:51:00,31.0
2013-11-24 10:51:00,30.0
2013-11-24 11:51:00,29.0
2013-11-24 12:51:00,28.0
2013-11-24 13:51:00,28.0
2013-11-24 14:51:00,28.0
2013-11-24 16:51:00,25.0
2013-11-24 17:51:00,24.0
2013-11-24 21:51:00,23.0
2013-11-27 01:51:00,22.0
2013-11-27 02:51:00,22.0
2013-11-27 03:51:00,24.0
2013-11-27 06:23:00,23.0
2013-11-27 11:51:00,24.0
2013-11-27 15:51:00,23.0
2013-11-27 17:51:00,23.0
2013-11-27 17:58:00,24.0
2013-11-27 18:51:00,23.0
2013-11-27 20:51:00,26.0
2013-11-27 21:51:00,26.0
2013-11-27 23:51:00,25.0
2013-11-28 00:51:00,28.0
2013-11-28 01:51:00,25.0
2013-11-28 03:51:00,23.0
2013-11-28 04:51:00,25.0
2013-11-28 07:51:00,23.0
2013-11-28 08:51:00,22.0
2013-11-28 09:51:00,23.0
2013-11-28 10:51:00,23.0
2013-12-09 03:08:00,22.0
2013-12-09 04:51:00,23.0
2013-12-09 05:51:00,22.0
2013-12-14 11:45:00,24.0
2013-12-14 11:51:00,24.0
2013-12-14 12:47:00,23.0
2013-12-14 13:51:00,22.0
2013-12-14 17:40:00,22.0
2013-12-14 17:51:00,22.0
2013-12-14 18:04:00,23.0
2013-12-14 18:18:00,22.0
2013-12-14 18:34:00,24.0
2013-12-14 20:51:00,25.0
2013-12-14 21:00:00,29.0
2013-12-14 21:15:00,24.0
2013-12-14 21:27:00,24.0
2013-12-14 21:41:00,24.0
2013-12-14 21:47:00,22.0
2013-12-14 21:51:00,24.0
2013-12-15 00:42:00,23.0
2013-12-15 00:51:00,24.0
2013-12-15 02:58:00,25.0
2013-12-15 03:34:00,28.0
2013-12-15 03:51:00,24.0
2013-12-16 04:51:00,22.0
2013-12-25 01:51:00,22.0
2013-12-30 12:51:00,22.0
2013-12-31 16:51:00,22.0
2014-01-02 03:51:00,23.0
2014-01-02 07:51:00,23.0
2014-01-02 09:51:00,24.0
2014-01-02 11:51:00,25.0
2014-01-02 11:57:00,25.0
2014-01-02 19:16:00,23.0
2014-01-02 19:30:00,23.0
2014-01-02 19:37:00,24.0
2014-01-02 19:46:00,22.0
2014-01-02 19:55:00,24.0
2014-01-02 20:03:00,22.0
