valid_time_gmt,precip_hrly
2013-07-01 10:27:00,0.41
2013-07-01 10:51:00,0.41
2013-07-01 11:41:00,0.21
2013-07-01 11:51:00,0.22
2013-07-03 15:18:00,0.18
2013-07-03 15:25:00,0.18
2013-07-03 15:51:00,0.18
2013-07-03 19:27:00,0.16
2013-07-03 19:31:00,0.42
2013-07-03 19:43:00,0.51
2013-07-03 19:51:00,0.54
2013-07-03 20:19:00,0.17
2013-07-03 20:51:00,0.17
2013-07-23 04:51:00,0.2
2013-08-01 20:09:00,0.18
2013-08-01 20:11:00,0.19
2013-08-01 20:51:00,0.2
2013-08-13 09:46:00,0.21
2013-08-13 10:51:00,0.17
2013-08-13 11:51:00,0.16
2013-09-02 13:06:00,0.33
2013-09-02 13:38:00,0.8
2013-09-02 13:51:00,0.82
2013-09-12 13:47:00,0.26
2013-09-12 13:51:00,0.26
2013-09-12 19:33:00,0.2
2013-09-12 19:47:00,0.63
2013-09-12 20:08:00,0.21
2013-09-12 20:16:00,0.24
2013-09-12 20:41:00,0.29
2013-09-12 20:51:00,0.3
2013-09-22 00:27:00,0.21
2013-09-22 00:47:00,0.27
2013-09-22 00:51:00,0.29
2013-09-22 01:27:00,0.2
2013-09-22 01:47:00,0.28
2013-09-22 01:51:00,0.28
2013-09-22 02:51:00,0.23
2013-10-07 16:44:00,0.17
2013-10-07 16:49:00,0.24
2013-10-07 16:51:00,0.25
2013-11-18 04:51:00,0.18
2013-11-27 00:48:00,0.18
2013-11-27 00:51:00,0.19
2013-11-27 01:40:00,0.29
2013-11-27 01:51:00,0.37
2013-11-27 02:51:00,0.16
2013-11-27 03:51:00,0.33
2013-11-27 04:51:00,0.17
2013-11-27 05:51:00,0.17
2013-12-06 19:40:00,0.2
2013-12-06 19:51:00,0.26
2013-12-15 00:42:00,0.25
2013-12-15 00:51:00,0.29
2013-12-15 01:51:00,0.25
2013-12-29 13:42:00,0.16
2013-12-29 13:51:00,0.19
2013-12-29 14:41:00,0.18
2013-12-29 14:51:00,0.21
2013-12-29 15:51:00,0.37
2013-12-29 16:51:00,0.28
2014-02-05 04:30:00,0.15
2014-02-05 04:44:00,0.21
2014-02-05 05:39:00,0.16
2014-02-05 05:46:00,0.18
2014-02-05 05:51:00,0.19
2014-02-05 07:44:00,0.24
2014-02-05 07:51:00,0.27
2014-02-13 21:27:00,0.61
2014-02-13 21:44:00,0.86
2014-02-13 21:51:00,0.95
2014-03-19 22:51:00,0.25
2014-03-19 23:45:00,0.38
2014-03-19 23:51:00,0.41
2014-03-29 22:51:00,0.21
2014-03-29 23:47:00,0.2
2014-03-29 23:51:00,0.22
2014-03-30 00:32:00,0.22
2014-03-30 00:51:00,0.44
2014-03-30 01:35:00,0.21
2014-03-30 01:45:00,0.21
2014-03-30 01:46:00,0.21
2014-03-30 18:41:00,0.17
2014-03-30 18:51:00,0.18
2014-04-07 20:51:00,0.16
2014-04-15 10:51:00,0.15
2014-04-16 00:47:00,0.16
2014-04-16 00:51:00,0.17
2014-04-26 03:51:00,0.27
2014-04-26 04:49:00,0.16
2014-04-26 04:51:00,0.17
2014-04-30 11:51:00,0.17
2014-04-30 12:51:00,0.18
2014-04-30 13:51:00,0.27
2014-04-30 14:51:00,0.22
2014-04-30 16:51:00,0.22
2014-04-30 17:24:00,0.18
2014-04-30 17:28:00,0.21
2014-04-30 17:38:00,0.28
2014-04-30 17:51:00,0.36
2014-04-30 18:21:00,0.18
2014-04-30 18:28:00,0.22
2014-04-30 18:51:00,0.41
2014-04-30 19:19:00,0.19
2014-04-30 19:43:00,0.4
2014-04-30 19:51:00,0.46
2014-04-30 20:51:00,0.35
2014-04-30 21:51:00,0.42
2014-04-30 22:10:00,0.16
2014-04-30 22:20:00,0.31
2014-04-30 22:37:00,0.57
2014-04-30 22:51:00,0.65
2014-04-30 23:22:00,0.19
2014-04-30 23:40:00,0.33
2014-04-30 23:51:00,0.5
2014-05-01 00:24:00,0.2
2014-05-01 00:51:00,0.3
2014-05-10 17:22:00,0.16
2014-05-10 17:40:00,0.88
2014-05-10 17:51:00,0.88
2014-05-16 21:11:00,0.16
2014-05-16 21:18:00,0.18
2014-05-16 21:51:00,0.22
2014-05-16 22:26:00,0.54
2014-05-16 22:51:00,1.11
2014-05-22 03:51:00,0.15
2014-05-23 21:48:00,0.15
2014-05-23 21:51:00,0.16
2014-05-23 22:32:00,0.31
2014-05-23 22:51:00,0.41
2014-05-24 00:51:00,0.37
2014-06-05 06:51:00,0.19
2014-06-05 09:51:00,0.24
2014-06-09 06:51:00,0.18
2014-06-09 08:45:00,0.29
2014-06-09 08:51:00,0.3
2014-06-09 09:51:00,0.31
2014-06-09 10:48:00,0.17
2014-06-09 10:51:00,0.17
2014-06-13 09:51:00,0.48
2014-06-13 18:48:00,0.57
2014-06-13 18:51:00,0.59
2014-06-13 19:51:00,0.16
2014-07-02 18:51:00,0.17
2014-07-02 20:07:00,0.26
2014-07-02 20:51:00,0.29
2014-07-03 20:51:00,0.42
2014-07-03 21:12:00,0.25
2014-07-03 21:51:00,0.27
2014-07-08 01:51:00,0.16
2014-07-14 00:51:00,0.16
2014-07-14 01:51:00,0.24
2014-07-15 00:51:00,0.21
2014-07-15 14:51:00,0.33
2014-07-15 15:29:00,0.22
2014-07-15 15:51:00,0.22
2014-07-15 19:47:00,0.16
2014-07-15 19:51:00,0.17
2014-08-22 00:43:00,1.08
2014-08-22 00:47:00,1.08
2014-08-22 00:48:00,1.08
2014-08-31 16:51:00,0.21
2014-08-31 16:54:00,0.15
2014-08-31 17:04:00,0.35
2014-08-31 17:11:00,0.42
2014-08-31 17:26:00,0.58
2014-08-31 17:51:00,0.58
2014-10-04 10:48:00,0.52
2014-10-04 10:51:00,0.53
2014-10-04 11:45:00,0.17
2014-10-04 11:51:00,0.19
2014-10-16 04:08:00,0.15
2014-10-16 04:27:00,0.31
2014-10-16 04:47:00,0.51
2014-10-16 04:51:00,0.53
2014-11-17 05:51:00,0.15
2014-11-17 13:51:00,0.16
2014-11-17 14:33:00,0.25
2014-11-17 14:36:00,0.32
2014-11-17 14:46:00,0.48
2014-11-17 14:49:00,0.5
2014-11-17 14:51:00,0.5
2014-11-24 03:51:00,0.21
2014-11-24 04:42:00,0.17
2014-11-24 04:51:00,0.19
2014-12-06 15:51:00,0.16
2014-12-09 06:51:00,0.27
2014-12-09 07:51:00,0.28
2014-12-09 08:51:00,0.25
2014-12-09 09:51:00,0.23
2014-12-09 10:31:00,0.2
2014-12-09 10:44:00,0.24
2014-12-09 10:51:00,0.27
2014-12-09 11:51:00,0.24
2014-12-09 12:30:00,0.17
2014-12-09 12:51:00,0.24
2014-12-09 13:37:00,0.26
2014-12-09 13:51:00,0.39
2014-12-09 14:51:00,0.27
2015-01-04 00:51:00,0.15
2015-01-18 10:51:00,0.16
2015-01-18 11:51:00,0.22
2015-01-18 12:27:00,0.15
2015-01-18 12:51:00,0.25
2015-01-18 13:43:00,0.18
2015-01-18 13:51:00,0.21
2015-01-18 14:51:00,0.19
2015-01-18 15:24:00,0.28
2015-01-18 15:31:00,0.34
2015-01-18 15:51:00,0.41
2015-01-18 16:51:00,0.17
2015-01-24 02:36:00,0.16
2015-01-24 02:51:00,0.19
2015-02-02 04:42:00,0.19
2015-02-02 04:51:00,0.21
2015-02-02 06:51:00,0.15
2015-03-14 08:51:00,0.15
2015-03-14 09:51:00,0.19
2015-04-20 09:49:00,0.2
2015-04-20 09:51:00,0.21
2015-04-20 10:23:00,0.21
2015-04-20 10:51:00,0.32
2015-04-20 11:42:00,0.21
2015-04-20 11:51:00,0.22
2015-05-31 17:34:00,0.23
2015-05-31 17:51:00,0.35
2015-05-31 18:03:00,0.33
2015-05-31 18:05:00,0.34
2015-05-31 18:08:00,0.35
2015-05-31 18:15:00,0.46
2015-05-31 18:25:00,0.58
2015-05-31 18:51:00,0.64
2015-06-01 03:51:00,0.15
2015-06-01 04:32:00,0.2
2015-06-01 04:47:00,0.22
2015-06-01 04:51:00,0.22
2015-06-01 11:51:00,0.17
2015-06-06 05:10:00,0.17
2015-06-06 05:21:00,0.27
2015-06-06 05:51:00,0.47
2015-06-15 04:48:00,0.3
2015-06-15 04:51:00,0.32
2015-06-16 17:46:00,0.32
2015-06-16 17:51:00,0.32
2015-06-21 22:51:00,0.29
2015-06-27 19:51:00,0.16
2015-06-27 20:51:00,0.15
2015-06-27 21:51:00,0.17
2015-07-01 04:46:00,0.34
2015-07-01 04:51:00,0.34
2015-07-09 21:51:00,0.19
2015-07-14 13:05:00,0.37
2015-07-14 13:07:00,0.41
2015-07-14 13:15:00,0.79
2015-07-14 13:26:00,0.91
2015-07-14 13:38:00,0.91
2015-07-14 13:51:00,0.91
2015-07-18 09:51:00,0.17
2015-07-30 14:46:00,0.4
2015-07-30 14:51:00,0.71
2015-07-30 15:44:00,0.31
2015-07-30 15:51:00,0.57
2015-07-30 16:51:00,0.19
2015-08-04 04:31:00,0.19
2015-08-04 04:51:00,0.24
2015-08-11 06:51:00,0.18
2015-08-11 07:09:00,0.16
2015-08-11 07:28:00,0.39
2015-08-11 07:51:00,0.44
2015-08-11 08:27:00,0.15
2015-08-11 08:51:00,0.15
2015-08-11 10:51:00,0.32
2015-09-10 04:17:00,0.18
2015-09-10 04:34:00,0.22
2015-09-10 04:51:00,0.23
2015-09-10 23:43:00,0.21
2015-09-10 23:51:00,0.21
2015-09-30 02:27:00,0.17
2015-09-30 02:41:00,0.5
2015-09-30 02:51:00,0.56
2015-09-30 03:51:00,0.27
2015-10-02 17:51:00,0.17
2015-10-09 17:46:00,0.18
2015-10-09 17:51:00,0.32
2015-10-09 18:51:00,0.15
2015-10-28 16:47:00,0.16
2015-10-28 16:51:00,0.19
2015-10-28 17:51:00,0.4
2015-10-29 00:45:00,0.23
2015-10-29 00:51:00,0.25
2015-11-19 17:51:00,0.17
2015-11-19 18:42:00,0.15
2015-11-19 18:51:00,0.19
2015-11-19 19:51:00,0.25
2015-11-19 21:27:00,0.15
2015-11-19 21:51:00,0.24
2015-12-17 15:51:00,0.22
2015-12-17 16:24:00,0.15
2015-12-17 16:34:00,0.21
2015-12-17 16:51:00,0.27
2015-12-23 16:38:00,0.4
2015-12-23 16:45:00,0.44
2015-12-23 16:51:00,0.47
2015-12-23 17:03:00,0.15
2015-12-23 17:15:00,0.32
2015-12-23 17:22:00,0.36
2015-12-23 17:27:00,0.39
2015-12-23 17:35:00,0.41
2015-12-23 17:51:00,0.45
2015-12-23 20:51:00,0.17
2016-01-10 04:51:00,0.17
2016-01-10 05:41:00,0.2
2016-01-10 05:51:00,0.24
2016-01-10 06:45:00,0.18
2016-01-10 06:51:00,0.2
2016-01-10 07:34:00,0.22
2016-01-10 07:51:00,0.3
2016-01-10 08:09:00,0.15
2016-01-10 08:20:00,0.23
2016-01-10 08:28:00,0.23
2016-01-10 08:37:00,0.27
2016-01-10 08:51:00,0.27
2016-01-10 16:07:00,0.16
2016-01-10 16:42:00,0.16
2016-01-10 16:51:00,0.16
2016-02-03 15:51:00,0.16
2016-02-03 16:46:00,0.19
2016-02-03 16:51:00,0.2
2016-02-16 14:28:00,0.16
2016-02-16 14:35:00,0.19
2016-02-16 14:46:00,0.29
2016-02-16 14:48:00,0.29
2016-02-16 14:51:00,0.41
2016-02-16 14:54:00,0.15
2016-02-16 14:57:00,0.15
2016-02-16 14:59:00,0.16
2016-02-16 15:16:00,0.17
2016-02-16 15:27:00,0.19
2016-02-16 15:30:00,0.19
2016-02-16 15:47:00,0.2
2016-02-16 15:51:00,0.2
2016-02-24 11:48:00,0.23
2016-02-24 11:51:00,0.23
2016-02-24 12:51:00,0.21
2016-02-24 13:51:00,0.28
2016-02-24 23:29:00,0.16
2016-02-24 23:49:00,0.4
2016-02-24 23:50:00,0.4
2016-03-28 10:51:00,0.16
2016-05-03 05:51:00,0.16
2016-05-03 06:51:00,0.15
2016-05-30 01:40:00,0.22
2016-05-30 01:51:00,0.47
2016-05-30 02:23:00,0.28
2016-05-30 02:51:00,0.3
2016-05-30 03:51:00,0.19
2016-05-30 04:51:00,0.23
2016-05-30 05:47:00,0.21
2016-05-30 05:51:00,0.21
2016-06-05 11:51:00,0.16
2016-06-05 18:51:00,0.25
2016-06-05 19:20:00,0.19
2016-06-05 19:51:00,0.21
2016-06-08 13:51:00,0.26
2016-06-28 01:29:00,0.21
2016-06-28 01:33:00,0.23
2016-06-28 01:48:00,0.26
2016-06-28 01:51:00,0.26
2016-07-01 22:29:00,0.19
2016-07-01 22:49:00,0.19
2016-07-01 22:51:00,0.19
2016-07-05 00:41:00,0.18
2016-07-05 00:47:00,0.22
2016-07-05 00:51:00,0.27
2016-07-05 01:51:00,0.16
2016-07-05 03:19:00,0.22
2016-07-05 03:51:00,0.43
2016-07-14 16:29:00,0.44
2016-07-14 16:38:00,0.5
2016-07-14 16:51:00,0.5
2016-07-25 16:37:00,0.37
2016-07-25 16:39:00,0.37
2016-07-25 16:46:00,0.37
2016-07-25 16:51:00,0.37
2016-07-25 17:51:00,0.18
2016-07-25 18:25:00,0.17
2016-07-25 18:32:00,0.2
2016-07-25 18:51:00,0.21
