valid_time_gmt,pressure
2013-11-29 21:51:00,30.7
2013-11-29 22:51:00,30.7
2013-11-29 23:51:00,30.71
2013-11-30 00:51:00,30.71
2013-11-30 01:51:00,30.72
2013-11-30 02:51:00,30.72
2013-11-30 03:51:00,30.72
2013-11-30 04:51:00,30.72
2013-11-30 05:51:00,30.73
2013-11-30 06:51:00,30.74
2013-11-30 07:51:00,30.74
2013-11-30 08:51:00,30.75
2013-11-30 09:51:00,30.73
2013-11-30 10:51:00,30.71
2014-01-11 20:51:00,29.29
2014-02-13 17:51:00,29.27
2014-02-13 18:51:00,29.21
2014-02-13 19:51:00,29.14
2014-02-13 20:47:00,29.07
2014-02-13 20:51:00,29.05
2014-02-13 21:27:00,29.09
2014-02-13 21:44:00,29.12
2014-02-13 21:51:00,29.12
2014-02-13 21:59:00,29.1
2014-02-13 22:32:00,29.03
2014-02-13 22:51:00,28.97
2014-02-13 23:03:00,29.05
2014-02-13 23:26:00,29.01
2014-02-13 23:51:00,28.99
2014-02-14 00:03:00,28.99
2014-02-14 00:43:00,29.0
2014-02-14 00:48:00,29.0
2014-02-14 00:51:00,29.0
2014-02-14 01:07:00,29.01
2014-02-14 01:24:00,29.01
2014-02-14 01:43:00,29.02
2014-02-14 01:49:00,29.02
2014-02-14 01:51:00,29.02
2014-02-14 02:03:00,29.03
2014-02-14 02:51:00,29.03
2014-02-14 03:51:00,29.05
2014-02-14 04:25:00,29.08
2014-02-14 04:51:00,29.09
2014-02-14 05:35:00,29.14
2014-02-14 05:51:00,29.15
2014-02-14 06:51:00,29.18
2014-02-14 07:51:00,29.23
2014-02-14 08:51:00,29.28
2014-03-12 12:51:00,29.28
2014-03-12 13:51:00,29.22
2014-03-12 14:51:00,29.17
2014-03-12 15:51:00,29.12
2014-03-12 16:51:00,29.09
2014-03-12 17:25:00,29.07
2014-03-12 17:37:00,29.06
2014-03-12 17:51:00,29.05
2014-03-12 18:47:00,29.02
2014-03-12 18:51:00,29.02
2014-03-12 19:51:00,29.01
2014-03-12 20:41:00,29.01
2014-03-12 20:47:00,29.01
2014-03-12 20:51:00,29.0
2014-03-12 21:47:00,29.01
2014-03-12 21:51:00,29.0
2014-03-12 22:13:00,29.0
2014-03-12 22:25:00,29.04
2014-03-12 22:35:00,29.05
2014-03-12 22:51:00,29.06
2014-03-12 23:34:00,29.11
2014-03-12 23:44:00,29.13
2014-03-12 23:51:00,29.12
2014-03-13 00:51:00,29.17
2014-03-13 01:51:00,29.2
2014-03-13 02:27:00,29.24
2014-03-13 02:51:00,29.25
2014-03-13 03:51:00,29.27
2014-04-17 07:51:00,30.69
2014-04-17 08:51:00,30.7
2014-04-17 09:51:00,30.72
2014-04-17 10:51:00,30.72
2014-04-17 11:51:00,30.71
2014-04-17 12:51:00,30.7
2014-04-17 13:51:00,30.69
2015-01-24 13:04:00,29.29
2015-01-24 13:26:00,29.29
2015-01-24 13:48:00,29.28
2015-01-24 13:51:00,29.28
2015-01-24 14:51:00,29.26
2015-01-24 15:51:00,29.26
2015-01-24 16:51:00,29.3
2015-02-28 04:51:00,30.7
2015-02-28 05:51:00,30.73
2015-02-28 06:51:00,30.75
2015-02-28 07:51:00,30.79
2015-02-28 08:51:00,30.8
2015-02-28 09:51:00,30.8
2015-02-28 10:51:00,30.8
2015-02-28 11:51:00,30.8
2015-02-28 12:51:00,30.76
2015-02-28 13:51:00,30.75
2015-02-28 14:51:00,30.74
2015-02-28 15:51:00,30.72
2015-02-28 16:51:00,30.72
2015-02-28 17:51:00,30.72
2015-02-28 18:51:00,30.73
2015-02-28 19:51:00,30.73
2015-02-28 20:51:00,30.73
2015-02-28 21:51:00,30.73
2015-02-28 22:51:00,30.73
2015-02-28 23:51:00,30.71
2015-03-01 00:51:00,30.7
2015-03-01 01:51:00,30.7
2015-11-25 07:51:00,30.7
2015-11-25 08:51:00,30.72
2015-11-25 09:51:00,30.74
2015-11-25 10:51:00,30.75
2015-11-25 11:51:00,30.74
2015-11-25 12:51:00,30.73
2015-11-25 13:51:00,30.73
2015-11-25 14:51:00,30.73
2015-11-25 15:51:00,30.73
2015-11-25 16:51:00,30.74
2015-11-25 17:51:00,30.76
2015-11-25 18:51:00,30.78
2015-11-25 19:51:00,30.78
2015-11-25 20:51:00,30.78
2015-11-25 21:51:00,30.78
2015-11-25 22:51:00,30.78
2015-11-25 23:51:00,30.78
2015-11-26 00:51:00,30.79
2015-11-26 01:51:00,30.79
2015-11-26 02:51:00,30.78
2015-11-26 03:51:00,30.77
2015-11-26 04:51:00,30.78
2015-11-26 05:51:00,30.79
2015-11-26 06:51:00,30.8
2015-11-26 07:51:00,30.8
2015-11-26 08:51:00,30.79
2015-11-26 09:51:00,30.79
2015-11-26 10:51:00,30.78
2015-11-26 11:51:00,30.76
2015-11-26 12:51:00,30.73
2015-11-26 13:51:00,30.7
2015-11-26 14:51:00,30.69
2016-01-10 14:51:00,29.27
2016-01-10 15:48:00,29.27
2016-01-10 15:51:00,29.29
2016-01-10 16:07:00,29.28
2016-01-10 16:42:00,29.3
2016-02-24 23:49:00,29.29
2016-02-24 23:50:00,29.3
2016-02-25 00:22:00,29.3
