valid_time_gmt,uv_index
2013-07-01 08:51:00,-169
2013-07-01 09:51:00,-296
2013-07-01 10:17:00,-355
2013-07-01 10:20:00,-362
2013-07-01 10:27:00,-378
2013-07-01 10:51:00,-431
2013-07-01 11:13:00,-476
2013-07-01 11:41:00,-526
2013-07-01 11:51:00,-541
2013-07-01 12:51:00,-591
2013-07-01 13:32:00,-580
2013-07-01 13:51:00,-562
2013-07-01 14:00:00,-551
2013-07-01 14:16:00,-528
2013-07-01 14:51:00,-465
2013-07-01 15:12:00,-421
2013-07-01 15:47:00,-342
2013-07-01 15:51:00,-332
2013-07-01 16:20:00,-267
2013-07-01 16:32:00,-179
2013-07-01 16:51:00,-201
2013-07-02 08:51:00,-168
2013-07-02 09:51:00,-295
2013-07-02 10:42:00,-410
2013-07-02 10:51:00,-430
2013-07-02 11:15:00,-479
2013-07-02 11:51:00,-541
2013-07-02 12:51:00,-591
2013-07-02 13:40:00,-427
2013-07-02 13:51:00,-419
2013-07-02 14:51:00,-346
2013-07-02 15:51:00,-248
2013-07-02 16:51:00,-149
2013-07-03 09:51:00,-219
2013-07-03 10:51:00,-320
2013-07-03 11:51:00,-402
2013-07-03 12:26:00,-431
2013-07-03 12:51:00,-440
2013-07-03 13:23:00,-436
2013-07-03 13:51:00,-418
2013-07-03 14:44:00,-478
2013-07-03 14:51:00,-464
2013-07-03 15:02:00,-442
2013-07-03 15:08:00,-429
2013-07-03 15:18:00,-407
2013-07-03 15:25:00,-391
2013-07-03 15:51:00,-248
2013-07-03 16:51:00,-149
2013-07-04 09:51:00,-218
2013-07-04 10:51:00,-319
2013-07-04 11:51:00,-401
2013-07-04 12:51:00,-289
2013-07-04 13:51:00,-418
2013-07-04 14:51:00,-346
2013-07-04 15:51:00,-247
2013-07-04 16:51:00,-149
2013-07-05 12:51:00,-289
2013-07-05 14:51:00,-227
2013-07-05 15:51:00,-163
2013-07-06 09:51:00,-142
2013-07-06 10:51:00,-209
2013-07-06 11:51:00,-263
2013-07-06 12:51:00,-288
2013-07-06 13:51:00,-417
2013-07-06 14:51:00,-227
2013-07-06 15:51:00,-163
2013-07-07 09:51:00,-142
2013-07-07 10:51:00,-316
2013-07-07 11:51:00,-399
2013-07-07 12:51:00,-437
2013-07-07 13:51:00,-416
2013-07-07 14:51:00,-345
2013-07-07 15:51:00,-247
2013-07-07 16:51:00,-149
2013-07-08 09:51:00,-141
2013-07-08 10:51:00,-208
2013-07-08 11:51:00,-262
2013-07-08 12:51:00,-436
2013-07-08 13:51:00,-416
2013-07-08 14:51:00,-227
2013-07-08 15:51:00,-162
2013-07-09 09:51:00,-141
2013-07-09 10:51:00,-314
2013-07-09 11:51:00,-397
